mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,19.8997,49.0828207381,0.367184057067,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,14.98825,45.8315026362,-1.19721114466,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,14.8121704745,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,14.8121704745,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,14.8121704745,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,16.81799,47.2374780316,-0.75879646425,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,93.93584,65.5920474517,-0.265426347593,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,14.8121704745,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,34.9626537786,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,13.9963,44.8758787346,-0.542916344135,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,14.8121704745,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,17.0913884007,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,14.8121704745,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.04452,38.6533391916,-0.543698552761,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,394.93141,81.2939367311,8.61004896711,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.96895,22.7757029877,-0.560990609369,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,14.8121704745,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,109.69808,67.151801406,-1.23430937514,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,11.30448,41.954086116,-0.380448840563,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,22482.45752,99.7638400703,5.03750825136,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.7483,19.1893673111,0.152261125936,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,156.51573,71.0951230228,1.9955298163,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.08139,23.9345342707,-0.17340637251,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,368.13996,80.6623462214,1.85923252176,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,14.8121704745,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,196.92346,73.572056239,-0.999878860312,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.38819,26.6421353251,-0.286713715436,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1343.21657,91.1851933216,-0.159792197216,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,26.12902,52.1309314587,-0.752502613362,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,25.51453,51.894771529,-0.921172296029,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,528.41134,83.9850615114,3.20114048262,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,45.03254,57.5406414763,5.12497531578,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,31.7256,54.2728471002,-0.781095530915,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.91127,21.9409050967,-0.114080888799,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,14.8121704745,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,112.99289,67.4264059754,9.2552263168,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,14.8121704745,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,5.12663,24.4617750439,-0.441252050487,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,1822.76548,92.9975834798,-0.680275207728,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,14.8121704745,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,17.4703427065,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67781,17.0968804921,-0.312252077364,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,6.9615,33.6225834798,-0.534016175854,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,187.86504,73.0777680141,5.59254170673,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.81741,20.4690246046,-0.177195371932,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,342.82559,79.8989455185,-1.2553242716,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,21.5619507909,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,14.8121704745,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,52.69134,59.1882688928,-0.252029693094,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.89231,21.6937609842,-0.384246801481,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,169.83801,71.9518892794,0.310914371874,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,1030.0191,89.4991212654,9.32695610572,NA,NA,NA
ENSMUSG00000035041,Creb3l3,23.03397,50.763400703,-0.124298927817,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,198.37391,73.6764059754,-0.570398207503,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,7.53773,35.308655536,1.50928783177,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,97.28136,65.9435413005,-0.122161564056,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.691,28.5753514938,-0.242964186786,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,14.8121704745,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,10.32507,40.6195079086,0.023787575088,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,224.9296,75.0823813708,0.956079629801,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,46.49974,57.8976274165,-0.762553920839,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,14.8121704745,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.65761,15.9490333919,-0.422555984892,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,53.68137,59.375,-1.61174253937,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,18.65157,48.3963093146,1.92920937008,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,73.76577,62.9119068541,-0.933178353678,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,4.67003,16.7124340949,-0.443534189004,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.64981,15.5481107206,-0.187221774729,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,40.88045,56.6399384886,0.604611723976,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,7.99917,36.5114235501,-0.500226103081,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,19.38583,48.8027240773,-0.539675048706,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,12.56636,43.5193321617,-1.22607241017,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,5.87794,29.5035149385,2.70378888525,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,9.69184,39.7297891037,-0.669853853397,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,76.72391,63.4226713533,-0.0375995900145,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,58.81673,60.4184973638,-1.02791805395,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,9.04302,38.6478471002,-0.436570735521,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,109.55689,67.1463093146,-0.396575110296,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,52.12477,59.0509666081,-0.360358198382,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,14.14735,44.9967047452,-0.859173721767,NA,NA,NA
ENSMUSG00000078861,Zfp931,22.75175,50.6425746924,-0.897726016527,NA,NA,NA
ENSMUSG00000032897,Nfyc,203.80674,73.9894551845,-1.91744943409,ENSG00000066136,94,0
ENSMUSG00000075045,4933403O03Rik /// Gm4981 /// Gm9919,5.06878,23.7862478032,0.423102220113,NA,NA,NA
ENSMUSG00000039841,Zfp800,127.47857,68.7939367311,-0.468279189299,ENSG00000048405,94,1
ENSMUSG00000009734,Pou6f2,12.49569,43.4149824253,7.46030119707,ENSG00000106536,85,0
ENSMUSG00000043059,Zfp513,299.13777,78.4545254833,4.53923341914,ENSG00000163795,95,0
ENSMUSG00000049577,Zfpm1,282.02303,77.855887522,0.626902595947,ENSG00000179588,67,1
ENSMUSG00000049576,Zfa-ps /// Zfx,4.69169,17.6241212654,-0.456211073952,NA,NA,NA
ENSMUSG00000078768,Zfp566,8.20078,36.9727592267,-0.7061626806,ENSG00000186017,74,1
ENSMUSG00000023781,Hes7,4.63584,14.8121704745,-0.150918681849,ENSG00000179111,90,0
ENSMUSG00000019826,Zbtb24,69.22578,62.10456942,-0.689454463607,ENSG00000112365,82,0
ENSMUSG00000036144,Meox2,4.63584,14.8121704745,-0.300972119109,ENSG00000106511,98,1
ENSMUSG00000029127,Zbtb49,4.63584,14.8121704745,-0.254746467044,ENSG00000168826,74,0
ENSMUSG00000025529,Zfp711,156.26066,71.0786467487,2.91929895901,ENSG00000147180,95,0
ENSMUSG00000037868,Egr2,4.97759,22.8965289982,-0.527501326973,ENSG00000122877,89,0
ENSMUSG00000079560,Hoxa3,7.71377,35.8468804921,1.73999300526,ENSG00000105997,94,0
ENSMUSG00000002578,Ikzf4,4.63584,14.8121704745,-0.135831034441,ENSG00000123411,97,0
ENSMUSG00000039476,Prrx2,4.88886,21.6388400703,-0.274193464403,ENSG00000167157,90,0
ENSMUSG00000017801,Mlx,38.95597,56.2664762742,-0.745603443573,ENSG00000108788,95,0
ENSMUSG00000038346,Zfp384,487.54932,83.2875659051,-0.254070915504,ENSG00000126746,97,0
ENSMUSG00000042109,Csdc2,30.75335,53.9488137083,-0.168510395737,ENSG00000172346,97,0
ENSMUSG00000038342,Mlxip,97.3986,65.9600175747,-0.814017157714,ENSG00000175727,87,1
ENSMUSG00000039219,Arid4b,92.2846,65.4217926186,0.95201141148,ENSG00000054267,90,1
ENSMUSG00000035187,Nkx6-1,8.13894,36.8629173989,-0.082318138932,ENSG00000163623,96,0
ENSMUSG00000014303,Glis2,10.30511,40.5920474517,-0.236086527456,ENSG00000126603,93,0
ENSMUSG00000048280,Zfp65 /// Zfp738,79.28998,63.8181019332,-1.30619688,ENSG00000196350,35,0
ENSMUSG00000011349,Dmrtc2,987.56755,89.2464850615,9.32713459554,NA,NA,NA
ENSMUSG00000054191,Klf1,4.85832,21.1225834798,-0.173828464567,ENSG00000105610,71,1
ENSMUSG00000058402,Zfp420,4.63584,14.8121704745,-0.315764932147,ENSG00000197050,51,0
ENSMUSG00000045991,Onecut2,4.63584,14.8121704745,-0.201401982425,ENSG00000119547,99,1
ENSMUSG00000029705,Cux1,729.98972,86.9672671353,1.0340288156,ENSG00000257923,88,0
ENSMUSG00000029706,Pax4,4.7051,18.0634885764,-0.190836417405,ENSG00000106331,75,0
ENSMUSG00000029313,Aff1,5.20801,25.2636203866,-0.612802840387,ENSG00000172493,67,1
ENSMUSG00000028799,Zfp362,69.22311,62.0935852373,-1.60872018633,ENSG00000160094,98,1
ENSMUSG00000027102,Hoxd8,301.30291,78.52043058,1.18787729806,ENSG00000175879,89,0
ENSMUSG00000060397,Zfp128,10.59612,41.0149384886,-0.709251873955,ENSG00000278129,73,1
ENSMUSG00000024619,Cdx1,4.63584,14.8121704745,-0.154088740124,ENSG00000113722,85,1
ENSMUSG00000003198,Zfp959,18.30402,48.2370386643,-1.16408450506,NA,NA,NA
ENSMUSG00000054519,Zfp867,8.99677,38.5544815466,-0.349077216067,NA,NA,NA
ENSMUSG00000028890,Mtf1,4.63584,14.8121704745,-0.246716419246,ENSG00000188786,83,0
ENSMUSG00000074165,Zfp788,4.64051,15.1142355009,-0.466670685277,NA,NA,NA
ENSMUSG00000046897,Zfp740,69.6645,62.1979349736,-1.44855424181,ENSG00000139651,79,0
ENSMUSG00000079808,C130026I21Rik /// LOC102638047,4.63584,14.8121704745,-0.161432740477,ENSG00000280755,36,0
ENSMUSG00000000782,Tcf7,8.37702,37.2748242531,-0.171077690828,ENSG00000081059,67,1
ENSMUSG00000005373,Mlxipl,15.5914,46.2818541301,-0.262579844339,ENSG00000009950,82,1
ENSMUSG00000049755,Zfp672,365.70322,80.585456942,2.71462297942,ENSG00000171161,78,1
ENSMUSG00000003282,Plag1,4.70633,18.1019332162,-0.16472385508,ENSG00000181690,95,1
ENSMUSG00000012350,Ehf,4.7304,18.7609841828,-0.305105432592,ENSG00000135373,87,1
ENSMUSG00000074637,Sox2,4.63584,14.8121704745,-0.323127312681,ENSG00000181449,98,0
ENSMUSG00000038227,Hoxa9,5.4157,26.8288664323,-0.29990921099,ENSG00000078399,98,1
ENSMUSG00000017667,Zfp334,8.66041,37.7800966608,-0.486599530572,ENSG00000198185,70,1
ENSMUSG00000063108,Zfp26,100.18262,66.2126537786,-1.13105102098,NA,NA,NA
ENSMUSG00000047473,Zfp30,5.5329,27.6966168717,-0.563620476836,ENSG00000120784,85,1
ENSMUSG00000060630,Zfp735,8.04662,36.665202109,2.55414083732,NA,NA,NA
ENSMUSG00000070034,Sp110,4.8339,20.7655975395,-0.301010266258,ENSG00000280755,36,0
ENSMUSG00000000247,Lhx2,63.03015,61.1544376098,-0.10888036713,ENSG00000106689,99,0
ENSMUSG00000002111,Spi1,7.49575,35.1713532513,-0.322962905135,ENSG00000066336,88,1
ENSMUSG00000002057,Foxn1,4.79009,20.0186731107,0.130976577179,ENSG00000109101,86,1
ENSMUSG00000042499,Hoxd11,4.63584,14.8121704745,-0.16388320002,ENSG00000128713,94,1
ENSMUSG00000030796,Tead2,26.56358,52.3341388401,-0.19735344052,ENSG00000074219,91,0
ENSMUSG00000014704,Hoxa2,4.64332,15.1911247803,-0.227615228641,ENSG00000105996,95,0
ENSMUSG00000029553,Tfec,4.7393,18.9916520211,-0.335669108936,ENSG00000105967,61,0
ENSMUSG00000023994,Nfya,124.50702,68.579745167,-0.446501689525,ENSG00000001167,100,0
ENSMUSG00000039699,Batf2,5.73767,28.8060193322,-0.167061645401,ENSG00000168062,47,1
ENSMUSG00000024837,Dmrt1,185.91662,72.9514499121,1.62557424059,ENSG00000137090,82,1
ENSMUSG00000045680,Tcf21,79.6066,63.8510544815,-0.187918170964,ENSG00000118526,96,0
ENSMUSG00000039656,Rxrb,296.63695,78.3886203866,-1.27838050747,ENSG00000204231,94,0
ENSMUSG00000029844,Hoxa1,4.63584,14.8121704745,-0.338156375753,ENSG00000105991,94,0
ENSMUSG00000025019,Lcor,12.5295,43.4589191564,-0.343376547072,ENSG00000196233,98,0
ENSMUSG00000046792,Zfp787,7.56447,35.4239894552,0.962257075044,ENSG00000142409,92,0
ENSMUSG00000027833,Shox2,4.63584,14.8121704745,-0.307688322393,ENSG00000168779,92,0
ENSMUSG00000010175,Prox1,4.64789,15.4108084359,-0.153456850703,ENSG00000117707,98,1
ENSMUSG00000020919,Stat5b,28.0729,52.9108084359,-0.839213152401,NA,NA,NA
ENSMUSG00000055210,Foxd2,4.63584,14.8121704745,-1.0,ENSG00000186564,94,1
ENSMUSG00000028150,Rorc,4.71693,18.4094903339,-0.237155430416,ENSG00000143365,89,1
ENSMUSG00000027583,Zbtb46,5.07917,23.9070738137,-0.423457096141,ENSG00000130584,91,0
ENSMUSG00000030067,Foxp1,22.96603,50.7304481547,-0.748746949464,ENSG00000114861,92,0
ENSMUSG00000027230,Creb3l1,26.89073,52.4494727592,-0.248180106178,ENSG00000157613,90,0
ENSMUSG00000049823,Zbtb12,6.08994,30.4481546573,-0.482538318282,ENSG00000204366,97,1
ENSMUSG00000004151,Etv1 /// Gm5454,5.21797,25.3624780316,-0.429556404557,ENSG00000006468,98,1
ENSMUSG00000000435,Myf5,4.63584,14.8121704745,-0.110913163403,ENSG00000111049,89,1
ENSMUSG00000052675,Zfp112,10.16644,40.3888400703,-1.10657766513,ENSG00000062370,62,0
ENSMUSG00000037446,Tulp1,5.1343,24.5386643234,-0.176501285486,ENSG00000112041,80,0
ENSMUSG00000037447,Arid5a,5.07732,23.8796133568,-0.390097858804,ENSG00000196843,74,1
ENSMUSG00000035033,Tbr1,6.30063,31.3378734622,-0.167692505954,ENSG00000136535,99,0
ENSMUSG00000020052,Ascl1,4.63584,14.8121704745,-0.109250816584,ENSG00000139352,82,0
ENSMUSG00000015605,Srf,171.13987,72.0287785589,2.99311274874,ENSG00000112658,96,1
ENSMUSG00000057101,Zfp180,62.3418,61.072056239,-1.02220977509,ENSG00000167384,62,0
ENSMUSG00000072889,Nfxl1,9.73543,39.7682337434,0.199366481715,ENSG00000170448,89,0
ENSMUSG00000008976,Gabpa,126.8923,68.7554920914,-0.384069780588,ENSG00000154727,96,0
ENSMUSG00000009406,Elk1,4.63584,14.8121704745,-0.318210582271,ENSG00000126767,86,1
ENSMUSG00000044452,Zfp507,7.02173,33.8202987698,-0.388795038523,ENSG00000168813,79,0
ENSMUSG00000058192,Zfp846,39.96486,56.4916520211,-0.891802685818,ENSG00000170100,35,1
ENSMUSG00000030087,Klf15,41.54207,56.7882249561,-0.428994101556,ENSG00000163884,85,1
ENSMUSG00000061911,Myt1l,76.00746,63.3183216169,-0.236998087337,ENSG00000186487,93,1
ENSMUSG00000068284,Gm608,44.08172,57.3648945518,-0.99764534469,ENSG00000176542,83,1
ENSMUSG00000037638,Zbtb42,986.66676,89.224516696,3.09628200663,ENSG00000179627,75,1
ENSMUSG00000044597,Mycs,4.65712,15.9325571178,-0.0421264120659,ENSG00000134323,54,1
ENSMUSG00000000567,Sox9,12.27958,43.2007908612,-0.376195229576,ENSG00000125398,97,1
ENSMUSG00000048138,Dmrt2,4.67002,16.7069420035,-0.211526693334,ENSG00000173253,84,1
ENSMUSG00000003949,Hlf,7.53658,35.2976713533,-0.498329566696,ENSG00000108924,98,1
ENSMUSG00000074867,2810408B13Rik,12.95338,43.8543497364,-0.213570929395,NA,NA,NA
ENSMUSG00000031860,Pbx4,57.65591,60.1823374341,9.30278218937,ENSG00000105717,74,1
ENSMUSG00000071291,Zfp58,140.70192,69.9143233743,1.90312168913,NA,NA,NA
ENSMUSG00000056749,Nfil3,15.87106,46.5289982425,-0.471876875716,ENSG00000165030,84,0
ENSMUSG00000025498,Irf7,10.11891,40.3119507909,-0.396706403891,ENSG00000185507,60,1
ENSMUSG00000051034,Zfp11,10.24995,40.5481107206,-0.467656447451,NA,NA,NA
ENSMUSG00000051037,Zfp455,6.83594,33.2491212654,-0.632969753621,NA,NA,NA
ENSMUSG00000040841,Six5,16.23057,46.8255711775,-0.433393645466,ENSG00000177045,85,0
