ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,1.9,42.6813471503,0.721638093184,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,6.4,68.1994818653,0.00837874556111,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,22.7979274611,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,22.7979274611,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,5.6,65.3497409326,0.431382681279,NA,NA,NA,NM_023074
ENSG00000079263,SP140,5.7,65.7383419689,0.0840772904376,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,1.3,36.5932642487,-0.632439994838,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,7.8,72.3445595855,0.541360140658,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,32.9,94.5595854922,0.646066943707,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,7.5,71.8911917098,1.0292871181,NA,NA,NA,NM_001289166
ENSG00000198416,,0,22.7979274611,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.7,31.8005181347,0.138420840559,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,22.7979274611,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,22.7979274611,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,24.6,92.0336787565,0.633855098281,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,22.7979274611,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.4,47.4740932642,-0.651424435135,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,18.7,88.2124352332,0.0715770744896,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,22.7979274611,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,9.2,75.8419689119,1.67823245364,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,22.7979274611,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
