mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,31.58355,57.6230228471,1.10044449863,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,30.73401,57.309973638,-0.720933237571,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,5.13116,28.3666520211,-0.188269050618,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,17.9426625659,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,17.9426625659,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,141.19409,74.4782513181,-0.234410934776,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,76.06826,67.3934534271,-0.275665437979,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,20.07486,52.7680140598,-0.236250889251,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,39.2849297012,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,13.44151,48.105228471,-0.543459946394,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,17.9426625659,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,20.1889279438,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,17.9426625659,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,931.91895,93.3106326889,2.06690754807,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,9.50957,43.4753954306,-0.367419778439,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.97519,26.6421353251,-0.559492911607,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,17.9426625659,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1958.70209,96.8365553603,0.466178878078,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,6.84095,37.6263181019,-0.386432850034,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,733.90361,91.8991652021,-0.431330978087,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,17.9426625659,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,64.592486819,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,17.58798,51.2686731107,-0.15643516215,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,127.14253,73.2480228471,-0.818638748977,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,10.59467,45.0021968366,0.892478469659,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,293.47468,82.9964850615,-0.678704405252,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,30.9699033392,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,533.7934,88.9663884007,-0.821071562735,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,23.02132,54.283831283,-0.78120233207,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,42.399,60.6876098418,-0.639372633972,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,99.13505,70.4415641476,-0.412088423187,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.74128,33.0514059754,-0.114399723059,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,122.39481,72.8745606327,-0.399514761634,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,17.9426625659,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,17.9426625659,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,17.9426625659,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,17.9426625659,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,5.97536,34.2651581722,-0.43494254557,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,11734.5509,99.7089191564,0.450354387565,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.68965,20.7710896309,-0.166953436081,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,20.7216608084,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,20.2438488576,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,82.39017,68.3326010545,0.258561301222,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,60.40846,64.7792179262,0.652572771806,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,12.32716,46.9793497364,-0.165720983367,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,1118.2339,94.3651142355,-0.931213455653,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.81945,24.0992970123,-0.310087007423,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,17.9426625659,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,28.88323,56.6783831283,-0.820275787223,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.73391,22.242970123,-0.384757296284,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,160.49991,76.0160369069,0.235356868218,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,17.9426625659,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,23.33668,54.4101493849,-0.123724341595,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,4154.70787,98.5665641476,0.843253014392,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.78856,23.5610720562,-0.32179242499,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,11.5525,46.0896309315,-0.239303161829,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.691,32.7273725835,-0.242964186786,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,17.9426625659,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,17.9426625659,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,24.29188,54.8055799649,-1.1104885782,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,187.54587,77.9437609842,0.438973185173,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,17.9426625659,-0.268944700938,ENSG00000112837,95,0
