mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1292.10809,94.5188927944,-0.456913480537,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,21.32917,55.2119947276,0.456895393947,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1042.97996,93.2886643234,-0.680519615632,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,436.51007,86.467486819,-1.07816854956,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.98865,27.5483304042,0.384329666528,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2251.14215,97.0013181019,-0.661587044325,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1432.22101,95.1010544815,-0.656052121455,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,92.16337,69.7605448155,-0.13099384967,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,12.43751,48.9949472759,-0.126043406953,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.81357,24.6375219684,-0.347746982475,NA,NA,NA
ENSMUSG00000083012,Fam220a,64.2716,66.3499560633,-0.267130808079,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,256.71706,80.9863796134,-0.627609252431,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.75976,23.4841827768,-0.108098518986,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,21.87063,55.4975834798,-0.387942870166,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,19.6726713533,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,19.6726713533,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,326.78064,83.6225834798,-0.665391516472,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,13.64634,50.2032073814,-0.409095814673,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,19.6726713533,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,5.17884,29.9154217926,0.663641701467,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.75047,23.2370386643,-0.123289909032,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,19.6726713533,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,7.39384,40.7458260105,-0.235875486367,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,313.62835,83.1337873462,-0.366100329824,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,369.67263,84.8912565905,1.04126442047,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,19.6726713533,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,5.06285,28.6137961336,-0.110306577431,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,19.6726713533,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,438.96998,86.5333919156,0.0610473719938,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,19.6726713533,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,348.09823,84.2596660808,4.26209075917,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,19.6726713533,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,127.46856,73.473198594,-0.254915992854,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,19.6726713533,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,5.05672,28.5039543058,-0.135743384462,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,22.03852,55.6239015817,0.163712600326,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,18934.15823,99.7967926186,0.126476844854,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,21.3477592267,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,19.6726713533,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,5.73949,34.3420474517,-0.0518411680361,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,831.33833,91.8332601054,0.0116463418065,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,19.6726713533,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,77.51685,68.014059754,-0.846796515308,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,691.47278,90.5481107206,-0.809320879457,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.86657,25.6315905097,-0.13323484008,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,22.86396,56.0138400703,-0.419439425784,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,299.16525,82.6285149385,-0.0399735761325,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,353.84505,84.4079525483,0.0354436572358,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,54.96333,64.8286467487,-0.00900680692587,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,5.09667,29.0037346221,-0.129223821508,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,37458.20777,99.9670474517,-0.0959543329463,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,23.769771529,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.83885,25.1153339192,-0.325275563124,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,34.8198594025,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,677.91969,90.3943321617,0.470073583003,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.83077,24.9615553603,-0.157044746241,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,343.18195,84.1168717047,-0.234410443686,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,2167.23477,96.9134446397,2.19834274458,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,19.6726713533,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,93.29571,69.908831283,-0.107659551098,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,159.57126,75.8787346221,-0.464437861354,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,5.43389,32.2715289982,-0.175511467816,NA,NA,NA
ENSMUSG00000021598,Med10,1135.86612,93.7445079086,-0.198215919066,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,19.6726713533,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,4.85263,25.367970123,-0.136602838092,NA,NA,NA
ENSMUSG00000019913,Sim1,5.62204,33.6555360281,-0.131004478783,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,1267.94261,94.3815905097,2.26121492229,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,133.83909,74.0608523726,-1.04098240855,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,172.54564,76.7739455185,0.156477534426,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,1138.99995,93.7664762742,-0.2193054031,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,4216.49094,98.4347539543,0.255278280117,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,19.6726713533,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,53.87741,64.592486819,0.700113396317,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,5.37106,31.7113356766,-0.124564940822,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,83.92178,68.8763181019,-0.0661763234479,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,590.67945,89.2849297012,-0.43098864177,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,6.56003,38.2798769772,-0.460522343202,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,5.49856,32.8262302285,-0.365208525592,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,5.97344,35.6766256591,-0.233410541766,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,4.87751,25.834797891,-0.286879455313,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,5326.45779,98.8137082601,0.440077411367,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,4.78139,23.9070738137,-0.51783339867,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,1952.46359,96.4356326889,0.182632822487,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,188.20318,77.7460456942,0.121134170701,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,21.8461,55.4920913884,-0.279569987001,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,5.28482,30.882029877,-0.127352991111,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,5.00997,27.8009666081,0.35015201896,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,112.22392,72.0013181019,-0.325924602946,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,4.63584,19.6726713533,-0.202942035384,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,6.6238,38.5160369069,-0.237238603523,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,4.63584,19.6726713533,-0.164046418312,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,28.45715,58.4083919156,-0.280149817703,ENSG00000070182,91,1
ENSMUSG00000054074,Skida1,4.63584,19.6726713533,-0.188085268602,ENSG00000180592,92,1
ENSMUSG00000041536,Serpina3a,4.63584,19.6726713533,-0.117658559847,ENSG00000273259,51,0
ENSMUSG00000054072,Iigp1,393.7619,85.3965289982,-0.067957384832,NA,NA,NA
ENSMUSG00000045007,Tubg2,4.63584,19.6726713533,-0.399039632584,ENSG00000037042,98,1
ENSMUSG00000001270,Ckb,2365.03926,97.1386203866,-0.219133581954,ENSG00000166165,97,0
ENSMUSG00000041671,Pyroxd1,78.17951,68.1239015817,-0.51224897939,ENSG00000121350,85,0
ENSMUSG00000030922,Lyrm1,14.19209,50.7249560633,-0.34569013211,ENSG00000102897,88,0
ENSMUSG00000010392,Gosr1,117.35781,72.6219244288,0.73163925711,ENSG00000108587,98,0
ENSMUSG00000006958,Chrd,10.53465,46.7157293497,-0.461212327408,ENSG00000090539,86,0
ENSMUSG00000054079,Utp18,510.77004,87.9723198594,-0.172699587023,ENSG00000011260,81,1
ENSMUSG00000034957,Cebpa,11.30448,47.6823374341,-0.380448840563,ENSG00000245848,92,1
ENSMUSG00000046818,Ddit4l,10.86195,47.1331282953,-0.237917649744,ENSG00000145358,93,0
ENSMUSG00000031671,Setd6,4.63584,19.6726713533,-0.420479191076,ENSG00000103037,78,1
ENSMUSG00000096225,Lhx8,5.15568,29.6737697715,-0.255145910029,ENSG00000162624,91,0
ENSMUSG00000048285,Frmd6,66.70642,66.7124340949,-0.699377500847,ENSG00000139926,94,0
ENSMUSG00000084980,Slc36a1os,5.12859,29.3662126538,0.73741744935,NA,NA,NA
ENSMUSG00000048280,Zfp65 /// Zfp738,568.66303,88.9773725835,1.1228817594,ENSG00000196350,35,0
ENSMUSG00000048281,Dleu7,5.80685,34.7045254833,-0.281307480459,ENSG00000186047,83,1
ENSMUSG00000087579,1500017E21Rik,4.63584,19.6726713533,-0.139302035736,NA,NA,NA
ENSMUSG00000058569,Tmed9,254.70125,80.8600615114,-0.93895772181,ENSG00000184840,94,0
ENSMUSG00000034402,Kcnh5,4.63584,19.6726713533,-0.264295609947,ENSG00000140015,98,1
ENSMUSG00000036766,Dner,45.45891,63.0217486819,-0.36281513333,ENSG00000187957,90,0
ENSMUSG00000036764,Dnajc12,150.47131,75.3075571178,-0.224029684354,ENSG00000108176,76,0
ENSMUSG00000055805,Fmnl1,4.63794,19.9033391916,-0.317783209679,ENSG00000184922,88,1
ENSMUSG00000070319,Eif3g,3882.16553,98.3084358524,0.388950922945,ENSG00000130811,98,0
ENSMUSG00000036769,Wdr44,295.57619,82.480228471,1.15867318191,ENSG00000131725,92,1
ENSMUSG00000072244,Trim6,8.33673,43.0744727592,-0.130998996229,ENSG00000121236,76,0
ENSMUSG00000021583,Erap1,97.05089,70.3536906854,0.493910401843,ENSG00000164307,84,1
ENSMUSG00000086999,Bcas1os2,4.63584,19.6726713533,-0.243128323944,NA,NA,NA
ENSMUSG00000021587,Pcsk1,6.08706,36.2587873462,-0.172391716411,ENSG00000175426,93,0
ENSMUSG00000074384,AI429214,10.75933,47.0123022847,-0.198007864569,ENSG00000164743,50,1
ENSMUSG00000021585,Cast,113.45785,72.1880492091,-0.596187736033,ENSG00000153113,67,1
ENSMUSG00000086992,Gm15941,4.63584,19.6726713533,-0.281098617159,NA,NA,NA
ENSMUSG00000074388,Gm5544,4.7842,23.9894551845,-0.125020411894,NA,NA,NA
ENSMUSG00000021589,Rhobtb3,104.03795,71.0896309315,0.222835106224,ENSG00000164292,96,0
ENSMUSG00000086996,4933416E14Rik,4.63584,19.6726713533,-0.176258859816,NA,NA,NA
ENSMUSG00000079808,C130026I21Rik /// LOC102638047,4.98282,27.4110281195,-0.149293533675,ENSG00000280755,36,0
ENSMUSG00000037145,2210407C18Rik,8.11207,42.5746924429,-0.125114333926,NA,NA,NA
ENSMUSG00000001098,Kctd10,242.24753,80.3328207381,-0.368395079691,ENSG00000110906,98,0
ENSMUSG00000031621,Isx,4.63584,19.6726713533,-0.1665525261,ENSG00000175329,63,1
ENSMUSG00000037140,Tas2r108,4.63584,19.6726713533,-0.388418713361,ENSG00000127364,67,1
ENSMUSG00000037143,4930529M08Rik,4.63584,19.6726713533,-0.176790572538,ENSG00000089101,17,0
ENSMUSG00000054293,A630033H20Rik,7.69479,41.5531634446,-0.426761207234,NA,NA,NA
ENSMUSG00000084846,A730011C13Rik,4.63584,19.6726713533,-0.429519587825,NA,NA,NA
ENSMUSG00000084847,Gm15507 /// Gm15507,4.63584,19.6726713533,-0.354824253549,NA,NA,NA
ENSMUSG00000084844,Hoxb3os /// Hoxb3os,4.63584,19.6726713533,-0.450132296372,NA,NA,NA
ENSMUSG00000031627,Irf2,145.94174,74.9725395431,-0.00503503226048,ENSG00000168310,93,1
ENSMUSG00000023015,Racgap1,73.0163,67.5472319859,-0.348709690739,ENSG00000161800,84,1
ENSMUSG00000001891,Ugp2,271.90128,81.6289543058,-0.650171866275,ENSG00000169764,99,1
ENSMUSG00000035242,Oaz1,17601.71452,99.7583479789,-0.0511257556517,ENSG00000104904,84,0
ENSMUSG00000034520,Gjc1,6.61911,38.5050527241,-0.572844979884,ENSG00000182963,97,0
ENSMUSG00000001305,Rrp15,282.56014,82.0683216169,-0.270186708954,ENSG00000067533,72,0
ENSMUSG00000033688,1300017J02Rik,4.63584,19.6726713533,-0.128119050681,NA,NA,NA
ENSMUSG00000020982,Nemf,2032.06615,96.6388400703,0.351393651431,ENSG00000165525,89,1
ENSMUSG00000020986,Sec23a,217.93597,79.1245606327,-0.777214493372,ENSG00000100934,99,0
ENSMUSG00000039656,Rxrb,826.91662,91.7948154657,0.874361768415,ENSG00000204231,94,0
ENSMUSG00000039653,Baat,4.63584,19.6726713533,-0.107800427024,ENSG00000136881,69,1
ENSMUSG00000039652,Cpeb3,6.73724,38.8949912127,-0.54537528666,ENSG00000107864,96,1
ENSMUSG00000033684,Qsox1,4.63584,19.6726713533,-0.107211253484,ENSG00000116260,73,1
ENSMUSG00000033685,Ucp2,2026.56389,96.6223637961,0.432419903398,ENSG00000175567,96,0
ENSMUSG00000024534,Sncaip,4.64093,20.1065465729,-0.177202950321,ENSG00000064692,81,1
ENSMUSG00000024535,Snx24,330.10259,83.7159490334,-0.00552779847981,ENSG00000064652,97,0
ENSMUSG00000024537,Psmg2,200.42856,78.3446836555,-0.829213289935,ENSG00000128789,88,1
ENSMUSG00000024530,Slmo1,11.73153,48.2480228471,-0.308269645775,ENSG00000141391,90,1
ENSMUSG00000055210,Foxd2,4.63584,19.6726713533,-1.0,ENSG00000186564,94,1
ENSMUSG00000024532,1700034E13Rik,4.78743,24.1157732865,-0.107920280288,NA,NA,NA
ENSMUSG00000024533,Spire1,4.79272,24.2256151142,-0.426368875042,ENSG00000134278,71,1
ENSMUSG00000024538,Ppic,16.65329,52.5263620387,-0.502737929533,ENSG00000168938,91,0
ENSMUSG00000024539,Ptpn2,4031.1603,98.374340949,1.2511480508,ENSG00000175354,89,1
ENSMUSG00000031594,Fgl1,5.29918,31.0742530756,-0.108228890599,ENSG00000104760,82,1
ENSMUSG00000026208,Des,4.63584,19.6726713533,-0.350832877906,ENSG00000175084,97,1
ENSMUSG00000026209,Dnpep,330.36201,83.7324253076,-0.807627459952,ENSG00000123992,88,1
ENSMUSG00000086191,Zfp652os,8.36022,43.1239015817,-0.118565815225,NA,NA,NA
ENSMUSG00000049336,Tenm2,80.16551,68.382029877,-0.299410418587,ENSG00000145934,98,0
ENSMUSG00000026200,Ankzf1 /// Glb1l,5.28954,30.9424428822,-0.174716332367,ENSG00000163521,78,1
ENSMUSG00000071713,Csf2rb /// Csf2rb2,1955.66219,96.4521089631,0.131130899213,ENSG00000100368,56,0
