mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,995.73553,91.5257029877,-0.8462812808,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.69056,23.1491652021,-0.587318158574,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1835.9746,94.7275922671,-0.444781084044,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,687.43787,88.6753075571,-0.744112322776,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.64005,19.6287346221,-0.287457795389,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4818.02974,97.7976713533,0.871951932104,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2205.90581,95.5898506151,-0.453281726217,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,17.04658,50.2251757469,-0.658186590507,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,12.2547,46.6168717047,-0.126382199677,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.66634,21.9848418278,-0.348788078903,NA,NA,NA
ENSMUSG00000083012,Fam220a,72.09922,64.7682337434,-0.246179103128,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,303.05314,81.0742530756,-0.530501929349,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,17.5142794376,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,17.01393,50.2086994728,-0.614822514772,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,17.5142794376,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,17.5142794376,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,390.16993,83.6775043937,-0.512582227424,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,7.38706,40.0648066784,-0.455150395705,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,17.5142794376,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.67793,22.5615114236,-0.270358733136,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.65315,21.1994727592,-0.319473627813,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,17.5142794376,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,5.65837,34.2267135325,-0.733649110136,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,323.24401,81.744288225,-0.342511716978,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,90.95582,67.2726274165,-0.961799239054,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,17.5142794376,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64127,19.8648945518,-0.110518443146,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,17.5142794376,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,391.38888,83.710456942,-0.0613717196536,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,17.5142794376,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,17.5142794376,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,52.98215,61.6047891037,1.80244965875,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,96.35072,67.9261862917,-0.276284377913,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,17.5142794376,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,84.46382,66.4158611599,-0.0562070105641,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,48.8741212654,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,25330.79064,99.6155536028,0.976792824341,NA,NA,NA
ENSMUSG00000020758,Itgb4,402.42151,83.908172232,4.43240588315,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,17.5142794376,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,17.5142794376,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,1338.16143,93.1678383128,1.06104163328,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,17.5142794376,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,101.7312,68.6401581722,-0.452603772319,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,12632.55291,99.0773286467,0.552788773108,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,8.87581,42.8108523726,-0.132399936393,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,20.69982,52.2023286467,-0.445432287608,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,237.38968,78.4105887522,-0.36966381451,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,343.6103,82.4143233743,-0.0115671555421,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,23.82939,53.7126537786,-0.338053433399,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,3604.48198,97.1880492091,9.13269075855,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,58651.40597,99.9670474517,1.5564654741,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,5.28865,31.7992091388,-0.322196501428,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,17.5142794376,-0.374543358848,ENSG00000163704,73,1
