mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1125.60041,90.2789982425,-0.675667636078,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.8384,26.9112478032,-0.578039947738,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2407.42331,94.8209578207,-0.27490291214,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,986.29974,89.3453427065,-0.346242223803,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,22.1331282953,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4350.14462,96.9134446397,0.592422719057,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,7008.904,98.0008787346,0.805507177631,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,695.36995,86.1654217926,4.10249549673,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,9.43434,47.9184973638,-0.131609033257,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,562.9529,84.2486818981,3.59898168985,NA,NA,NA
ENSMUSG00000083012,Fam220a,80.18822,64.4222319859,-0.224527778543,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1002.98246,89.4771528998,0.936352034377,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,22.1331282953,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,54.35708,61.5059314587,1.12965431115,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,6.24274,40.4437609842,-0.102167447998,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,22.1331282953,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,806.9829,87.5878734622,0.492207282156,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.01244,39.2739455185,-0.465264585864,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,22.1331282953,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,22.1331282953,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,22.1331282953,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.1331282953,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.56463,41.7234182777,-0.473712421932,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,882.37109,88.362258348,1.0291083509,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,201.28189,73.2370386643,-0.168915087163,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,5.84145,38.3457820738,-0.0999404718121,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,22.8690685413,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,22.1331282953,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,214.87001,73.967486819,-0.515528511405,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,22.1331282953,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.88068,27.6856326889,-0.17437331369,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,22.1331282953,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,4.63584,22.1331282953,-0.339264291412,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,6.94195,43.1403778559,0.159651458398,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,22.1331282953,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,15.54297,53.026142355,-0.320728778417,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,19864.14497,99.3793936731,0.250101673521,NA,NA,NA
