mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2092.83633,96.5949033392,0.595065803296,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,42.7897,61.2642794376,1.8037252235,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,587.78097,89.1421353251,-0.815839498101,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,642.84709,89.9494727592,-0.803475325664,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,19.2882249561,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1811.95192,96.012741652,-0.923973032085,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,207.59426,78.6302724077,-0.97700717979,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,11.26758,47.0562390158,-0.698745390334,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,86.54891,68.8433655536,0.0113035821609,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.66572,20.4855008787,-0.348792463062,NA,NA,NA
ENSMUSG00000083012,Fam220a,57.80862,64.4112478032,-0.284429865784,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,53.98083,63.6972759227,-1.0524870709,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.72197,22.8910369069,-0.108255746963,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,62.87768,65.3723637961,1.52769221751,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,19.2882249561,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,19.2882249561,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,393.6813,85.4844024605,-0.504117549033,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.45889,32.4417838313,-0.469337500534,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,7.80965,41.4652899824,-0.112202478491,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,19.2882249561,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,19.2882249561,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,19.2882249561,-0.107349827257,NA,NA,NA
