mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,25.494288225,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,67.96144,64.0322934974,0.405122440074,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.3253514938,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.3253514938,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.3253514938,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,135.40247,69.7605448155,-0.258829144707,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,16.18781,53.9927504394,-0.309980176736,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,22.3253514938,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,44.5957820738,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,18.24802,54.9648506151,-0.538750363141,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.3253514938,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,23.8741212654,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.3253514938,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,6.91504,43.2886643234,-0.549722377129,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.76164,51.9771528998,-0.291670680299,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,20.7909,56.0303163445,3.23652527211,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.3253514938,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,833.5008,88.3073374341,-0.568643959408,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,214.63974,74.4013620387,-0.107848427541,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3211.57874,96.1939806678,0.191699270492,ENSG00000060138,74,0
