mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,5.81972,35.138400703,-0.516453815041,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,29.88,60.5997363796,-0.746765340654,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,18.5852372583,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,18.5852372583,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,5.6033,33.4028998243,1.53528083734,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,52.93978,65.526142355,-0.60650238223,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,270.6826,80.2339630931,-0.164140888055,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,192.05516,76.8288664323,0.287467893463,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.25667,42.3330404218,-0.404844906598,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,8.76512,46.2269332162,-0.548042033612,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.8721,23.9839630931,0.0466214678216,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,7.29592,42.4428822496,1.91049684429,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,5.71756,34.3914762742,-0.313224122044,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,975.26628,91.3334797891,2.18952748473,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,10.73623,49.5880931459,-0.3388477032,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,13.48037,52.7350615114,1.4818835385,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,18.5852372583,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,5449.20462,98.1162126538,3.67631715684,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,8.47514,45.6173110721,-0.384241981274,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2447.97786,96.111599297,-0.000313976249231,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,18.5852372583,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,106.5552,71.4301405975,0.758716401756,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.40523,31.3982864675,-0.172966927644,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,508.63254,86.0940246046,3.42033233819,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,18.5852372583,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,1159.58912,92.3440246046,2.20239676868,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,31.5136203866,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,801.06137,89.9220123023,-0.602720025275,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,545.34426,86.764059754,4.04246837378,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,21.73103,57.7328646749,-0.984318430991,ENSG00000184939,82,1
