mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1766.7487,94.5628295255,0.166658992673,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,28.9927504394,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3017.68027,96.605887522,-0.0934879663313,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,3087.85555,96.6553163445,2.45152591611,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,19.2937170475,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2358.19876,95.7655975395,-0.597628075199,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,10210.96668,98.9015817223,1.64471652387,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,52.11751,61.0226274165,-0.412048014692,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,16.91096,50.933655536,-0.117752983503,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.65809,21.5180140598,-0.348846416507,NA,NA,NA
ENSMUSG00000083012,Fam220a,69.7831,64.0652460457,-0.252378517876,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,160.9241,73.5171353251,-0.82836421305,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.65216,20.9907732865,-0.108546196422,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,15.20389,50.0439367311,-0.699378124944,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,6.86279,39.6034710018,-0.0979400497146,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,19.2937170475,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,364.44083,82.6065465729,-0.574606040577,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.28537,32.211115993,-0.470614227394,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,19.2937170475,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,19.2937170475,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,5.2408,31.8376537786,0.86514785124,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,19.2937170475,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,10.96673,46.3697275923,0.788913419593,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,150.58566,72.6329086116,-0.766067767504,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,196.55474,75.7853690685,-0.202887858228,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,19.2937170475,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,20.4635325132,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,19.2937170475,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,240.60648,77.9876977153,-0.449312402917,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.77812,25.7524165202,-0.268219245073,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,19.2937170475,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,19.2937170475,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,8.32479,42.9701230228,-0.336731117385,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,19.2937170475,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,19.2937170475,-0.13616494965,ENSG00000133055,86,1
