mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.69056,23.1491652021,-0.587318158574,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,78.67321,65.7403339192,0.729132166938,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,17.5142794376,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,17.5142794376,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,17.5142794376,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,89.7563,67.1078646749,-0.451279229763,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,1536.76841,93.9092706503,0.561394805384,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,6.55856,37.9887961336,-0.277411069706,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,94.24852,67.6570738137,2.27154709141,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,816.21706,90.1087434095,0.243127054702,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,17.5142794376,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,22.5560193322,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,17.5142794376,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,10.24019,44.5243848858,-0.540316268785,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,11.81722,46.2214411248,-0.313668657977,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,8.65252,42.4538664323,0.323123900887,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,17.5142794376,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1512.53815,93.8598418278,0.0558517317461,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,1176.59717,92.5142794376,1.1817950545,ENSG00000245848,92,1
