ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,0.9,52.0617509649,-2.21365911785,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,1.6,59.2829575462,-0.448886889459,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,31.7438553727,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.5,46.3589274832,-0.554342109136,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,1.6,59.2829575462,-1.53058054103,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,31.7438553727,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,31.7438553727,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,6.5,80.1696120252,-0.901948650661,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,3.7,72.1663619744,-1.72595206833,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0,31.7438553727,-0.361496242822,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,0,31.7438553727,-0.608845302282,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,33.7,94.9573430835,2.02701384893,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,31.7438553727,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,1.8,60.9943124111,-1.85416155119,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,31.7438553727,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,0.3,42.286207597,-0.857812924046,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,1.5,58.2571602681,-1.26966614176,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0,31.7438553727,-0.768086104189,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,3.8,72.5624619135,-1.16618335611,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,0,31.7438553727,-0.697493168922,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,31.7438553727,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0,31.7438553727,-0.266027334727,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,31.7438553727,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,0.4,44.3581149705,-0.384634222897,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,2.8,67.8397318708,-1.9124683508,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,2.5,65.9811090798,-2.02059595817,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,31.7438553727,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,4,73.4562258785,-1.6137255133,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,0.1,36.5427584806,-0.709445845824,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,31.7438553727,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,2.6,66.6057282145,-1.56352904674,NA,NA,NA,NA
ENSG00000169740,ZNF32,22.4,92.6416819013,0.370590207904,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.3,42.286207597,-0.320513004262,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,3.6,71.6737761528,-0.896090114469,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,0.3,42.286207597,-0.585147714373,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,31.7438553727,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,14.2,88.9802965671,2.60628753058,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,2.3,64.7471054235,-1.96309745056,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0.1,36.5427584806,-0.263590653682,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,0.4,44.3581149705,-0.614181061616,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,0.5,46.3589274832,-1.3680839943,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,31.7438553727,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,70.4,97.4558196222,1.84128076216,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,0,31.7438553727,-0.478944942478,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,7.7,82.2669104205,-0.554094577657,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0,31.7438553727,-0.187655855866,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,184.6,98.9081860654,5.42931314281,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,31.7438553727,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,0,31.7438553727,-0.340457389894,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,0.6,47.8519195612,-1.40831307462,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,1.6,59.2829575462,-0.669531315476,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,0.3,42.286207597,-1.0569900037,ENSMUSG00000020399,61,1,NM_032782
ENSG00000131023,LATS1,1.3,56.4239284989,-2.1725875686,ENSMUSG00000040021,93,0,NM_001270519
ENSG00000057294,PKP2,1.1,54.3367865123,-0.592255802218,ENSMUSG00000041957,74,1,NM_004572
ENSG00000254415,SIGLEC14,0.1,36.5427584806,-0.507110459194,NA,NA,NA,NM_001098612
ENSG00000131759,RARA,5.1,76.8433881779,-1.43514710157,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000142279,WTIP,1.4,57.3633963031,-0.991072374549,ENSMUSG00000036459,83,1,NM_001080436
ENSG00000146083,RNF44,2.4,65.3463335365,-1.36197803277,ENSMUSG00000034928,84,0,NM_014901
ENSG00000136250,AOAH,0,31.7438553727,-0.808299458776,ENSMUSG00000021322,61,1,NM_001177507
ENSG00000149792,MRPL49,7.6,82.1094860857,-1.59576958497,ENSMUSG00000007338,83,1,NM_004927
ENSG00000149021,SCGB1A1,0,31.7438553727,-0.202669924877,ENSMUSG00000024653,55,1,NM_003357
ENSG00000146085,MUT,6.2,79.5602275036,-0.90517352551,ENSMUSG00000023921,95,1,NM_000255
ENSG00000132591,ERAL1,11,86.563071298,-1.07578638732,ENSMUSG00000020832,78,1,NM_005702
ENSG00000102471,NDFIP2,8.1,82.9372333943,-0.953803917577,ENSMUSG00000053253,81,0,NM_001161407
ENSG00000149798,CDC42EP2,1.4,57.3633963031,-0.90678106884,ENSMUSG00000045664,89,1,NM_006779
ENSG00000177700,POLR2L,8.1,82.9372333943,-1.33484512457,ENSMUSG00000038489,100,0,NM_021128
ENSG00000183054,RGPD6,1.4,57.3633963031,-1.08407790264,NA,NA,NA,NM_001037866
ENSG00000177706,FAM20C,6.5,80.1696120252,-0.522792657372,ENSMUSG00000025854,75,1,NM_020223
ENSG00000177707,PVRL3,0.4,44.3581149705,-1.00218362907,ENSMUSG00000022656,93,0,NM_001243288
ENSG00000174514,MFSD4,0,31.7438553727,-0.485196179814,ENSMUSG00000059149,85,0,NM_181644
ENSG00000099256,PRTFDC1,0.2,39.7115579931,-1.17022975742,NA,NA,NA,NM_001282786
ENSG00000180644,PRF1,0.5,46.3589274832,-0.544820606803,ENSMUSG00000037202,68,1,NM_001083116
ENSG00000121716,PILRB,8.8,83.9934998984,-0.907230815623,ENSMUSG00000046245,40,1,NM_178238
ENSG00000187961,KLHL17,0.6,47.8519195612,-0.980849016274,ENSMUSG00000078484,98,1,NM_198317
ENSG00000147689,FAM83A,0,31.7438553727,-0.254554700967,ENSMUSG00000051225,82,1,NM_207006
ENSG00000147687,TATDN1,5.5,77.8590290473,-0.789850655063,ENSMUSG00000050891,80,1,NM_001146160
ENSG00000147684,NDUFB9,310.3,99.3652244566,3.83322975928,ENSMUSG00000022354,87,1,NM_001278645
ENSG00000189182,KRT77,0.2,39.7115579931,-0.173995413643,ENSMUSG00000067594,73,1,NM_175078
ENSG00000187969,ZCCHC13,0,31.7438553727,-0.179605302027,ENSMUSG00000031330,61,1,NM_203303
ENSG00000188342,GTF2F2,6.5,80.1696120252,-1.09722270726,ENSMUSG00000067995,98,0,NM_004128
ENSG00000188343,FAM92A1,0.8,50.5890717042,-0.612947139379,ENSMUSG00000028218,86,0,NM_001283034
ENSG00000114529,C3orf52,0.1,36.5427584806,-0.858173461442,ENSMUSG00000033187,38,0,NM_001171747
ENSG00000147174,ACRC,0.6,47.8519195612,-0.214711915261,NA,NA,NA,NM_052957
ENSG00000166831,RBPMS2,0.9,52.0617509649,-0.503217578676,ENSMUSG00000032387,85,0,NM_194272
ENSG00000135617,PRADC1,30.5,94.4952264879,2.83448266095,ENSMUSG00000030008,98,1,NM_032319
ENSG00000162849,KIF26B,0,31.7438553727,-0.917519395894,ENSMUSG00000026494,88,1,NM_018012
ENSG00000114520,SNX4,5.4,77.5949624213,-1.42125033558,ENSMUSG00000022808,94,0,NM_003794
ENSG00000166839,ANKDD1A,0,31.7438553727,-0.974056438375,ENSMUSG00000066510,76,0,NM_182703
ENSG00000145198,VWA5B2,0,31.7438553727,-0.242379715836,ENSMUSG00000046613,84,0,NM_138345
ENSG00000189157,FAM47E,1,53.2297379647,-0.331641866329,ENSMUSG00000057068,31,0,NM_001136570
ENSG00000149243,KLHL35,0,31.7438553727,-0.379020159837,ENSMUSG00000035298,89,0,NM_001039548
ENSG00000184702,5-Sep,2.3,64.7471054235,-0.607809624904,ENSMUSG00000072214,99,0,NM_001009939
ENSG00000169813,HNRNPF,15.3,89.6404631322,-2.03461280137,ENSMUSG00000042079,98,0,NM_001098208
ENSG00000145191,EIF2B5,10.9,86.4970546415,-0.736167098747,ENSMUSG00000003235,88,0,NM_003907
ENSG00000145192,AHSG,0,31.7438553727,-0.179710146354,ENSMUSG00000022868,53,1,NM_001622
ENSG00000069956,MAPK6,7.1,81.3172862076,-0.849284635915,ENSMUSG00000042688,95,1,NM_002748
ENSG00000145194,ECE2,0.3,42.286207597,-0.979065515364,ENSMUSG00000022842,92,1,NM_001100120
ENSG00000115694,STK25,120.7,98.3952874264,4.97195728449,ENSMUSG00000026277,99,1,NM_001282305
