mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1123.29814,91.9650702988,-0.678692308152,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,6.12272,38.8949912127,-0.497438001435,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2935.96156,96.6278558875,-0.117781004048,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,926.90605,90.5755711775,-0.425312107555,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.8699472759,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2549.76956,96.1994727592,-0.483177684114,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2408.16125,96.0072495606,-0.400273814587,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,59.98967,62.6318101933,-0.356798774053,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,10.78756,47.0507469244,-0.129101177615,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.6753,24.8901581722,-0.348724720729,NA,NA,NA
ENSMUSG00000083012,Fam220a,337.92849,81.2225395431,0.465349616008,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,790.1318,89.3728031634,0.490277230277,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.67617,24.9505711775,-0.108446301113,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,17.89276,51.9826449912,-0.573768169627,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.64108,21.9244288225,-0.113087300807,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.8699472759,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,457.06307,84.4134446397,-0.351326388061,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,312.95357,80.4371704745,1.79314934414,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.64941,22.9898945518,-0.116186621887,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.8699472759,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.8699472759,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,9.97678,46.2379173989,-0.104411320191,NA,NA,NA
ENSMUSG00000001802,Lrp3,5.52596,36.0061511424,-0.771627413145,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,468.91259,84.6825571178,0.014834501322,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,250.84536,77.9492530756,0.18728440291,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63918,21.3257908612,-0.109697615919,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64127,21.973857645,-0.110518443146,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.8699472759,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,1052.29268,91.5311950791,1.63903543492,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.8699472759,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.8699472759,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.8699472759,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,24.49744,54.7012302285,-0.325625481112,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.89349,30.1021528998,-0.123868778287,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.8699472759,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,50.4997803163,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,28992.7063,99.703427065,1.46357793276,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,25.3789543058,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.8699472759,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.6433,22.2869068541,-0.146964626185,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,961.24137,90.894112478,0.280615215807,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,20.8699472759,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,119.99965,69.4529876977,-0.155206137625,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,3069.70789,96.776142355,-0.53803746421,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.75451,27.5977592267,-0.133258176001,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,13.94699,49.7693321617,-0.526538582539,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,326.99728,80.8490773286,0.108563274361,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,344.35672,81.4037785589,-0.00813865842459,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,206.43575,75.8073374341,1.59186634966,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,20.8699472759,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,52030.3927,99.9340949033,1.04022939841,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,28.026142355,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,20.8699472759,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,45.32246,59.9187170475,0.986370990016,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,671.3393,87.8844463972,0.450978484112,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,20.8699472759,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,1626.52404,94.2113356766,0.860221724764,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,1868.18797,94.9033391916,1.84246227424,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,20.8699472759,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,116.0935,69.0740333919,-0.0913916054197,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,369.04064,82.2001318102,-0.174044578631,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,4.8441,29.2783391916,-0.183027973264,NA,NA,NA
ENSMUSG00000021598,Med10,1320.18842,93.0195518453,0.0348512884461,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.65253,23.2864674868,-0.122245063761,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,4.98661,31.2884446397,-0.135026499576,NA,NA,NA
ENSMUSG00000019913,Sim1,4.65258,23.2974516696,-0.157885692409,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,325.46986,80.7996485062,-0.2883910561,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,244.14598,77.658172232,-0.752424559302,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,130.93224,70.5898506151,-0.00203167322591,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,1760.86699,94.5683216169,0.14455034408,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,4657.48592,97.8580843585,0.489443861539,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,20.8699472759,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,10.20234,46.4576010545,-0.613608191684,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.63584,20.8699472759,-0.127576742456,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,51.29947,61.1764059754,-0.367170781899,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,1000.88333,91.1412565905,0.52657780977,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,6.56003,40.3174428822,-0.460522343202,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,5.10201,32.6669595782,-0.403599692837,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,145.9256,71.7486818981,0.074326957101,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,4.63584,20.8699472759,-0.295067617567,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,8863.1044,98.8356766257,1.35144540646,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,4.93151,30.5909490334,-0.426909637819,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,1289.57055,92.8492970123,-0.323064513687,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,49.59445,60.8578646749,-0.630841915387,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,5.65203,36.6871704745,-0.28698011431,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,4.63584,20.8699472759,-0.129205751722,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,4.63584,20.8699472759,-0.229184951099,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,434.39317,83.8971880492,1.48927369932,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,4.63584,20.8699472759,-0.202942035384,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,11.4129,47.7262741652,-0.196007010003,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,4.63584,20.8699472759,-0.164046418312,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,7.71203,43.014059754,-0.356193174905,ENSG00000070182,91,1
ENSMUSG00000054074,Skida1,4.63584,20.8699472759,-0.188085268602,ENSG00000180592,92,1
ENSMUSG00000041536,Serpina3a,4.63584,20.8699472759,-0.117658559847,ENSG00000273259,51,0
ENSMUSG00000054072,Iigp1,1489.00849,93.7280316344,0.710395566321,NA,NA,NA
ENSMUSG00000045007,Tubg2,4.63969,21.5125219684,-0.398930960771,ENSG00000037042,98,1
ENSMUSG00000001270,Ckb,571.15261,86.6212653779,-0.435907805701,ENSG00000166165,97,0
ENSMUSG00000041671,Pyroxd1,73.34583,64.4606766257,-0.597040930025,ENSG00000121350,85,0
ENSMUSG00000030922,Lyrm1,17.93858,52.0101054482,-0.30530915418,ENSG00000102897,88,0
ENSMUSG00000010392,Gosr1,46.89911,60.2976713533,-0.462715635536,ENSG00000108587,98,0
ENSMUSG00000006958,Chrd,10.52161,46.776142355,-0.462650299685,ENSG00000090539,86,0
ENSMUSG00000054079,Utp18,545.85341,86.1544376098,-0.0975493845529,ENSG00000011260,81,1
ENSMUSG00000034957,Cebpa,146.23235,71.7706502636,-0.199558457409,ENSG00000245848,92,1
ENSMUSG00000046818,Ddit4l,10.626,46.8969683656,-0.238133351402,ENSG00000145358,93,0
ENSMUSG00000031671,Setd6,4.68348,25.296572935,-0.332143610797,ENSG00000103037,78,1
ENSMUSG00000096225,Lhx8,4.66308,24.1432337434,-0.274384948088,ENSG00000162624,91,0
ENSMUSG00000048285,Frmd6,275.44728,79.0366871705,-0.211358094814,ENSG00000139926,94,0
ENSMUSG00000084980,Slc36a1os,4.63584,20.8699472759,-0.431076076289,NA,NA,NA
ENSMUSG00000048280,Zfp65 /// Zfp738,268.69573,78.7126537786,-0.366052216324,ENSG00000196350,35,0
ENSMUSG00000048281,Dleu7,4.6566,23.6434534271,-0.294678963207,ENSG00000186047,83,1
ENSMUSG00000087579,1500017E21Rik,4.63584,20.8699472759,-0.139302035736,NA,NA,NA
ENSMUSG00000058569,Tmed9,812.05858,89.5869947276,-0.37468199766,ENSG00000184840,94,0
ENSMUSG00000034402,Kcnh5,4.64026,21.6882688928,-0.263974109098,ENSG00000140015,98,1
ENSMUSG00000036766,Dner,5.70449,36.9562829525,-0.381759769256,ENSG00000187957,90,0
ENSMUSG00000036764,Dnajc12,54.34667,61.7091388401,-0.32933739014,ENSG00000108176,76,0
ENSMUSG00000055805,Fmnl1,8.74838,44.6287346221,0.353504874012,ENSG00000184922,88,1
ENSMUSG00000070319,Eif3g,3188.02528,96.8969683656,-0.0612242772009,ENSG00000130811,98,0
ENSMUSG00000036769,Wdr44,123.77216,69.881370826,-0.186842863069,ENSG00000131725,92,1
ENSMUSG00000072244,Trim6,4.63584,20.8699472759,-0.147904155289,ENSG00000121236,76,0
ENSMUSG00000021583,Erap1,104.9863,67.986599297,0.617635853688,ENSG00000164307,84,1
ENSMUSG00000086999,Bcas1os2,4.63584,20.8699472759,-0.243128323944,NA,NA,NA
ENSMUSG00000021587,Pcsk1,4.63584,20.8699472759,-0.180140544652,ENSG00000175426,93,0
ENSMUSG00000074384,AI429214,8.23238,43.848857645,-0.23047481266,ENSG00000164743,50,1
ENSMUSG00000021585,Cast,308.42243,80.2394551845,-0.205988496261,ENSG00000153113,67,1
ENSMUSG00000086992,Gm15941,4.63584,20.8699472759,-0.281098617159,NA,NA,NA
ENSMUSG00000074388,Gm5544,4.67562,24.9231107206,-0.129439509247,NA,NA,NA
ENSMUSG00000021589,Rhobtb3,34.81256,57.5516256591,-0.739795802809,ENSG00000164292,96,0
ENSMUSG00000086996,4933416E14Rik,4.63584,20.8699472759,-0.176258859816,NA,NA,NA
ENSMUSG00000079808,C130026I21Rik /// LOC102638047,4.92865,30.5634885764,-0.151188688532,ENSG00000280755,36,0
ENSMUSG00000037145,2210407C18Rik,5.09774,32.6010544815,-0.126179451418,NA,NA,NA
ENSMUSG00000001098,Kctd10,471.37738,84.7045254833,0.0886491102101,ENSG00000110906,98,0
ENSMUSG00000031621,Isx,4.63584,20.8699472759,-0.1665525261,ENSG00000175329,63,1
ENSMUSG00000037140,Tas2r108,4.63584,20.8699472759,-0.388418713361,ENSG00000127364,67,1
ENSMUSG00000037143,4930529M08Rik,4.63584,20.8699472759,-0.176790572538,ENSG00000089101,17,0
ENSMUSG00000054293,A630033H20Rik,22.97978,54.2124340949,-0.133650281904,NA,NA,NA
ENSMUSG00000084846,A730011C13Rik,4.63584,20.8699472759,-0.429519587825,NA,NA,NA
ENSMUSG00000084847,Gm15507 /// Gm15507,4.63584,20.8699472759,-0.354824253549,NA,NA,NA
ENSMUSG00000084844,Hoxb3os /// Hoxb3os,4.64782,22.8251318102,-0.441284388127,NA,NA,NA
