mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,6.98815,39.6693760984,-0.443124946753,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,41.6213,56.3708260105,-0.39161437998,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,5.11877,30.9259666081,-0.188749104094,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.8205184534,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.8205184534,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,229.25908,74.6759666081,0.136882315368,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,25.72893,52.5043936731,-0.304512598583,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.8205184534,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.25667,40.2240773286,-0.404844906598,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,1151.06379,90.9874780316,0.571221358493,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.8205184534,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,7.03782,39.8011862917,1.67835009867,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,16.09715,48.6599297012,-0.233571542284,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,52.21235,58.3809314587,-0.421586381599,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.91771,46.7102372583,-0.288035407459,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.15267,37.3352372583,-0.276879264103,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.8205184534,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,992.57171,89.9110281195,-0.422349947918,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,399.9686,81.3873022847,0.140611794169,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,898.34919,89.098198594,-0.389979886757,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.8205184534,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,60.42213,59.7319859402,-0.383345138229,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.68228,22.6603690685,-0.173947957368,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,177.06947,71.6168717047,-0.263869686661,ENSG00000121864,93,0
