mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,7.01782,39.7956942004,-0.441262903223,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,28.6542,56.0852372583,-0.783843351402,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,19.6726713533,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.6726713533,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.64412,21.1445518453,-0.350906943348,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,115.94149,70.6337873462,-0.34087912297,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,2571.13019,96.1280755712,1.15414008804,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,19.6726713533,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.12293,40.1032513181,-0.408959552577,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,117.77815,70.7546133568,-0.441227330114,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,19.6726713533,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,23.2370386643,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,19.6726713533,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,460.97491,85.5118629174,0.734711808318,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,61.68993,63.7686731107,0.847995391162,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,10.98952,46.4246485062,0.884040514517,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,19.6726713533,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,826.90078,90.5975395431,-0.574713852399,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,13.19846,48.401801406,-0.377909685621,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,334.80184,82.3209578207,-0.531688152423,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,19.6726713533,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,60.92979,63.6478471002,-0.370777603457,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.07475,30.3657732865,-0.173415382867,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,197.17131,76.499340949,-0.0405057286929,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.6726713533,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,285.91219,80.6513620387,-0.703860779295,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.216168717,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,956.21007,91.5476713533,-0.475967249101,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,31.69008,57.0188927944,-0.701146028841,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,89.95841,68.0305360281,0.154387884753,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,619.43214,88.3732425308,3.96726475561,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.68124,34.8033831283,-0.122405882122,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,67.46571,64.7407732865,-0.630683514885,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.68094,23.401801406,-0.11576212467,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,19.6726713533,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,19.6726713533,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,19.6726713533,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,4.64112,20.7051845343,-0.444861358197,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,28087.54533,99.829745167,2.31572764685,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,19.6726713533,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,23.7313268893,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67691,23.204086116,-0.312252807004,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,37.20121,58.6939806678,-0.216268122504,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,36.06056,58.3589630931,-0.291104436783,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.8758,27.9382688928,-0.177106155973,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,403.35675,84.1608084359,-1.23002301624,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,28.0810632689,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,19.6726713533,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,89.93897,68.0250439367,0.636987547798,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.89231,28.2073813708,-0.384246801481,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,121.17911,71.0676625659,-0.0828000898089,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63671,19.8429261863,-0.108775706007,NA,NA,NA
ENSMUSG00000035041,Creb3l3,19.36072,52.2847100176,-0.131271273751,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,1236.5316,92.9481546573,-0.199450531744,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.78856,26.4663884007,-0.32179242499,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,29.80536,56.4861599297,-0.214362095491,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.691,34.841827768,-0.242964186786,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,19.6726713533,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.68043,23.3798330404,-0.258110803045,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,144.59749,73.1931019332,0.12865902012,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,67.46902,64.7462653779,-0.583923296138,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.69216,23.9180579965,-0.267675601235,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.93691,28.7565905097,-0.232681722138,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,230.66084,78.3611599297,0.925192080974,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,19.6726713533,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,373.90168,83.4028998243,1.08571383567,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,11.81461,47.2374780316,0.492563639018,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.64981,21.7212214411,-0.187221774729,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.71616,24.8407293497,-0.17585072067,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,5.93546,35.9347539543,-0.541992350544,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,16.90695,50.961115993,-0.672322274067,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,491.66658,86.170913884,1.52993935005,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.91046,28.421572935,0.367449986331,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,21.83108,53.4655096661,-0.0874631361284,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.42198,33.2216608084,-0.276985968527,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,130.27594,71.973857645,-0.911045720298,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,166.08579,74.5826010545,-0.221317788479,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,115.24276,70.5953427065,-0.348948059961,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,43.36025,60.2866871705,-0.398481470764,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,634.27296,88.6039103691,2.408580201,NA,NA,NA
