ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0,24.7409326425,-0.770729119932,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,0.1,27.5259067358,-0.474236998759,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,24.7409326425,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,4.8,63.9896373057,0.116755996357,NA,NA,NA,NM_023074
ENSG00000079263,SP140,39.2,96.6968911917,3.44716890794,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,0.4,31.8652849741,-0.775185072043,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,6.1,69.8834196891,-0.0919730131441,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,20.4,91.1917098446,-0.408736229692,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,9.4,77.7202072539,1.92329650069,NA,NA,NA,NM_001289166
ENSG00000198416,,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,3.3,55.7642487047,2.48875021496,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,24.7409326425,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,24.7409326425,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,22.1,91.9689119171,0.334690450125,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,24.7409326425,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,4,59.7797927461,0.857757966626,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,20.2,91.1269430052,0.18204972965,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,4.3,61.5284974093,-0.830317105278,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,24.7409326425,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,7.8,75.0647668394,1.67563814777,NA,NA,NA,NM_001277090
