mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,26.8508347979,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,48.64602,60.138400703,-0.179130578657,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.6548769772,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.6548769772,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.6548769772,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,459.71022,82.6230228471,1.10849376698,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,8.6686,46.4576010545,-0.314289091028,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,22.6548769772,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,22.33674,54.9538664323,0.059108655458,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,1929.59635,93.9971441125,1.334054247,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.6548769772,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,23.7368189807,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.6548769772,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,7.32213,43.8763181019,-0.548570810238,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,10.13091,48.302943761,-0.35294716726,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,14.54944,51.7409929701,1.73847708756,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.6548769772,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1213.98091,91.2401142355,-0.218724784469,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,5.75021,38.1480667838,-0.387895145233,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3722.55574,96.8640158172,0.320188321971,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.6548769772,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,57.11367,61.3521528998,-0.465248747128,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.06812,32.8097539543,-0.173424379654,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,281.00596,77.0210896309,0.891032838864,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.6548769772,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,796.60187,87.9283831283,0.994931630357,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,36.072056239,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,5209.60339,97.8196397188,2.99895333657,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,113.71898,67.1847539543,0.0563937452368,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,115.2853,67.3055799649,0.577090465465,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,200.7058,73.0503075571,0.442835033882,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,33.045913884,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,101.82579,66.0698594025,-0.486079345962,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.70052,25.367970123,-0.115619205387,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,22.6548769772,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,22.6548769772,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,22.6548769772,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,213.50422,73.7862478032,1.10783827121,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,840.0192,88.433655536,-0.792376305739,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,22.6548769772,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,24.9066344464,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67781,24.533172232,-0.312252077364,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,7.51535,44.3596221441,-0.528196518214,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,37.19347,58.3809314587,-0.247195050496,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,5.10876,33.3095342707,-0.176750208896,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,3597.8029,96.7541739895,0.105214864009,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,5.92149,39.026801406,-0.179312906193,ENSG00000137265,92,0
