mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.84177,24.0278998243,-0.577828451725,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,21.96613,57.408831283,-0.986144160133,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,19.7056239016,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.7056239016,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,19.7056239016,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,110.03921,71.0621704745,-0.3657638896,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,48.17018,63.9499121265,-0.291652547746,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,6.18957,38.0711775044,-0.278534727437,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,12.91856,52.2462653779,-0.230651150636,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,10.22742,49.0608523726,-0.546609221948,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,19.7056239016,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,7.03073,41.9705623902,1.67197303387,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,13.17138,52.4934094903,-0.256023790233,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,101.95231,70.3042618629,-0.280883119259,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,9.78088,48.3468804921,-0.361100268768,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.90879,25.3240333919,-0.575429951892,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,19.7056239016,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,8172.17944,98.6159929701,6.18057710986,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,5.99451,36.6871704745,-0.387567625643,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3986.34573,97.1111599297,0.386520320486,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,19.7056239016,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,60.42213,65.8666520211,-0.383345138229,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,7.07558,42.124340949,-0.170700293716,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,382.68064,82.8701669596,2.02080299672,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.7056239016,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,882.23294,89.9165202109,1.27978056591,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,32.0188927944,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,616.13925,86.9837434095,-0.7537969733,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,132.73811,72.638400703,0.232036079138,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,33.21421,60.9237697715,-0.792665613738,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,87.26982,68.920254833,-0.511958350804,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.38964,31.7333040422,-0.161289892493,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,741.20822,88.4885764499,2.20475737253,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,19.7056239016,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,19.7056239016,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,14.46295,53.5039543058,0.705149574647,ENSG00000164916,89,0
