ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,1.2,39.0544041451,0.171818593615,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,4.9,65.9974093264,-0.106529764991,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,24.3523316062,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,24.3523316062,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,6.2,70.2720207254,0.66735269497,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.8,35.103626943,-0.407837602869,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,2,45.9844559585,-0.521416045901,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,7.2,72.6683937824,0.317830792258,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,25.2,92.3575129534,-0.0036918111069,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,5.8,68.9766839378,0.22938398632,NA,NA,NA,NM_001289166
ENSG00000198416,,0,24.3523316062,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0,24.3523316062,-0.494360144855,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,24.3523316062,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0.1,26.4896373057,0.240099902343,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,32.2,94.7538860104,1.54331562868,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,24.3523316062,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.1,46.6321243523,-0.934396135466,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,15.6,87.1113989637,-0.156733079509,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,24.3523316062,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,4.7,64.9611398964,-0.625537549448,NA,NA,NA,NM_001145347
