mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,36.5926,62.2363796134,1.41480476642,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,71.38514,67.5527240773,0.508682552163,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.2434094903,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.2434094903,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,5.79553,37.2473637961,1.91329317818,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,12.12235,52.2188049209,-0.778593882465,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,30.80112,60.8194200351,-0.301605959191,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,777.96362,91.0478910369,2.07169123447,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.25667,44.0026362039,-0.404844906598,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,9.77974,49.3739015817,-0.547047874157,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.2434094903,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,5.27287,32.6394991213,0.0908747066321,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,21.2434094903,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,520.99803,87.7746045694,0.904503838706,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,11.60757,51.6915641476,-0.318551947213,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.08304,38.9883567663,-0.293591554992,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,5.05398,29.9044376098,-0.146993701811,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1029.41507,93.0195518453,-0.388465921409,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,5.0195,29.3003075571,-0.388874767989,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,146.57971,74.4892355009,-0.579018038017,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.2434094903,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,63.59322,66.4543057996,-0.304842235023,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.08139,30.288884007,-0.17340637251,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,161.17369,75.6206063269,-0.440497514551,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,21.2434094903,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,515.01854,87.7032073814,0.0582539522639,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,34.1443321617,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,776.66065,91.0259226714,-0.622654829761,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,72.88438,67.6955184534,-0.320715220732,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,39.51348,62.9009226714,-0.687531596667,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,88.48273,69.414543058,-0.501749258025,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,30.3767574692,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,438.045,86.2862478032,0.928896970684,NA,NA,NA
ENSMUSG00000017688,Hnf4g,5.34539,33.4303602812,-0.110912139109,ENSG00000164749,90,0
ENSMUSG00000062327,T,6.65835,41.7893233743,1.34625686198,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,21.2434094903,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,21.2434094903,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,7.44286,44.584797891,-0.424033070866,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,175.09346,76.5707381371,-0.868223863819,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,21.2434094903,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.84137,26.2686731107,-0.251046286921,NA,NA,NA
ENSMUSG00000008193,Spib,5.54144,35.336115993,-0.311551923,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,12.46412,52.5318541301,-0.476196613652,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,18.19387,56.4696836555,-0.983582562039,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,5.03908,29.6353251318,-0.176856675209,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,7684.42854,99.0278998243,1.81337242895,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,27.1309314587,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,21.2434094903,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,56.06214,65.4657293497,-0.171576270538,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,92.26278,69.7989894552,-0.102667439839,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,338.78442,83.5456942004,1.67791290382,ENSG00000175105,85,1
