ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,5.8,58.0641885029,0.435972559088,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,4.7,53.9305301645,-0.137055100703,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0.8,33.6329473898,-0.0961457534507,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0,20.5667276051,-1.15363087577,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,17.1,80.6571196425,0.300504717897,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,20.5667276051,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,20.5667276051,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,13,75.3351614869,-0.000433420783595,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,13.4,75.9547024172,1.08630788973,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.1,24.1620962828,-0.317004397552,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,13.8,76.4676010563,-0.101550801362,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,21.2,84.3032703636,0.769366044415,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,20.5667276051,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,9.2,67.9463741621,0.746937117778,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,20.5667276051,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,2.4,43.8198253098,0.00127840972287,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,10.3,70.287426366,-0.416760641951,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,29.6,88.8787324802,1.33886772694,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,5.8,58.0641885029,-0.82723814816,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,1.4,38.0611415803,-0.302452790064,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0.5,30.489538899,-0.1736982165,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,45.8,93.1596587447,-0.190093540122,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,20.5667276051,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,3.5,49.1011578306,-0.314053914145,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,8.8,67.0069063579,-0.171387633144,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,10.1,69.8608572009,-0.771780362167,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,20.5667276051,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,9.5,68.6573227707,-0.209097964632,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,1.2,36.6290879545,-0.343280247979,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,20.5667276051,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,9.5,68.6573227707,0.170409745426,NA,NA,NA,NA
ENSG00000169740,ZNF32,20.4,83.5720089376,0.131258489379,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,1,35.3138330286,-0.0940306290107,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,13.1,75.482429413,-0.498118756107,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,12.8,75.015234613,0.947655728647,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,20.5667276051,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,5.8,58.0641885029,-1.21987351923,ENSMUSG00000029028,87,1,NM_020710
