mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,3034.82768,96.5729349736,1.83263347763,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,5.14713,30.5634885764,-0.558664528152,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3027.07039,96.5564586995,-0.0906965059752,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,837.51341,89.9439806678,-0.544319120809,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,19.5463532513,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,993.89836,91.1247803163,-1.41270382963,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,914.91828,90.5481107206,-0.791628882198,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,15.43291,48.3358963093,-0.669511822989,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,12.67088,46.1939806678,-0.125610913884,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.6477,21.8145869947,-0.348919886533,NA,NA,NA
ENSMUSG00000083012,Fam220a,43.57339,58.7598857645,-0.322532422994,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,72.34379,63.7357205624,-1.0140034985,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.66922,23.0997363796,-0.108475217081,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,7.53067,39.5485500879,-1.05783086581,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.68815,23.8576449912,-0.112766385337,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,14.73308,47.8690685413,-0.101002157447,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,324.91108,81.0962214411,-0.669898368252,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.47606,32.8646748682,-0.469211166969,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,19.5463532513,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,19.5463532513,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,19.5463532513,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,19.5463532513,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,12.70062,46.2489015817,1.28623386219,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,88.17096,65.8556678383,-0.919180106563,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,85.95863,65.4876977153,-0.99771271585,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,19.5463532513,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,6.56795,37.3187609842,-0.109550186974,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63658,20.1559753954,-0.109338740078,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,41.36595,58.1557557118,-0.961928645541,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,34.44864,56.0962214411,0.218989071209,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,19.5463532513,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,19.5463532513,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,840.73535,89.9769332162,0.234878909952,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,19.5463532513,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,19.5463532513,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,48.0008787346,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,7894.58937,98.7148506151,-1.3410331208,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,23.7368189807,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,19.5463532513,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,19.5463532513,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,709.57295,88.6753075571,-0.240473217142,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,19.5463532513,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,276.15418,79.2398945518,2.38688078649,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,24489.9474,99.7748242531,1.9053524703,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,23.2098,52.4384885764,-0.12941495642,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,47.58241,59.6111599297,-0.122553246812,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,196.15138,75.0384446397,-0.589748630519,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,664.27562,88.2304481547,1.46133030877,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,4.96648,28.7346221441,-0.537410691137,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,19.5463532513,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,20385.52525,99.6485061511,-1.42710022651,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.70496,24.4288224956,-0.326358908831,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,21.59967,51.7904217926,3.74234995256,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.86823,34.7923989455,-0.269369345827,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,354.7549,82.1726713533,-0.467692054444,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,19.5463532513,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,50.23749,60.1054481547,-0.484278683794,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.63584,19.5463532513,-0.375256853748,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.66489,22.8965289982,-0.160892240695,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,4.73362,25.1482864675,-0.170855293726,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,407.23138,83.5951230228,-0.121099683495,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,5.13053,30.4371704745,-0.179377601681,NA,NA,NA
ENSMUSG00000021598,Med10,907.22919,90.4712214411,-0.487316970916,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,19.5463532513,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,5.09981,30.1625659051,-0.133694647657,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,19.5463532513,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,94.32585,66.5311950791,-0.913688869501,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,410.71182,83.6775043937,-0.316695834217,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,7.66049,39.8341388401,-0.471584928149,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,557.73244,86.6761862917,-0.559406277658,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,1505.41412,93.5577768014,-1.18428658712,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,19.5463532513,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,12.13697,45.5953427065,-0.555415607315,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,7.37554,39.3233743409,-0.116353662377,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,40.95432,58.0623901582,-0.462621803664,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,280.79473,79.4705623902,-1.15437334431,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,6.30862,36.4180579965,-0.617906984985,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,58.70055,61.440026362,4.78543198846,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,7.74544,40.0098857645,-0.229514132822,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,210.88193,75.9061950791,6.6928764762,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,1328.13895,92.9206942004,-0.590260144742,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,5.51648,33.0843585237,-0.0726085960851,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,687.29348,88.5050527241,-0.782520099369,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,48.23034,59.7649384886,-0.638242445633,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,5400.25934,97.9569420035,2.18149920856,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,4.63584,19.5463532513,-0.129205751722,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,4.63584,19.5463532513,-0.229184951099,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,111.42793,68.3875219684,-0.330409449642,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,4.63584,19.5463532513,-0.202942035384,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,4.82969,26.9387082601,-0.252684932531,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,4.63584,19.5463532513,-0.164046418312,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,200.0341,75.2361599297,0.348783025127,ENSG00000070182,91,1
