mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1203.09573,94.3211775044,-0.57385597619,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,32.75532,60.3910369069,1.17398298018,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,915.93453,92.7833919156,-0.718287214053,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,599.52351,89.6309314587,-0.861151325156,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.94346,27.5922671353,0.297243965426,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2650.63179,97.4901142355,-0.422919431451,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1426.78243,95.2218804921,-0.657477486172,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,140.17912,74.2915202109,0.205995455196,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,23.00274,57.4198154657,-0.106463389171,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.70306,22.7647188049,-0.348528423528,NA,NA,NA
ENSMUSG00000083012,Fam220a,71.715,67.3605008787,-0.247207520971,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,656.55546,90.3449033392,0.210338987671,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.68997,22.4791300527,-0.108388885234,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,28.8197,59.3585237258,-0.0633186331453,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.77497,24.0718365554,-0.112174460946,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.7875659051,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,316.17411,83.1996924429,-0.690960130801,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,45.21641,63.2524165202,-0.176809298169,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.7875659051,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.7875659051,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.7875659051,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.7875659051,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,39.9934094903,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,343.30226,84.0729349736,-0.293305911696,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,548.33691,88.7741652021,2.32527713044,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.7875659051,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,6.3878,39.224516696,-0.10964072165,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.87346,26.2412126538,-0.1058876602,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,441.50231,86.5883128295,0.0675626803484,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.7875659051,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.7875659051,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.87655,26.3071177504,-0.129379965088,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,8.27718,45.0076889279,-0.336763810811,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,20.7875659051,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.7875659051,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,67.72771,66.8112917399,3.5712353193,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,12544.46752,99.5880931459,-0.722916361827,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,22.369288225,-0.389479064844,ENSG00000132470,85,0
