mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,46.32249,63.5874340949,2.02543768603,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,64.86732,66.1577328647,0.311531467146,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,23.4951669596,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,23.4951669596,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,23.4951669596,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,36.05532,61.6761862917,-0.677689422964,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,65.12635,66.1851933216,-0.281935744618,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,157.57898,74.9560632689,0.182480153459,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,45.1230228471,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,6.84076,43.3765377856,-0.549927587502,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,23.4951669596,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,25.2141915641,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,595.11159,89.2190246046,4.20976329698,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,18.60019,56.4586994728,-0.516667691803,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,35.30031,61.4839630931,0.233313076437,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.76737,26.8837873462,-0.60937296751,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,23.4951669596,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1898.90025,96.6113796134,0.411180443304,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,5.0195,31.0358084359,-0.388874767989,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,164.35569,75.4228910369,-0.5745481327,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,23.4951669596,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,97.00754,69.8703866432,0.522356339812,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.08139,31.8815905097,-0.17340637251,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,293.08588,82.0243848858,1.02526028984,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,23.4951669596,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,526.21056,88.1206063269,0.0954838383753,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,35.6162126538,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1081.02517,93.6291739895,-0.373996298436,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,178.86868,76.4224516696,0.658053514162,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,110.57051,71.0566783831,0.498401218561,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,54.8773,64.790202109,-0.784606974365,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,31.9420035149,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,408.17028,85.5503075571,0.803169409589,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,23.4951669596,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,23.4951669596,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,8.23005,47.0068101933,0.164280745069,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,23.4951669596,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,5.874,38.9169595782,-0.435696061315,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,463.0476,86.9123462214,-0.83537716073,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,23.4951669596,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.91021,29.4650702988,-0.19005040223,NA,NA,NA
ENSMUSG00000008193,Spib,3781.47288,98.3413884007,2.74963733176,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,13.16345,53.1854130053,-0.468848304222,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,24.89204,58.7489015817,-0.723974531439,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.99344,30.6513620387,-0.176926410033,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,4353.93015,98.5885325132,0.421266441992,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,7.23895,44.6671792619,-0.0229758881111,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,23.4951669596,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,114.58522,71.4740773286,1.22523816061,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,10.96053,51.1203866432,-0.364690016289,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,111.07908,71.1225834798,-0.164522608699,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,23.4951669596,-0.108783711886,NA,NA,NA
