mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1144.41067,91.0863356766,-0.650955127071,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,6.40665,37.796572935,-0.479618991676,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,11381.81424,98.8301845343,2.39297103432,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1082.03122,90.6414762742,-0.218796412725,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.3591827768,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2940.92595,95.6557557118,-0.249488615578,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2734.34101,95.4141036907,-0.314787323377,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,773.32572,88.0217486819,4.64961307258,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,10.78756,45.447056239,-0.129101177615,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,23.7093585237,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,80.73467,64.7242970123,-0.223065129721,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,573.55362,85.3910369069,0.036390598139,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.3591827768,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,13.90402,48.0667838313,-0.760101258684,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,8.75086,42.8932337434,-0.0850675009254,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.44641,33.4358523726,-0.106940929972,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1391.31595,92.3605008787,1.90082880068,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,14.58318,48.5171353251,-0.40220272574,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.3591827768,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.3591827768,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.3591827768,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.3591827768,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,8.74818,42.8822495606,0.152581087134,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,461.23324,83.4248681898,-0.00400406140376,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,249.04116,77.0869947276,0.174318096879,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.65077,21.4301405975,-0.109603556099,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.94598,28.9378295255,-0.11036531064,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.3591827768,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,158.9794,72.2814147627,-0.659326736075,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.3591827768,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.3591827768,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.72761,24.9231107206,-0.135361112899,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,13.25691,47.5724956063,-0.333344267934,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,20.3591827768,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.3591827768,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,18.10058,50.7084797891,-0.1299809411,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,6524.29827,97.7866871705,-1.5231884088,NA,NA,NA
ENSMUSG00000020758,Itgb4,6.71978,38.730228471,-0.364811751107,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.3591827768,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,20.3591827768,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,437.48579,82.9525483304,-0.803839378975,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,277.45831,78.2183655536,0.317467048343,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,115.09369,68.4094903339,-0.235071747455,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,18932.83251,99.4123462214,1.27145672974,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,69.59486,63.2304481547,-0.119755505344,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,130.60545,69.9967047452,0.87461255898,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,132.83973,70.2163884007,-0.927636779193,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,204.78042,74.9835237258,-0.649248144004,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,10.42646,45.0461335677,-0.479705562919,ENSG00000092929,88,1
