ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,1.2,55.4336786512,-2.05143677028,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,1,52.6812918952,-0.509241429218,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0.6,46.1710339224,-0.150122316791,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0,28.4481007516,-1.15363087577,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,9.8,91.3619744059,-0.561877371793,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,28.4481007516,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,28.4481007516,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,3.7,76.7926061345,-1.29029367276,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,1.2,55.4336786512,-2.45076133587,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0,28.4481007516,-0.361496242822,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,13.8,94.1854560228,-0.101550801362,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,1.2,55.4336786512,-1.24287044282,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,28.4481007516,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,1.2,55.4336786512,-2.06506144327,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,28.4481007516,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,3,72.8519195612,0.246733076514,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,12.3,93.3069266707,-0.222918482904,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,10.5,92.0272191753,-0.0206869411207,ENSMUSG00000040471,70,0,NM_001288703
