ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,8.7,67.5655088361,2.00412191891,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,3.7,50.8937639651,-0.237646000302,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,21.1405646963,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.6,32.1704245379,-0.43448435581,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,8.1,66.0217347146,-0.762706077612,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,21.1405646963,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,21.1405646963,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,17.3,81.0329067642,0.595953577443,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,8.7,67.5655088361,-0.27633353325,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.2,26.6199471867,-0.272512552281,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,55.8,94.642494414,1.44238898405,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,6.2,60.1665651026,-0.739811321009,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,21.1405646963,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,4.6,54.6567133861,-0.869962054824,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,21.1405646963,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,0.9,34.938045907,-0.612358257255,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,10.6,71.7702620353,-0.387684318094,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0.2,26.6199471867,-0.753849929655,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,14.7,78.219581556,0.681068027231,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,2.5,45.2366443226,0.00793607903957,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,1.5,39.549055454,-0.145223099041,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,1.8,41.4787731058,-0.263043037122,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,21.1405646963,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,2.7,46.3436928702,-0.332268187371,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,6.8,62.1064391631,-0.751747872361,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,17.4,81.1395490555,0.427739881361,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,21.1405646963,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,17.6,81.2868169815,1.85953533432,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,0.5,30.9618119033,-0.576294719335,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,21.1405646963,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,15.5,79.1285801341,1.67818260818,NA,NA,NA,NA
ENSG00000169740,ZNF32,23.2,85.9536867764,0.466322895314,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.5,30.9618119033,-0.25580375419,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,15.2,78.8289660776,-0.410146140048,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,1.7,40.8541539712,-0.413473728754,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,3.1,48.273410522,0.746436168462,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,7.4,64.0260004063,-0.491080938313,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,14.9,78.4938045907,0.108946769508,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0,21.1405646963,-0.290539218915,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,16,79.7074954296,-0.268522452869,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,7.4,64.0260004063,0.117033734026,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,21.1405646963,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,55.9,94.6526508227,0.945355559093,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,0.3,28.4430225472,-0.408317116859,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,6.5,61.2228316067,-0.857189047486,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0.2,26.6199471867,-0.141990552537,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,18.1,81.7794028032,-0.0553822469916,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,21.1405646963,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,0.7,33.1759089986,0.414616425317,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,2.8,46.8007312614,-0.327121793777,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,2,42.6873857404,-0.609179196898,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,5.2,56.7844810075,0.0206174903193,ENSMUSG00000020399,61,1,NM_032782
ENSG00000131023,LATS1,6.9,62.4365224457,0.0183392310237,ENSMUSG00000040021,93,0,NM_001270519
ENSG00000057294,PKP2,2.1,43.1291895186,-0.546154645149,ENSMUSG00000041957,74,1,NM_004572
ENSG00000254415,SIGLEC14,1.3,38.1271582368,-0.297045285159,NA,NA,NA,NM_001098612
ENSG00000131759,RARA,15.8,79.5094454601,-0.182548662678,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000142279,WTIP,3.9,51.7976843388,-0.475560086097,ENSMUSG00000036459,83,1,NM_001080436
ENSG00000146083,RNF44,8.2,66.2959577493,-0.496874942824,ENSMUSG00000034928,84,0,NM_014901
ENSG00000136250,AOAH,4.3,53.5445866342,-0.429477914063,ENSMUSG00000021322,61,1,NM_001177507
ENSG00000149792,MRPL49,54.5,94.4292098314,2.69237901508,ENSMUSG00000007338,83,1,NM_004927
ENSG00000149021,SCGB1A1,1.6,40.2193784278,-0.199984443471,ENSMUSG00000024653,55,1,NM_003357
ENSG00000146085,MUT,20.5,83.9833434897,0.50273743735,ENSMUSG00000023921,95,1,NM_000255
ENSG00000132591,ERAL1,16.3,80.0731261426,0.142193394318,ENSMUSG00000020832,78,1,NM_005702
ENSG00000102471,NDFIP2,18.2,81.850497664,-0.284525962386,ENSMUSG00000053253,81,0,NM_001161407
ENSG00000149798,CDC42EP2,2.8,46.8007312614,-0.655084712681,ENSMUSG00000045664,89,1,NM_006779
ENSG00000177700,POLR2L,22.3,85.2985984156,1.48109556533,ENSMUSG00000038489,100,0,NM_021128
ENSG00000183054,RGPD6,5.3,57.2110501727,-0.16246399086,NA,NA,NA,NM_001037866
ENSG00000177706,FAM20C,8.2,66.2959577493,-0.306847930257,ENSMUSG00000025854,75,1,NM_020223
ENSG00000177707,PVRL3,4.5,54.3012390819,-0.596361122485,ENSMUSG00000022656,93,0,NM_001243288
ENSG00000174514,MFSD4,0.3,28.4430225472,-0.46490923153,ENSMUSG00000059149,85,0,NM_181644
ENSG00000099256,PRTFDC1,17.6,81.2868169815,1.8159477354,NA,NA,NA,NM_001282786
ENSG00000180644,PRF1,1.5,39.549055454,-0.404673826918,ENSMUSG00000037202,68,1,NM_001083116
ENSG00000121716,PILRB,15.3,78.9203737558,-0.0962982429991,ENSMUSG00000046245,40,1,NM_178238
ENSG00000187961,KLHL17,1.7,40.8541539712,-0.0552220625784,ENSMUSG00000078484,98,1,NM_198317
ENSG00000147689,FAM83A,0,21.1405646963,-0.254554700967,ENSMUSG00000051225,82,1,NM_207006
ENSG00000147687,TATDN1,8,65.7576680886,0.163211975481,ENSMUSG00000050891,80,1,NM_001146160
ENSG00000147684,NDUFB9,75.8,96.3741620963,-0.499173185811,ENSMUSG00000022354,87,1,NM_001278645
