mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,869.06699,92.2781195079,-1.0126956438,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,10.52833,42.8657732865,-0.220948699196,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1814.96396,95.6392794376,-0.45102704987,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1291.47172,94.3266695958,0.0600284251972,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,14.5430579965,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1528.17276,95.0571177504,-1.09351158307,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,14204.23171,99.1542179262,2.69128733465,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,18.36752,52.3725834798,-0.648915827218,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,28.08887,58.2106766257,-0.0970375162054,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,5.63034,25.8238137083,-0.341971418195,NA,NA,NA
ENSMUSG00000083012,Fam220a,209.87984,80.5964411248,0.12260973668,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1101.50514,93.6126977153,1.14282771634,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,6.36919,30.5195518453,-0.101402371255,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,23.1652,55.755711775,-0.327467324731,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,5.73287,26.5817223199,-0.105643657276,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,12.67705,46.3532513181,-0.102316976911,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,765.9343,91.5696397188,0.393253541194,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.01244,28.5863356766,-0.465264585864,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,5.17037,21.6608084359,-0.115529842862,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.94208,18.9037785589,0.222177280919,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,14.5430579965,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,17152.90628,99.2970123023,9.32737774144,NA,NA,NA
ENSMUSG00000001802,Lrp3,11.03658,43.8323813708,0.808948042847,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,209.71715,80.5799648506,-0.621009620208,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,318.45349,84.7319859402,0.673166070009,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,14.5430579965,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,15.0098857645,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,14.5430579965,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,165.85659,78.1799209139,-0.641632749326,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,14.5430579965,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,5.05137,20.3427065026,-0.17216695783,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,14.5430579965,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,21.38864,54.6408172232,-0.327760270528,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,5.10141,20.913884007,-0.0950912929513,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,14.5430579965,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,17.36262,51.5213093146,-0.185018368239,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,17348.04855,99.3079964851,-0.0843675994843,NA,NA,NA
ENSMUSG00000020758,Itgb4,30.49277,59.3310632689,-0.0766042498482,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,14.5430579965,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,14.5430579965,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,713.68729,91.1632249561,-0.231954329539,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,14.5430579965,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,132.11509,75.8842267135,0.0420247823096,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,12327.85627,99.0883128295,0.518032266165,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,16.7728471002,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,56.10407,66.3499560633,-0.0202020445364,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,20.43265,53.9378295255,-1.52754248626,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,186.26128,79.355228471,-0.734311269469,ENSG00000167904,93,0
