mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,9.53888,49.038884007,-0.28304505818,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,94.37191,69.6561950791,1.20398660268,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.27043058,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.27043058,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.27043058,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,11.61232,51.598198594,-0.780744234113,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,93.10045,69.5188927944,-0.265905071277,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,622.97691,88.7576889279,1.59972176414,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,44.612258348,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,6.71039,42.2286906854,-0.550055328497,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.27043058,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,23.7917398946,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.27043058,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,417.71084,84.9901142355,0.612327395642,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,11.46088,51.4059753954,-0.32196873566,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,14.20616,53.9762741652,1.65608450941,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.27043058,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1824.39325,95.7875659051,0.342657996842,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,5.45101,34.7923989455,-0.388296266237,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,88.39576,69.0520650264,-0.593648834603,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.27043058,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,65.7568101933,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.08139,30.5634885764,-0.17340637251,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,313.79317,82.0738137083,1.25535177665,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.27043058,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,1077.9687,93.0030755712,1.93088912833,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.67594,36.6102811951,-0.0164607553856,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1044.73142,92.8383128295,-0.403647423906,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,254.04206,79.4870386643,1.35228232013,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,35.32957,61.6322495606,-0.757360523727,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,87.26982,68.9147627417,-0.511958350804,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,30.6239015817,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,615.82249,88.7027680141,1.67707235894,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.84862,26.7684534271,-0.114538186708,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,22.27043058,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,5.9133,38.1755272408,-0.0367585562071,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,22.27043058,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,8.68614,47.4571616872,-0.414790459819,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,118.59197,71.6882688928,-0.874668944504,ENSG00000119138,97,0
