ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0.6,34.4559585492,-0.299455263158,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,1.5,42.8756476684,-0.366989055577,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,24.7409326425,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,4.7,62.3704663212,0.0774276607423,NA,NA,NA,NM_023074
ENSG00000079263,SP140,38.7,96.4378238342,3.39697351066,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,1.2,40.0259067358,-0.648300558972,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,6.1,68.9766839378,-0.0919730131441,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,23.7,92.0336787565,-0.130268191915,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,8.5,75.5829015544,1.49981837209,NA,NA,NA,NM_001289166
ENSG00000198416,,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,5.2,64.8316062176,4.20629860394,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,24.7409326425,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0.2,29.5984455959,0.752313027343,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,19.2,89.5725388601,-0.0123405417364,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,24.7409326425,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,4.7,62.3704663212,1.5180252674,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,26.3,92.9404145078,0.631305193971,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,6.8,72.085492228,0.449555118657,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,24.7409326425,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,8.7,75.7772020725,2.08987315769,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,8.9,76.2305699482,1.8142913191,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,1.5,42.8756476684,-1.6467835578,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,13.7,84.4559585492,-0.428385739471,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,1.2,40.0259067358,-0.837575186943,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,5.7,67.2279792746,1.13235388267,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,38.5,96.2435233161,1.00949470969,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,15.3,86.5932642487,2.26242518585,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,24.7409326425,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,24.7409326425,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,6.6,71.3082901554,0.58246130358,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,8.3,75.1943005181,1.79998146367,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,3.3,55.6994818653,0.415242191574,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,24.7409326425,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,5.7,67.2279792746,0.184195535381,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,18,88.7953367876,1.33055778166,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,6.5,70.9196891192,-0.254773366568,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,24.7409326425,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,10,78.8212435233,0.482956946201,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,1.4,42.0336787565,-0.297119165657,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,12.1,82.2538860104,0.501350444607,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,53.8,97.6683937824,0.270406758349,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,0.4,32.4481865285,-0.256152205093,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,19,89.4430051813,-0.231651790991,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,5.3,65.3497409326,-0.999587136923,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,6.1,68.9766839378,0.0264345670907,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,1.8,45.207253886,1.18300494438,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,10.1,79.0803108808,-0.587547960333,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,28.8,93.9119170984,1.3293472602,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,4,58.8730569948,1.18575939119,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,7.1,72.5388601036,1.68937743011,ENSMUSG00000046897,79,0,NM_001004304
ENSG00000162601,MYSM1,10.3,79.4689119171,1.77482919164,ENSMUSG00000062627,78,0,NM_001085487
ENSG00000135100,HNF1A,0,24.7409326425,-0.45646837151,ENSMUSG00000029556,94,1,NM_001306179
ENSG00000067646,ZFY,1.1,39.0544041451,-0.359649459406,ENSMUSG00000053211,69,0,NM_003411
ENSG00000186496,ZNF396,1.2,40.0259067358,-0.383881445986,NA,NA,NA,NM_145756
ENSG00000187140,FOXD3,0,24.7409326425,-0.821952943376,ENSMUSG00000067261,90,1,NM_012183
ENSG00000185610,DBX2,0,24.7409326425,-0.279301948972,ENSMUSG00000045608,71,0,NM_001004329
ENSG00000172262,ZNF131,16.9,88.1476683938,1.25771150489,ENSMUSG00000094870,88,1,NM_003432
ENSG00000169926,KLF13,32.1,94.9481865285,1.27902916447,ENSMUSG00000052040,94,1,NM_015995
ENSG00000114853,ZBTB47,2,46.8264248705,-0.868806543673,ENSMUSG00000013419,74,1,NM_145166
ENSG00000073861,TBX21,6.2,69.4300518135,3.04746069812,ENSMUSG00000001444,87,0,NM_013351
ENSG00000126012,KDM5C,27,93.1994818653,1.60540840992,ENSMUSG00000025332,95,0,NM_001146702
ENSG00000214022,REPIN1,27.7,93.4585492228,1.17905164737,ENSMUSG00000052751,77,1,NM_001099696
ENSG00000129514,FOXA1,0,24.7409326425,-0.406759573555,ENSMUSG00000035451,95,0,NM_004496
ENSG00000186812,ZNF397,12.4,82.9015544041,0.972418205733,ENSMUSG00000024276,83,0,NM_032347
ENSG00000214029,,0.7,35.1683937824,0.696146007488,NA,NA,NA,NM_001277291
ENSG00000183733,FIGLA,0,24.7409326425,-0.179605302027,ENSMUSG00000030001,58,0,NM_001004311
ENSG00000186564,FOXD2,0.1,27.7202072539,-0.3276415175,ENSMUSG00000055210,94,1,NM_004474
ENSG00000119138,KLF9,12.5,83.0958549223,-0.848995755675,ENSMUSG00000033863,97,0,NM_001206
ENSG00000141027,NCOR1,28.3,93.7823834197,0.404824345306,ENSMUSG00000018501,92,1,NM_001190438
ENSG00000125945,ZNF436,4.5,61.7875647668,-0.704575633759,ENSMUSG00000051351,91,1,NM_030634
ENSG00000108264,TADA2A,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000162419,GMEB1,5.8,67.6165803109,1.58463201651,ENSMUSG00000028901,93,0,NM_006582
ENSG00000066422,ZBTB11,10.6,79.9870466321,1.28381654049,ENSMUSG00000022601,89,1,NM_014415
ENSG00000116809,ZBTB17,9.5,77.396373057,1.12789639703,ENSMUSG00000006215,91,0,NM_001287603
ENSG00000153896,ZNF599,2.5,50.4533678756,-0.0832344345459,NA,NA,NA,NM_001007248
ENSG00000108064,TFAM,25.1,92.4870466321,1.51938056207,ENSMUSG00000003923,61,0,NM_001270782
ENSG00000144485,HES6,2.4,49.8704663212,-0.358835708363,ENSMUSG00000067071,86,1,NM_001282434
ENSG00000121406,ZNF549,4,58.8730569948,1.43043265961,NA,NA,NA,NM_001199295
ENSG00000172468,HSFY1,0,24.7409326425,-0.181253906118,ENSMUSG00000045336,36,1,NM_152584
ENSG00000067082,KLF6,54.6,97.7979274611,-0.327991318407,ENSMUSG00000000078,95,1,NM_001160125
ENSG00000172466,ZNF24,23.8,92.1632124352,1.43333003455,ENSMUSG00000051469,95,1,NM_001308123
ENSG00000233608,TWIST2,0.4,32.4481865285,-0.63465472082,ENSMUSG00000007805,100,0,NM_001271893
ENSG00000153879,CEBPG,10.3,79.4689119171,-0.429302216425,ENSMUSG00000056216,91,0,NM_001252296
ENSG00000174428,GTF2IRD2B,3.9,58.4196891192,-0.733416166472,ENSMUSG00000015942,79,1,NM_001003795
ENSG00000164651,SP8,0,24.7409326425,-0.206962863509,ENSMUSG00000048562,94,1,NM_198956
ENSG00000196843,ARID5A,12.4,82.9015544041,2.24267700572,ENSMUSG00000037447,74,1,NM_212481
ENSG00000119919,NKX2-3,0,24.7409326425,-0.448605707949,ENSMUSG00000044220,90,0,NM_145285
ENSG00000137504,,15.6,86.981865285,1.65470888221,ENSMUSG00000051451,83,0,NM_001039618
ENSG00000067066,SP100,97.7,99.0932642487,2.52420957737,ENSMUSG00000094915,7,1,NM_001206703
ENSG00000100426,ZBED4,5.7,67.2279792746,1.79534381643,ENSMUSG00000034333,79,0,NM_014838
ENSG00000101115,SALL4,0.1,27.7202072539,-0.30144648948,ENSMUSG00000027547,74,0,NM_020436
ENSG00000126767,ELK1,10.9,80.5699481865,0.0453609211627,ENSMUSG00000009406,86,1,NM_001257168
ENSG00000174738,NR1D2,12.8,83.7435233161,-0.190914177439,ENSMUSG00000021775,91,0,NM_001145425
ENSG00000170616,SCRT1,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000130182,ZSCAN10,0,24.7409326425,-0.258198889747,ENSMUSG00000023902,65,1,NM_001282416
ENSG00000072736,NFATC3,19.5,89.7020725389,2.18019631234,ENSMUSG00000031902,89,1,NM_004555
ENSG00000196150,ZNF250,2.7,51.4248704663,-0.43227623516,ENSMUSG00000054967,82,0,NM_001109689
ENSG00000196152,ZNF79,3,53.5621761658,0.697369497572,NA,NA,NA,NM_001286697
ENSG00000081386,ZNF510,5.2,64.8316062176,0.7702184175,NA,NA,NA,NM_014930
ENSG00000154957,ZNF18,6.3,69.6243523316,1.19687319317,ENSMUSG00000018347,78,0,NM_001303282
ENSG00000164093,PITX2,0,24.7409326425,-0.356414756789,ENSMUSG00000028023,98,1,NM_001204399
ENSG00000180884,ZNF792,3.2,54.5984455959,1.89766462558,NA,NA,NA,NM_175872
ENSG00000235187,,0,24.7409326425,nan,NA,NA,NA,NA
ENSG00000213020,ZNF611,3.8,58.0310880829,0.887326651696,NA,NA,NA,NM_001161501
ENSG00000164256,PRDM9,0,24.7409326425,-0.179605302027,ENSMUSG00000051977,69,1,NM_020227
ENSG00000184895,SRY,0,24.7409326425,-0.226592250062,ENSMUSG00000069036,35,1,NM_003140
ENSG00000140009,ESR2,1.3,40.7383419689,0.514866053726,ENSMUSG00000021055,89,0,NM_001040275
ENSG00000224689,,0.2,29.5984455959,-0.172346165998,ENSMUSG00000060510,57,1,NM_001199814
ENSG00000170100,ZNF778,1.7,44.689119171,-0.0458402753359,ENSMUSG00000058192,35,1,NM_001201407
ENSG00000197008,ZNF138,3.7,57.4481865285,2.02772997577,ENSMUSG00000055341,45,0,NM_001271640
ENSG00000198795,ZNF521,5.2,64.8316062176,-0.343212898067,ENSMUSG00000024420,97,0,NM_001308225
ENSG00000197779,ZNF81,1.9,45.9844559585,0.979401623382,NA,NA,NA,NM_007137
ENSG00000197951,ZNF71,2.3,48.9637305699,1.12596731081,NA,NA,NA,NM_021216
ENSG00000175395,ZNF25,4.2,59.9740932642,-0.22290700978,ENSMUSG00000072623,78,0,NM_145011
