mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.79039,28.2787785589,-0.581052981438,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,32.94011,56.2829525483,-0.654203102548,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,8.04515,42.4264059754,-0.0753658199949,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.7820738137,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.7820738137,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,127.48284,70.1340070299,-0.2922193167,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,15.83097,49.7363796134,-0.31018466537,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,6.87316,39.9275043937,-0.276453041787,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,78.01213,64.7297891037,1.77201817838,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,1349.15872,93.0909490334,0.765321561123,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.7820738137,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,25.494288225,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63602,21.3532513181,-0.32152381896,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,558.53428,86.440026362,1.01068552504,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,27.56098,54.6682776801,0.0530441192169,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.8285,36.6432337434,-0.354685142854,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.7820738137,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1814.24645,94.6232425308,0.333326208423,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,810.3113,89.4167398946,0.690735710212,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,1111.35849,91.8003075571,-0.336417078816,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.7820738137,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,41.86535,58.4083919156,-0.842733267915,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.92341,30.4536467487,-0.173620748436,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,294.89886,79.6078646749,1.04540543021,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.7820738137,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,480.3105,84.9736379613,-0.0572012002779,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.47567,34.9077328647,-0.204553058807,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1293.74662,92.816344464,-0.200207962863,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,70.80369,63.6972759227,-0.339930465999,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,62.47639,62.3077768014,-0.304283542222,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,251.04794,77.7625219684,0.86656604271,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,32.1507029877,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,55.1099,61.0500878735,-0.682682859369,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.64406,23.4512302285,-0.116031320949,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,20.7820738137,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.7820738137,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.7820738137,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,189.92206,74.5551405975,0.93252721295,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,17657.48526,99.4123462214,1.12597886839,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,20.7820738137,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,25.9226713533,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,25.5217486819,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,33.22077,56.3653339192,-0.25809316188,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,38.07583,57.5516256591,-0.21299649449,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,53.54193,60.7260544815,-0.102747610672,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,2164.51465,95.3701669596,-0.493881403342,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.76234,27.7735061511,-0.31686399276,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.7820738137,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,47.3424,59.5123022847,-0.379696873006,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.63584,20.7820738137,-0.385073358313,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,186.29401,74.3079964851,0.444065042798,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,20.7820738137,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,19.474,51.7190246046,-0.131056252354,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,5825.41907,97.9459578207,1.44022054878,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,28.5149384886,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,46.01717,59.2212214411,-0.192209959954,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.44075,34.6990333919,-0.270957048782,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,20.7820738137,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,20.7820738137,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,92.52159,66.5916080844,-0.407722669937,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,82.02525,65.3119507909,-0.459923404001,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,20.7820738137,-0.268944700938,ENSG00000112837,95,0
