mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,6.85212,39.6968365554,-0.451661980168,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,53.21754,61.3960896309,-0.0408511956463,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,20.4855008787,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.4855008787,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.4855008787,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,332.66425,80.4646309315,0.572851724449,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,80.07582,65.1526801406,-0.273368889198,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.4855008787,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,160.8593,72.4571616872,4.32089491621,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,843.86252,88.9663884007,0.27021502403,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.91665,28.6028119508,0.0986199891438,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.69805,23.5830404218,-0.426144248496,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,20.4855008787,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,34.9762,57.6340070299,-0.47034360889,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,13.21469,48.5445957821,-0.281117977279,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.80048,39.5265817223,-0.121394714905,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.4855008787,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1017.86336,90.2185852373,-0.399089774605,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,4721.82381,97.0836994728,5.93468565656,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,4907.86243,97.1605887522,0.61824270076,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.4855008787,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,62.10566,62.8075571178,-0.341667988531,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.78872,26.1862917399,-0.173803520265,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,187.19527,74.1926625659,-0.151355669755,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.4855008787,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,383.91093,81.9969244288,-0.377871196605,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,6.95129,39.9989015817,1.18133980969,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,378.07591,81.7827328647,-0.948289026732,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,84.18919,65.6085237258,-0.21631490312,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,26.65194,55.1680579965,-0.902189067439,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,168.62666,72.9898945518,0.172824137353,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.41039,33.5347100176,-0.158522940452,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,23.12002,53.8279876977,-0.817312057303,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.8482,27.4110281195,-0.114541252392,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,20.4855008787,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.65783,21.6223637961,-0.145703764613,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.4855008787,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,284.76669,78.7565905097,1.63760734368,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,12422.05636,98.8741212654,0.52877759661,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,20.4855008787,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,23.0777680141,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67691,22.539543058,-0.312252807004,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,14.17015,49.2475834798,-0.458270260805,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,53.32726,61.4235500879,0.378119244009,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,6.5823,38.8400702988,-0.174498739735,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,1624.29708,93.1513620387,-0.719685479908,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,33.41187,57.1616871705,3.0828461234,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.4855008787,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,12.24653,47.737258348,-1.21735643723,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.63584,20.4855008787,-0.385073358313,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,55.56616,61.7146309315,-0.613695101588,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.6959,23.4292618629,-0.108231030215,NA,NA,NA
ENSMUSG00000035041,Creb3l3,24.23443,54.283831283,-0.122020285633,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,1184.9092,91.289543058,-0.217895908089,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.85904,27.5812829525,-0.27484933435,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,127.93113,70.1340070299,-0.080281116454,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.691,35.209797891,-0.242964186786,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.65931,21.6882688928,-0.157699082784,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,20.4855008787,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,96.54492,67.1737697715,-0.366282377114,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,36.77327,58.0349297012,-0.84541062418,NA,NA,NA
ENSMUSG00000032419,Tbx18,7.92752,42.1353251318,-0.194770870837,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.71795,24.2970123023,-0.381535530132,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,114.3802,68.9257469244,-0.741647475567,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,20.4855008787,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,55.14054,61.6597100176,-1.05846270027,ENSG00000181894,61,1
