mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,22.6164323374,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,44.53016,62.9997803163,-0.303627153397,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,16.2950351494,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,16.2950351494,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,16.2950351494,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,317.44928,81.9035588752,0.508703466871,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,280.75718,80.5415202109,-0.158367608449,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,16.2950351494,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,39.5595342707,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,46.67491,63.3897188049,-0.510896721914,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,16.2950351494,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,17.4648506151,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.95224,22.27043058,-0.319097158681,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,27.93541,58.710456942,-0.490260434767,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,13.12428,50.0274604569,-0.283223859367,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.03617,23.6928822496,-0.544856756237,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,16.2950351494,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1409.64852,93.4259666081,-0.0387735942384,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,563.23782,86.9068541301,0.359497868359,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2507.66006,95.9028998243,0.0146935666895,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,16.2950351494,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,64.80209,66.4158611599,-0.27491567835,ENSG00000167182,93,1
