mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,890.10609,88.9059753954,-0.985054933447,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,25.494288225,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,5697.28183,97.8196397188,0.703094135403,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1786.20848,93.7005711775,0.718663679225,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,22.3253514938,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2757.45633,95.6173110721,-0.359099108206,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,6408.72007,98.0448154657,0.64820858174,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,372.76793,80.514059754,1.83837527643,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.54716,50.9116871705,-0.127693448536,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,964.91157,89.4826449912,6.44132180585,NA,NA,NA
ENSMUSG00000083012,Fam220a,44.2869,61.1105008787,-0.320622615032,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1824.19996,93.8049209139,2.65739173158,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,7.13773,43.9147627417,-0.0982048060443,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,47.703,61.7201230228,0.818810465416,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,22.3253514938,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,22.3253514938,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,972.70768,89.5485500879,0.891711454067,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.9204,29.184973638,-0.473299606613,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,5.53358,36.1434534271,-0.115071940702,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,22.3253514938,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,22.3253514938,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.3253514938,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.51184,41.8332601054,-0.488853835843,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,1099.40916,90.4986818981,1.56153431085,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,264.96953,76.6311511424,0.288791059964,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,5.58029,36.4894551845,-0.102059942276,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,22.9789103691,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,22.3253514938,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,620.59881,85.605228471,0.528351330616,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,22.3253514938,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,27.73406,58.0568980668,0.12103174154,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,22.3253514938,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,6.62835,42.2726274165,-0.337896049885,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,5.12807,32.408831283,-0.0914013749104,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,22.3253514938,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,53.4050966608,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,22895.25196,99.5551405975,0.65303223822,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.63584,22.3253514938,-0.390076016989,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,22.3253514938,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,22.3253514938,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,1254.54361,91.558655536,0.887907956875,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,1839.15288,93.848857645,3.11638422304,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,166.15226,71.6608084359,0.596126189363,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,722.15845,87.0935852373,-0.805820589128,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,26.4444200351,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,19.42891,55.486599297,-0.460696821335,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,682.71735,86.5498681898,2.00700686094,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,499.64357,83.5347100176,0.705133383611,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,8.74752,47.6438927944,-0.497449849157,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,22.3253514938,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,45720.92475,99.9450790861,0.548284307626,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,26.1368629174,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,22.3253514938,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,38.2798769772,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,548.17463,84.4244288225,0.0935769389954,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,22.3253514938,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,189.07267,73.0722759227,-0.365858618463,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,5.64383,36.9178383128,-0.374057295835,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,22.3253514938,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,74.30835,64.7407732865,-0.121208467071,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,324.63823,78.9707820738,-0.235600886291,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,27.99543,58.144771529,0.112021278291,NA,NA,NA
ENSMUSG00000021598,Med10,1533.80242,92.8273286467,0.304956525119,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,22.3253514938,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,5.07956,31.7662565905,-0.133932898553,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,22.3253514938,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,244.32741,75.6974956063,-0.507900082351,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,1342.66602,91.954086116,2.12125432053,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,22.28094,56.4916520211,-0.415894310583,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,4954.64665,97.5230667838,2.01323771577,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,8220.14909,98.4457381371,2.3811957645,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,9.18211,48.3139279438,0.600317012914,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,13.76438,52.6691564148,-0.506464028084,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.63584,22.3253514938,-0.127576742456,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,22.28895,56.5136203866,-0.634840537866,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,1199.70547,91.2565905097,0.990701676876,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,6.9723,43.4314586995,-0.202438073413,ENSG00000124615,84,0
