ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,7.4,62.5076173065,1.30115841278,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,3.5,48.6288848263,-0.257764180222,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,20.5311801747,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,1.7,39.4068657323,0.883950930785,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,8.4,65.4478976234,-0.727265717761,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,20.5311801747,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,20.5311801747,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,7.6,63.1017672151,-0.749384534835,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,12.7,74.2433475523,0.883361294816,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.5,30.489538899,-0.13903701647,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,3.5,48.6288848263,-0.480183653498,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,9,67.0018281536,-0.458098212796,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,20.5311801747,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,17.3,80.1950030469,3.59408566084,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,20.5311801747,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,5.1,55.0731261426,1.10582441028,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,12.7,74.2433475523,-0.184150051095,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,25.5,86.2888482633,1.04702614898,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,8.7,66.2502539102,-0.335767596628,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,1.4,37.6345724152,-0.302452790064,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,20.5311801747,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0.2,26.0511882998,-0.265695746104,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,20.5311801747,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,7.8,63.7365427585,-0.216152195553,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,6.4,59.323583181,-0.867819920205,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,9,67.0018281536,-0.952529987905,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,20.5311801747,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,10,69.2565508836,-0.0814045511161,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,12.6,74.0706886045,3.45152685696,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,20.5311801747,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,5.4,56.1801746902,-0.859901710789,NA,NA,NA,NA
ENSG00000169740,ZNF32,15.1,77.6914483039,-0.502970564713,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,2,41.1690026407,0.229515621349,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,20.2,82.962624416,-0.200687530384,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,12.9,74.5429616088,0.959918156191,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,20.5311801747,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,8.4,65.4478976234,-0.03558557524,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,13.3,75.2437538087,-0.15416995685,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0.6,31.5915092423,-0.128847827519,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,12.1,73.1515336177,-0.354937105056,ENSMUSG00000003153,82,1,NM_006931
