mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.8384,26.9112478032,-0.578039947738,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,55.39711,61.6871704745,0.0250764596693,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.1331282953,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.1331282953,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.1331282953,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,106.73903,67.0474516696,-0.379677870153,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,36.9098,58.908172232,-0.298105354931,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,22.1331282953,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,44.4420035149,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,78.00273,64.2080404218,-0.480200650036,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.1331282953,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,6.23524,40.4217926186,0.956473558179,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.1331282953,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,7.337,44.2497803163,-0.548528746322,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,25.00075,56.3653339192,-0.00659024090769,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,11.3184,50.0768892794,0.962976867059,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.1331282953,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,869.14788,88.2524165202,-0.53586012526,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,176.71231,71.9024604569,-0.158695649429,ENSG00000245848,92,1
