mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2494.99802,96.9299209139,1.12341705344,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,36.5926,62.2363796134,1.41480476642,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1327.93868,94.4804481547,-0.595808134838,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1153.45804,93.7390158172,-0.123707012586,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.2434094903,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,5399.23465,98.670913884,1.21918193401,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,933.45118,92.3659929701,-0.786771705919,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,32.72056,61.3356766257,-0.548181776989,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,31.34103,61.0226274165,-0.091010449059,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,23.2425307557,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,49.05538,64.5430579965,-0.307859120378,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,165.70878,75.961115993,-0.818336876543,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.2434094903,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,14.05766,53.8993848858,-0.752924000752,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.2434094903,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.2434094903,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,325.30512,83.0788664323,-0.668948476365,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,234.6793,79.7286906854,1.21722228696,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.2434094903,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.2434094903,-0.348840053718,ENSG00000105639,82,1
