mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,5.14713,30.5634885764,-0.558664528152,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,24.31748,52.8449033392,-0.915020501647,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,8.53222,41.2785588752,-0.0564941778342,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.5463532513,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,19.5463532513,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,111.98773,68.4424428822,-0.357548680313,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,751.81788,89.1146748682,0.111575667849,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,5.3484,32.0738137083,-0.281096279711,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,5.79866,34.3804920914,-0.449702054676,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,150.42212,71.6882688928,-0.409241649352,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,19.5463532513,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,5.44268,32.6394991213,0.243609456241,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,35.63837,56.5136203866,-0.0836129615832,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,982.49,91.0588752197,2.20996177882,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,32.20146,55.4591388401,0.161132867287,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.47295,32.8317223199,-0.440022713233,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.64089,21.1500439367,-0.151605716668,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,385.46477,83.0349297012,-0.980692825669,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,20.27853,51.1039103691,-0.36841782471,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,264.91371,78.7840509666,-0.549262054054,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,19.5463532513,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,58.446,61.3576449912,-0.432265838087,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,20.41983,51.1807996485,-0.152592394292,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,141.79589,71.0237258348,-0.655816216953,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.5463532513,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,349.1952,81.9694639719,-0.493351929678,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.26446,31.4751757469,-0.402920140274,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,678.4142,88.4171792619,-0.702919828995,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,12.25555,45.7326449912,-0.88062459634,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,45.71015,59.2596660808,-0.58410996058,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,95.29285,66.6135764499,-0.444428313428,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,30.0087873462,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,29.96223,54.7781195079,-0.788516661872,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.68329,23.6654217926,-0.115744971436,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,19.5463532513,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,19.5463532513,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,19.5463532513,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,4.63819,20.6942003515,-0.444883139976,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,24489.9474,99.7748242531,1.9053524703,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,19.5463532513,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.66184,22.7152899824,-0.410119372025,NA,NA,NA
ENSMUSG00000008193,Spib,4.67691,23.4127855888,-0.312252807004,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,296.61318,80.1570738137,2.50954004442,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,33.8137,55.9369507909,-0.378188356665,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,18.71035,50.2910808436,-0.15596790206,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,752.52853,89.125659051,-1.08407365116,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,27.72956942,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,19.5463532513,-0.121673372098,ENSG00000101115,74,0
