ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0,29.0803108808,-0.770729119932,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,0,29.0803108808,-0.481897566129,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,29.0803108808,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,29.0803108808,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,3.1,68.3937823834,-0.5518257091,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.2,33.9378238342,-0.4680720796,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,7.5,83.9378238342,0.350914981462,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,2.4,62.8238341969,-1.47040399495,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,31.9,97.9922279793,0.561682689835,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,2.7,65.8031088083,-1.22926290105,NA,NA,NA,NM_001289166
ENSG00000198416,,0,29.0803108808,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0,29.0803108808,-0.494360144855,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,29.0803108808,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,29.0803108808,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,23.8,96.6321243523,0.538122410871,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,29.0803108808,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,1.7,56.0880829016,-1.31169173591,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,3.1,68.3937823834,-1.07733853918,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,29.0803108808,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,5,77.396373057,-0.471952882576,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,29.0803108808,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,3.3,69.8186528497,-0.395536901834,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,2,59.3911917098,-1.04302339743,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,6.2,81.0233160622,1.6207131057,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,8.8,87.3704663212,-1.00200558532,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,2.1,60.1683937824,-0.159986271663,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,4,73.1865284974,0.159209313678,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,10.8,89.5077720207,-1.31954253828,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,2.4,62.8238341969,-0.917449232669,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,29.0803108808,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,29.0803108808,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,3.1,68.3937823834,-0.832629065204,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,4.8,76.6839378238,-0.209967927467,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,29.0803108808,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,1.5,53.0440414508,-0.943732253577,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,29.0803108808,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0,29.0803108808,-0.335082140871,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,5.9,80.2461139896,-1.00062761679,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,4.8,76.6839378238,-0.624364597003,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,29.0803108808,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,5,77.396373057,-0.853948095186,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,3.2,68.7823834197,-0.152696685135,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,29.0803108808,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,0.8,43.329015544,-0.84152600554,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,30,97.6683937824,-1.13726095976,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,0,29.0803108808,-0.393914735562,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,14.8,92.8756476684,-0.49821001624,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,11.6,90.2849740933,-0.0363138730431,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,2,59.3911917098,-0.91092089299,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,0.6,40.3497409326,-0.910423159961,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,8.6,86.8523316062,-0.732323638444,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,4.9,76.9430051813,-1.33422304265,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,1.5,53.0440414508,-0.950744016358,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,1.8,57.189119171,-1.27052352182,ENSMUSG00000046897,79,0,NM_001004304
ENSG00000162601,MYSM1,3.1,68.3937823834,-1.34908712428,ENSMUSG00000062627,78,0,NM_001085487
ENSG00000135100,HNF1A,0,29.0803108808,-0.45646837151,ENSMUSG00000029556,94,1,NM_001306179
ENSG00000067646,ZFY,0.3,35.7512953368,-0.949843444071,ENSMUSG00000053211,69,0,NM_003411
ENSG00000186496,ZNF396,0.5,38.6658031088,-0.829422606094,NA,NA,NA,NM_145756
ENSG00000187140,FOXD3,0.2,33.9378238342,0.321633760451,ENSMUSG00000067261,90,1,NM_012183
ENSG00000185610,DBX2,0,29.0803108808,-0.279301948972,ENSMUSG00000045608,71,0,NM_001004329
ENSG00000172262,ZNF131,5.5,79.0155440415,-1.07959444001,ENSMUSG00000094870,88,1,NM_003432
ENSG00000169926,KLF13,17.1,94.2357512953,-0.285133890168,ENSMUSG00000052040,94,1,NM_015995
ENSG00000114853,ZBTB47,36,98.7046632124,3.92704084099,ENSMUSG00000013419,74,1,NM_145166
ENSG00000073861,TBX21,0.1,31.8005181347,-0.521011577064,ENSMUSG00000001444,87,0,NM_013351
ENSG00000126012,KDM5C,9.2,87.8886010363,-1.50176328661,ENSMUSG00000025332,95,0,NM_001146702
ENSG00000214022,REPIN1,16.6,94.0414507772,-0.434817890765,ENSMUSG00000052751,77,1,NM_001099696
ENSG00000129514,FOXA1,0,29.0803108808,-0.406759573555,ENSMUSG00000035451,95,0,NM_004496
ENSG00000186812,ZNF397,5,77.396373057,-1.19583632456,ENSMUSG00000024276,83,0,NM_032347
ENSG00000214029,,0.1,31.8005181347,-1.45966098344,NA,NA,NA,NM_001277291
ENSG00000183733,FIGLA,0,29.0803108808,-0.179605302027,ENSMUSG00000030001,58,0,NM_001004311
ENSG00000186564,FOXD2,0,29.0803108808,-0.475310933838,ENSMUSG00000055210,94,1,NM_004474
ENSG00000119138,KLF9,19.6,95.1424870466,-0.286956607396,ENSMUSG00000033863,97,0,NM_001206
ENSG00000141027,NCOR1,13,91.5803108808,-1.6094236167,ENSMUSG00000018501,92,1,NM_001190438
ENSG00000125945,ZNF436,5.6,79.4689119171,-0.418519551772,ENSMUSG00000051351,91,1,NM_030634
ENSG00000108264,TADA2A,0,29.0803108808,nan,NA,NA,NA,NA
ENSG00000162419,GMEB1,1.5,53.0440414508,-1.23613597148,ENSMUSG00000028901,93,0,NM_006582
ENSG00000066422,ZBTB11,2.6,64.8316062176,-1.37522095438,ENSMUSG00000022601,89,1,NM_014415
ENSG00000116809,ZBTB17,4.7,76.2953367876,-0.717097070315,ENSMUSG00000006215,91,0,NM_001287603
ENSG00000153896,ZNF599,1.7,56.0880829016,-0.590568130826,NA,NA,NA,NM_001007248
ENSG00000108064,TFAM,11.3,90.0906735751,-0.636655608273,ENSMUSG00000003923,61,0,NM_001270782
ENSG00000144485,HES6,0.6,40.3497409326,-0.640813018073,ENSMUSG00000067071,86,1,NM_001282434
ENSG00000121406,ZNF549,1.6,54.1450777202,-0.694465372461,NA,NA,NA,NM_001199295
ENSG00000172468,HSFY1,0,29.0803108808,-0.181253906118,ENSMUSG00000045336,36,1,NM_152584
ENSG00000067082,KLF6,17.9,94.7538860104,-1.01842509567,ENSMUSG00000000078,95,1,NM_001160125
ENSG00000172466,ZNF24,11,89.7668393782,-1.10599514777,ENSMUSG00000051469,95,1,NM_001308123
ENSG00000233608,TWIST2,0.4,37.0466321244,-0.63465472082,ENSMUSG00000007805,100,0,NM_001271893
ENSG00000153879,CEBPG,6.3,81.3471502591,-1.07807061905,ENSMUSG00000056216,91,0,NM_001252296
ENSG00000174428,GTF2IRD2B,5.1,77.7202072539,-0.370955667212,ENSMUSG00000015942,79,1,NM_001003795
ENSG00000164651,SP8,0,29.0803108808,-0.206962863509,ENSMUSG00000048562,94,1,NM_198956
ENSG00000196843,ARID5A,4.6,75.4533678756,-0.0926262092473,ENSMUSG00000037447,74,1,NM_212481
ENSG00000119919,NKX2-3,0,29.0803108808,-0.448605707949,ENSMUSG00000044220,90,0,NM_145285
ENSG00000137504,,2.9,66.9041450777,-1.57833770303,ENSMUSG00000051451,83,0,NM_001039618
ENSG00000067066,SP100,30.6,97.8626943005,-0.456095494954,ENSMUSG00000094915,7,1,NM_001206703
ENSG00000100426,ZBED4,1.3,49.9352331606,-1.51768907156,ENSMUSG00000034333,79,0,NM_014838
ENSG00000101115,SALL4,0,29.0803108808,-0.449850915071,ENSMUSG00000027547,74,0,NM_020436
ENSG00000126767,ELK1,7.7,84.585492228,-0.482475252366,ENSMUSG00000009406,86,1,NM_001257168
ENSG00000174738,NR1D2,16.8,94.170984456,0.348534270953,ENSMUSG00000021775,91,0,NM_001145425
ENSG00000170616,SCRT1,0,29.0803108808,nan,NA,NA,NA,NA
ENSG00000130182,ZSCAN10,0,29.0803108808,-0.258198889747,ENSMUSG00000023902,65,1,NM_001282416
ENSG00000072736,NFATC3,4,73.1865284974,-1.07794581156,ENSMUSG00000031902,89,1,NM_004555
ENSG00000196150,ZNF250,2.2,61.2694300518,-0.697273160929,ENSMUSG00000054967,82,0,NM_001109689
ENSG00000196152,ZNF79,1.5,53.0440414508,-0.852340497033,NA,NA,NA,NM_001286697
ENSG00000081386,ZNF510,2.5,63.5362694301,-0.802993669308,NA,NA,NA,NM_014930
ENSG00000154957,ZNF18,2.8,66.2564766839,-0.754361124665,ENSMUSG00000018347,78,0,NM_001303282
ENSG00000164093,PITX2,2.3,62.2409326425,-0.0933041640139,ENSMUSG00000028023,98,1,NM_001204399
ENSG00000180884,ZNF792,1.1,46.7616580311,-0.559427143956,NA,NA,NA,NM_175872
ENSG00000235187,,0,29.0803108808,nan,NA,NA,NA,NA
ENSG00000213020,ZNF611,1.5,53.0440414508,-0.787218003812,NA,NA,NA,NM_001161501
ENSG00000164256,PRDM9,0,29.0803108808,-0.179605302027,ENSMUSG00000051977,69,1,NM_020227
ENSG00000184895,SRY,0,29.0803108808,-0.226592250062,ENSMUSG00000069036,35,1,NM_003140
ENSG00000140009,ESR2,0.1,31.8005181347,-0.583514860889,ENSMUSG00000021055,89,0,NM_001040275
ENSG00000224689,,0,29.0803108808,-0.281555617719,ENSMUSG00000060510,57,1,NM_001199814
ENSG00000170100,ZNF778,1.4,51.6191709845,-0.412562478023,ENSMUSG00000058192,35,1,NM_001201407
ENSG00000197008,ZNF138,1.1,46.7616580311,-0.979527314498,ENSMUSG00000055341,45,0,NM_001271640
ENSG00000198795,ZNF521,5.8,80.0518134715,-0.245005928724,ENSMUSG00000024420,97,0,NM_001308225
ENSG00000197779,ZNF81,1.4,51.6191709845,0.052157482902,NA,NA,NA,NM_007137
ENSG00000197951,ZNF71,1.4,51.6191709845,-0.203043285556,NA,NA,NA,NM_021216
ENSG00000175395,ZNF25,5.6,79.4689119171,0.271461011911,ENSMUSG00000072623,78,0,NM_145011
ENSG00000113430,IRX4,0.2,33.9378238342,-0.0334076552391,ENSMUSG00000021604,78,0,NM_001278633
ENSG00000012817,KDM5D,2.1,60.1683937824,-0.750655707832,ENSMUSG00000056673,80,1,NM_001146705
ENSG00000124920,C11orf9,0.3,35.7512953368,-0.537625649491,ENSMUSG00000036098,86,1,NM_013279
ENSG00000007866,TEAD3,14.5,92.7461139896,0.127062690414,ENSMUSG00000002249,98,1,NM_003214
ENSG00000151702,FLI1,5.7,79.792746114,-0.246087214642,ENSMUSG00000016087,97,0,NM_001271010
ENSG00000100644,HIF1A,20.2,95.4015544041,-0.777325923308,ENSMUSG00000021109,87,1,NM_001243084
ENSG00000075426,FOSL2,7.6,84.1968911917,-0.986183148449,ENSMUSG00000029135,92,0,NM_005253
ENSG00000106546,AHR,5.6,79.4689119171,-0.880108715923,ENSMUSG00000019256,69,1,NM_001621
ENSG00000167685,ZNF444,2.7,65.8031088083,-0.874567927577,ENSMUSG00000044876,84,0,NM_001253792
ENSG00000198081,ZFP161,4,73.1865284974,-1.02232975453,ENSMUSG00000049672,99,0,NM_001243702
ENSG00000160973,FOXH1,0,29.0803108808,-0.442772564682,ENSMUSG00000033837,77,0,NM_003923
ENSG00000103199,ZNF500,0.7,41.8393782383,-1.19054026678,NA,NA,NA,NM_001303450
ENSG00000113722,CDX1,0,29.0803108808,-0.382914177708,ENSMUSG00000024619,85,1,NM_001804
ENSG00000135373,EHF,0.1,31.8005181347,-0.72762413756,ENSMUSG00000012350,87,1,NM_001206616
ENSG00000140262,TCF12,12.6,91.1917098446,-0.929116999252,ENSMUSG00000032228,95,0,NM_207040
ENSG00000140265,ZSCAN29,2.2,61.2694300518,-1.44692542395,ENSMUSG00000050619,80,1,NM_152455
