mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,994.88862,89.4332161687,-0.847393932672,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,30.585456942,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,4011.72828,96.7981107206,0.202018972033,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1150.99605,90.6414762742,-0.126984621085,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,22.3308435852,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3968.3913,96.7706502636,0.364351338806,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,5561.36287,97.610940246,0.426129830352,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,697.10142,86.1928822496,4.11464748585,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.49775,49.5606326889,-0.127785017643,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,288.92354,76.5762302285,1.6612584834,NA,NA,NA
ENSMUSG00000083012,Fam220a,75.99437,62.9997803163,-0.235753196717,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1016.70744,89.6089630931,0.965115711994,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,22.3308435852,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,34.56802,57.4857205624,0.20521283857,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,5.70385,37.6922231986,-0.105841510833,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.26856,34.4299209139,-0.107054664033,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,754.19638,86.9452987698,0.364957543399,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.01244,39.4771528998,-0.465264585864,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,5.62516,37.1649824253,-0.114956484961,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,22.3308435852,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,22.3308435852,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.3308435852,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,41.7508787346,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,799.27438,87.5,0.825260032534,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,224.15981,73.6983743409,-0.004497554695,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,10.04687,48.0118629174,-0.0658109593307,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64127,22.8141476274,-0.110518443146,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,22.3308435852,-0.10934952106,ENSG00000164334,71,1
