ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0,26.4896373057,-0.770729119932,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,0,26.4896373057,-0.481897566129,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,26.4896373057,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,26.4896373057,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,1.9,59.067357513,-1.02376573648,NA,NA,NA,NM_023074
ENSG00000079263,SP140,1.1,48.7046632124,-0.377720364503,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,8.7,87.3704663212,0.541241751068,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,3.4,70.725388601,-1.09785508095,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,19.1,95.207253886,-0.518435759725,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,2.4,64.0544041451,-1.37042227725,NA,NA,NA,NM_001289166
ENSG00000198416,,0,26.4896373057,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.1,29.5336787565,-0.403962861225,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,26.4896373057,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,26.4896373057,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,15.4,93.7176165803,-0.467070806934,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,26.4896373057,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.3,63.2772020725,-0.745748335245,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,3.1,68.7823834197,-1.07733853918,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,26.4896373057,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,5.3,79.2098445596,-0.318368215704,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,26.4896373057,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,2.7,66.0621761658,-0.671693575115,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,2.9,67.810880829,-0.670330173532,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,2.9,67.810880829,-0.673486679312,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,5.9,80.7642487047,-1.34149488184,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,4.5,76.5544041451,1.64691750242,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,1.6,55.5051813472,-1.21464184255,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,32,97.3445595855,0.462969723706,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,1.8,57.9663212435,-1.06535036841,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,26.4896373057,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,26.4896373057,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,2.9,67.810880829,-0.913491371992,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,2.9,67.810880829,-1.30108331123,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,26.4896373057,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,1.5,54.0155440415,-0.943732253577,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,26.4896373057,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0.3,34.585492228,-0.307751736858,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,4.1,74.2875647668,-1.34741552731,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,1.5,54.0155440415,-1.34180639726,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,26.4896373057,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,3.4,70.725388601,-1.28175770843,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,72.6,99.6113989637,5.4155922861,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,26.4896373057,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,1.3,51.9430051813,-0.782106693587,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,22.1,96.3082901554,-1.60451200904,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,0.3,34.585492228,-0.29059283771,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,6.2,81.8005181347,-1.04401971556,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,12.4,91.4507772021,0.0860065414179,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,3.5,71.3730569948,-0.56798596857,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,0.8,43.8471502591,-0.561518475904,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,7.5,84.6502590674,-0.838492469058,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,6.3,82.0595854922,-1.17819800399,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,1.4,53.0440414508,-1.03620415266,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,3,68.3937823834,-0.600357268551,ENSMUSG00000046897,79,0,NM_001004304
ENSG00000162601,MYSM1,4.1,74.2875647668,-0.915209858179,ENSMUSG00000062627,78,0,NM_001085487
ENSG00000135100,HNF1A,0,26.4896373057,-0.45646837151,ENSMUSG00000029556,94,1,NM_001306179
ENSG00000067646,ZFY,0.6,40.0259067358,-0.728520699822,ENSMUSG00000053211,69,0,NM_003411
ENSG00000186496,ZNF396,1.9,59.067357513,0.0616597141221,NA,NA,NA,NM_145756
ENSG00000187140,FOXD3,0.2,31.9948186528,0.321633760451,ENSMUSG00000067261,90,1,NM_012183
ENSG00000185610,DBX2,0,26.4896373057,-0.279301948972,ENSMUSG00000045608,71,0,NM_001004329
ENSG00000172262,ZNF131,4.3,75.3886010363,-1.32562664473,ENSMUSG00000094870,88,1,NM_003432
ENSG00000169926,KLF13,6.6,83.1606217617,-1.38004802841,ENSMUSG00000052040,94,1,NM_015995
ENSG00000114853,ZBTB47,7.7,85.103626943,-0.0647968350685,ENSMUSG00000013419,74,1,NM_145166
ENSG00000073861,TBX21,0.3,34.585492228,-0.404012486074,ENSMUSG00000001444,87,0,NM_013351
