mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2657.23758,96.210456942,1.33656384609,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,6.9058,39.1641036907,-0.448293105996,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3562.76016,97.0068101933,0.0685513796935,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,790.71986,90.0373462214,-0.606614636693,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.1834358524,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,610.52826,87.9778119508,-1.64174112485,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,877.99514,90.8062390158,-0.801305845855,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,10.80635,45.3536906854,-0.701982444365,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,5.38476,33.1228031634,-0.139113919417,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.66572,23.3304042179,-0.348792463062,NA,NA,NA
ENSMUSG00000083012,Fam220a,42.72416,59.0949033392,-0.324805504263,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,109.4429,69.2278119508,-0.936254252972,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.1834358524,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,7.97972,41.5531634446,-1.03685359639,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63863,21.0731546573,-0.113104004502,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.1834358524,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,363.49195,82.9800087873,-0.576893456609,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.42945,33.4193760984,-0.469554114404,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.64833,22.4077328647,-0.116187983453,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.67828,23.9235500879,-0.269706120587,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.1834358524,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.1834358524,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,21.05302,52.2956942004,3.68189867643,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,160.04753,73.5226274165,-0.7428564239,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,151.97391,73.0283391916,-0.523278438488,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.1834358524,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,5.16844,31.3873022847,-0.110253513004,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.1834358524,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,74.70308,64.9934094903,-0.876157169625,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,50.81358,60.8468804921,0.487711522431,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.1834358524,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.67351,23.7203427065,-0.137533666254,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,5835.85858,98.1876098418,3.6649922017,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.65484,22.8196397188,-0.156899496234,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.1834358524,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,49.0169156415,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,8136.88877,98.7038664323,-1.3088238209,NA,NA,NA
ENSMUSG00000020758,Itgb4,16.07749,49.7638400703,-0.25136526345,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.1834358524,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,20.1834358524,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,676.38348,88.8345782074,-0.309193197633,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,20.1834358524,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,132.21299,71.3642355009,0.043618526083,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,21361.89888,99.6539982425,1.54853842698,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,5.55894,34.1882688928,-0.133090657575,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,88.85304,66.8771968366,0.37313639572,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,180.90007,74.928602812,-0.671143395949,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,554.13832,86.9837434095,0.955441646112,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,6.17483,36.9068541301,-0.52463994991,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,20.1834358524,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,16059.72951,99.4398066784,-1.76437969205,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.70496,24.8407293497,-0.326358908831,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,7.99612,41.5696397188,0.440951388296,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,35.5557996485,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,412.79406,84.3145869947,-0.29927293343,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.95966,29.2948154657,-0.156745598356,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,60.56045,62.6318101933,-0.475473670558,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.63584,20.1834358524,-0.375256853748,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,20.1834358524,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,4.92304,28.7620826011,-0.170720128244,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,333.00084,82.0683216169,-0.224007565253,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,4.73883,25.8018453427,-0.184369573712,NA,NA,NA
ENSMUSG00000021598,Med10,860.6724,90.6689367311,-0.546185925112,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,20.1834358524,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,12.21454,46.803602812,-0.0499864603853,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,20.1834358524,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,85.35127,66.487258348,-0.937967176562,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,300.63433,80.9149824253,-0.604653583407,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,13.07398,47.5175746924,-0.450964454683,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,784.12401,89.9714411248,-0.426944081467,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,1531.15861,93.9532073814,-1.17061642364,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,20.1834358524,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,9.4235,43.7060632689,-0.637035261671,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.63584,20.1834358524,-0.127576742456,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,74.69842,64.9879173989,-0.151276987634,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,863.48902,90.6799209139,0.205849049505,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,6.52804,38.1974956063,-0.480548335369,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,18.25516,50.8787346221,0.869795292528,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,14.60114,48.6873901582,-0.214439296028,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,56.00522,61.8409490334,1.44540831374,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,450.65686,85.1274165202,-0.816380869056,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,4.8436,27.6197275923,-0.48015442743,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,396.99555,83.9521089631,-1.00397798328,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,29.38748,55.5579964851,-0.74046818649,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,563.62603,87.1375219684,-0.0316608292261,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,4.63584,20.1834358524,-0.129205751722,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,4.63584,20.1834358524,-0.229184951099,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,80.67825,65.8556678383,-0.503662380924,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,5.0019,29.7671353251,0.301245260546,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,4.82969,27.4384885764,-0.252684932531,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,4.88185,28.2677943761,-0.136668710309,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,247.12814,78.591827768,0.521411041055,ENSG00000070182,91,1
ENSMUSG00000054074,Skida1,4.63584,20.1834358524,-0.188085268602,ENSG00000180592,92,1
ENSMUSG00000041536,Serpina3a,4.63584,20.1834358524,-0.117658559847,ENSG00000273259,51,0
ENSMUSG00000054072,Iigp1,19.19466,51.4169595782,-0.334149052828,NA,NA,NA
ENSMUSG00000045007,Tubg2,89.02781,66.9156414763,1.98304566478,ENSG00000037042,98,1
ENSMUSG00000001270,Ckb,39159.71825,99.9231107206,4.22715513762,ENSG00000166165,97,0
ENSMUSG00000041671,Pyroxd1,34.25345,56.9694639719,-1.28279570799,ENSG00000121350,85,0
ENSMUSG00000030922,Lyrm1,46.06866,59.8198594025,-0.00211332564817,ENSG00000102897,88,0
ENSMUSG00000010392,Gosr1,21.87481,52.6801405975,-0.886905907852,ENSG00000108587,98,0
ENSMUSG00000006958,Chrd,12.37441,46.9354130053,-0.258334729535,ENSG00000090539,86,0
ENSMUSG00000054079,Utp18,135.01993,71.6498242531,-0.977573715272,ENSG00000011260,81,1
ENSMUSG00000034957,Cebpa,14.92172,48.9839630931,-0.375599405605,ENSG00000245848,92,1
ENSMUSG00000046818,Ddit4l,10.90712,45.474516696,-0.237876356063,ENSG00000145358,93,0
ENSMUSG00000031671,Setd6,4.8874,28.3556678383,0.0459712408105,ENSG00000103037,78,1
ENSMUSG00000096225,Lhx8,4.63584,20.1834358524,-0.275448836429,ENSG00000162624,91,0
ENSMUSG00000048285,Frmd6,241.16956,78.3776362039,-0.291496657789,ENSG00000139926,94,0
ENSMUSG00000084980,Slc36a1os,4.72001,25.296572935,-0.231477699723,NA,NA,NA
ENSMUSG00000048280,Zfp65 /// Zfp738,118.25258,70.1669595782,-1.11280000334,ENSG00000196350,35,0
ENSMUSG00000048281,Dleu7,29.12684,55.4756151142,-0.0102161142725,ENSG00000186047,83,1
ENSMUSG00000087579,1500017E21Rik,4.63584,20.1834358524,-0.139302035736,NA,NA,NA
ENSMUSG00000058569,Tmed9,451.36502,85.1493848858,-0.739852793503,ENSG00000184840,94,0
ENSMUSG00000034402,Kcnh5,82.85605,66.1687170475,5.42526635997,ENSG00000140015,98,1
ENSMUSG00000036766,Dner,4647.32493,97.6933216169,1.83016557997,ENSG00000187957,90,0
ENSMUSG00000036764,Dnajc12,282.55329,80.190026362,-0.0793295295403,ENSG00000108176,76,0
ENSMUSG00000055805,Fmnl1,4.63794,20.8644551845,-0.317783209679,ENSG00000184922,88,1
ENSMUSG00000070319,Eif3g,1821.99053,94.7715289982,-0.947147499471,ENSG00000130811,98,0
ENSMUSG00000036769,Wdr44,73.46769,64.7737258348,-0.580811919085,ENSG00000131725,92,1
ENSMUSG00000072244,Trim6,4.63584,20.1834358524,-0.147904155289,ENSG00000121236,76,0
ENSMUSG00000021583,Erap1,7.0703,39.6254393673,-0.909027714143,ENSG00000164307,84,1
ENSMUSG00000086999,Bcas1os2,4.63584,20.1834358524,-0.243128323944,NA,NA,NA
ENSMUSG00000021587,Pcsk1,56.70261,62.0221880492,0.0978713748392,ENSG00000175426,93,0
ENSMUSG00000074384,AI429214,7.16897,39.889059754,-0.244137796601,ENSG00000164743,50,1
ENSMUSG00000021585,Cast,15.38724,49.3025043937,-0.792464810904,ENSG00000153113,67,1
ENSMUSG00000086992,Gm15941,4.63584,20.1834358524,-0.281098617159,NA,NA,NA
ENSMUSG00000074388,Gm5544,4.63584,20.1834358524,-0.131058515442,NA,NA,NA
ENSMUSG00000021589,Rhobtb3,85.86072,66.5531634446,-0.0299328946296,ENSG00000164292,96,0
ENSMUSG00000086996,4933416E14Rik,4.63584,20.1834358524,-0.176258859816,NA,NA,NA
ENSMUSG00000079808,C130026I21Rik /// LOC102638047,4.63584,20.1834358524,-0.161432740477,ENSG00000280755,36,0
ENSMUSG00000037145,2210407C18Rik,5.11137,30.8930140598,-0.12617463524,NA,NA,NA
ENSMUSG00000001098,Kctd10,185.32055,75.170254833,-0.481947047965,ENSG00000110906,98,0
ENSMUSG00000031621,Isx,4.63584,20.1834358524,-0.1665525261,ENSG00000175329,63,1
ENSMUSG00000037140,Tas2r108,4.63584,20.1834358524,-0.388418713361,ENSG00000127364,67,1
ENSMUSG00000037143,4930529M08Rik,4.63584,20.1834358524,-0.176790572538,ENSG00000089101,17,0
ENSMUSG00000054293,A630033H20Rik,4.63584,20.1834358524,-0.485420824613,NA,NA,NA
ENSMUSG00000084846,A730011C13Rik,4.63584,20.1834358524,-0.429519587825,NA,NA,NA
ENSMUSG00000084847,Gm15507 /// Gm15507,4.63584,20.1834358524,-0.354824253549,NA,NA,NA
ENSMUSG00000084844,Hoxb3os /// Hoxb3os,4.63584,20.1834358524,-0.450132296372,NA,NA,NA
