ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0,23.4455958549,-0.770729119932,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,2,53.1735751295,-0.328686218726,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,23.4455958549,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,23.4455958549,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,2.5,57.7720207254,-0.787795722791,NA,NA,NA,NM_023074
ENSG00000079263,SP140,1.9,52.3316062176,-0.297407728861,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,0.8,38.4067357513,-0.711742815507,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,4.1,66.9689119171,-0.837070841147,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,18.9,92.6813471503,-0.5353126105,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,4,66.4507772021,-0.617572270862,NA,NA,NA,NM_001289166
ENSG00000198416,,0,23.4455958549,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.1,26.6191709845,-0.403962861225,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,23.4455958549,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,23.4455958549,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,9.9,83.8730569948,-1.12523303288,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,23.4455958549,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.2,55.1165803109,-0.840072235355,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,50,98.2512953368,2.37677314551,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,23.4455958549,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,6.8,77.2668393782,0.449555118657,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,23.4455958549,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,2.9,60.621761658,-0.579641350688,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,3.4,63.7305699482,-0.46327838248,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,3.9,65.8678756477,0.021725376752,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,20.1,93.1347150259,0.320832018374,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,1.7,50.0,-0.461136900677,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,2.8,59.8445595855,-0.527716264437,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,21,93.7176165803,-0.461918714118,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,5.6,73.5103626943,-0.128643175362,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,23.4455958549,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,23.4455958549,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,8.5,81.6062176166,1.35065321806,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,4.8,70.5310880829,-0.209967927467,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,23.4455958549,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,1.3,45.2720207254,-1.09472941415,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,23.4455958549,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0.1,26.6191709845,-0.3259720062,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,9,82.3834196891,-0.403381770909,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,3.5,64.1839378238,-0.906993184982,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,23.4455958549,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,7.4,78.9507772021,-0.21223367532,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,0.6,35.8808290155,-0.361306934778,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,23.4455958549,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,6.4,75.7124352332,-0.176029711662,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,37.9,97.4740932642,-0.670009910469,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,1,42.0336787565,-0.0495084093876,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,20.7,93.3937823834,-0.123759176009,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,6.9,77.7202072539,-0.754946308001,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,1.9,52.3316062176,-0.933783221285,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,0.6,35.8808290155,-0.910423159961,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,16,91.1917098446,-0.0180969597639,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,14.1,89.7020725389,-0.308915645741,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,1.8,51.1658031088,-0.694363607452,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,3.6,64.5725388601,-0.265274141918,ENSMUSG00000046897,79,0,NM_001004304
ENSG00000162601,MYSM1,7.5,79.274611399,0.55997284656,ENSMUSG00000062627,78,0,NM_001085487
ENSG00000135100,HNF1A,11,85.6865284974,2.91909605646,ENSMUSG00000029556,94,1,NM_001306179
ENSG00000067646,ZFY,1.4,46.5025906736,-0.138326715156,ENSMUSG00000053211,69,0,NM_003411
ENSG00000186496,ZNF396,1.3,45.2720207254,-0.320232708827,NA,NA,NA,NM_145756
ENSG00000187140,FOXD3,0.2,28.7564766839,0.321633760451,ENSMUSG00000067261,90,1,NM_012183
ENSG00000185610,DBX2,0,23.4455958549,-0.279301948972,ENSMUSG00000045608,71,0,NM_001004329
ENSG00000172262,ZNF131,8.6,81.8005181347,-0.444011244466,ENSMUSG00000094870,88,1,NM_003432
