ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,3.5,61.1398963731,1.97836837791,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,12.2,87.4352331606,0.45269165303,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,24.2227979275,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,24.2227979275,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,3.9,64.0544041451,-0.237199024179,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.3,30.2461139896,-0.458033000145,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,15.5,91.2564766839,1.61976011217,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,6.9,77.0077720207,0.206066118057,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,17.5,92.6165803109,-0.65345056592,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,4.5,67.5518134715,-0.382306643867,NA,NA,NA,NM_001289166
ENSG00000198416,,0,24.2227979275,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0,24.2227979275,-0.494360144855,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,24.2227979275,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,24.2227979275,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,18.6,93.8471502591,-0.0841400572939,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,24.2227979275,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,4.4,67.0336787565,1.23505356707,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,37.3,98.0569948187,1.44143799848,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,24.2227979275,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,6.4,75.0647668394,0.244775562828,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0.1,26.9430051813,0.673274875079,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,3,57.7720207254,-0.533615238475,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,2.7,55.5699481865,-0.753150889953,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,4.5,67.5518134715,0.43885261039,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,11.4,86.4637305699,-0.697635871196,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,1.9,47.8626943005,-0.31056158617,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,4.4,67.0336787565,0.388184506382,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,22,95.0129533679,-0.377837947043,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,3.2,59.3264248705,-0.720247718342,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,24.2227979275,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,24.2227979275,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,5,70.5310880829,-0.0644371507214,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,4.7,68.7823834197,-0.267395052928,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,24.2227979275,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,2.7,55.5699481865,-0.0377492901431,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,24.2227979275,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0.2,28.6917098446,-0.316861871529,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,7.7,79.4041450777,-0.653839706279,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,5,70.5310880829,-0.580883275775,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,24.2227979275,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,6.9,77.0077720207,-0.345924179459,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,14.2,89.8316062176,0.729885140277,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,24.2227979275,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,0.9,36.5932642487,-0.82964214315,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,42.9,98.3808290155,-0.374281398262,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,0.3,30.2461139896,-0.29059283771,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,21.2,94.6243523316,-0.0920260539551,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,6.9,77.0077720207,-0.754946308001,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,2.6,54.4041450777,-0.773746923222,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,0.7,34.7150259067,-0.735970817932,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,12.6,88.1476683938,-0.346255163482,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,9,82.1243523316,-0.877292572291,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,1.7,45.3367875648,-0.779823743754,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,4.1,65.414507772,0.0139617969431,ENSMUSG00000046897,79,0,NM_001004304
