mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,7.42845,37.005711775,-0.415492396488,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,28.90254,59.2541739895,-0.77633156058,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,102.32072,72.2923989455,3.57736340072,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,17.4758347979,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,6.93344,35.0615114236,4.15094610831,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,37.47907,62.2473637961,-0.671686711047,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,186.74537,78.5478910369,-0.212241463777,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,5.69839,28.1030316344,-0.280030481263,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,36.9507908612,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,15.22489,51.0050527241,-0.54171252954,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,17.4758347979,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,18.5193321617,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,6.03925,30.4701230228,-0.310755485192,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,16.80692,52.3945518453,-0.521740453004,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,11.60757,46.776142355,-0.318551947213,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.03617,21.946397188,-0.544856756237,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,17.4758347979,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1281.44051,93.7225395431,-0.156683676528,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,5.0195,21.8090949033,-0.388874767989,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3790.24682,97.4791300527,0.337209758676,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,17.4758347979,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,60.42213,67.0474516696,-0.383345138229,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5060.46813,98.0503075571,6.68665954608,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,92.90013,71.3752196837,-1.19912720149,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,17.4758347979,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,285.8531,82.8097539543,-0.704057340235,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,6.69721,34.0015377856,0.942709498345,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,325.86706,84.0454745167,-0.990942408155,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,64.45505,67.6625659051,-0.398560379497,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,113.35775,73.4072934974,0.544919900525,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,105.04423,72.5999560633,-0.362350712339,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,6.59526,33.512741652,-0.000523978283847,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,80.74074,69.9747363796,-0.574815639124,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,17.4758347979,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,6.38966,32.5900702988,1.114564935,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,6.42318,32.7438488576,0.00748701147809,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,17.4758347979,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,6.49588,33.0349297012,-0.431072971619,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,2312.74922,96.139059754,-0.624383146492,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,17.4758347979,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,18.7115553603,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.65633,18.1678383128,-0.312269491437,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,12.46412,47.9514499121,-0.476196613652,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,33.28128,60.8908172232,-0.398823919461,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,70.30123,68.6072056239,-0.0771405371636,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,671.39465,89.960456942,-1.11798658156,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,7.90111,38.6753075571,0.0555996435126,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,5.22748,23.9949472759,-0.116668316288,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,31.98318,60.4294815466,-0.746286945627,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.89231,20.6722319859,-0.384246801481,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,162.39699,77.1968365554,0.250706739073,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,17.4758347979,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,26.31185,58.216168717,-0.118077049836,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,8068.57518,98.6214850615,2.2417303323,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.97733,21.3862038664,-0.196062470106,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,23.1791,56.6399384886,-0.223416347276,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,74.6657,69.1289543058,7.47251736482,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,5.49087,26.4224516696,-0.134641564162,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,17.4758347979,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,14.685,50.5052724077,-1.20943942745,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,142.61566,75.7524165202,0.0562270212487,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,17.4758347979,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.65761,18.1952987698,-0.422555984892,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,81.59871,70.0955623902,-1.21155789448,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,17.4758347979,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,364.53247,85.1713532513,1.02269097083,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,20.6033,55.1735500879,1.64407620101,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,5.82727,29.1190685413,-0.107408286712,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,13.9039,49.730887522,0.0224301254678,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,4.93623,20.9468365554,-0.562215195543,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,44.37416,63.9663884007,0.797474244894,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,347.71516,84.6935413005,0.701862488763,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,17.4758347979,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,175.63409,77.92728471,7.29137156126,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.87154,29.4156414763,-0.27547663294,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,2143.97532,95.8754393673,2.38238203806,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,12.22147,47.5724956063,-0.432214146997,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,13.39045,49.0883128295,-1.20210247522,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,50.41141,65.1636643234,-0.36781084724,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,389.43151,85.6985940246,1.11838738233,NA,NA,NA
ENSMUSG00000078861,Zfp931,4184.82071,97.737258348,6.75481203758,NA,NA,NA
ENSMUSG00000032897,Nfyc,1390.32894,94.0905096661,1.43559519043,ENSG00000066136,94,0
ENSMUSG00000075045,4933403O03Rik /// Gm4981 /// Gm9919,4.63584,17.4758347979,-0.577470888189,NA,NA,NA
ENSMUSG00000039841,Zfp800,64.59847,67.7010105448,-0.852117772488,ENSG00000048405,94,1
ENSMUSG00000009734,Pou6f2,6.46898,32.9305799649,1.51042588975,ENSG00000106536,85,0
ENSMUSG00000043059,Zfp513,36.68982,61.9507908612,-0.723433088254,ENSG00000163795,95,0
ENSMUSG00000049577,Zfpm1,29.65336,59.5672231986,-0.315511528819,ENSG00000179588,67,1
ENSMUSG00000049576,Zfa-ps /// Zfx,10.25098,44.5628295255,0.323193033322,NA,NA,NA
ENSMUSG00000078768,Zfp566,322.96854,83.9136643234,4.19108164565,ENSG00000186017,74,1
ENSMUSG00000023781,Hes7,4.63584,17.4758347979,-0.150918681849,ENSG00000179111,90,0
ENSMUSG00000019826,Zbtb24,105.76488,72.709797891,-0.307052148519,ENSG00000112365,82,0
ENSMUSG00000036144,Meox2,4.76697,19.612258348,-0.300289525151,ENSG00000106511,98,1
ENSMUSG00000029127,Zbtb49,4.63584,17.4758347979,-0.254746467044,ENSG00000168826,74,0
ENSMUSG00000025529,Zfp711,6.11301,30.9589191564,-0.413197624182,ENSG00000147180,95,0
ENSMUSG00000037868,Egr2,34.66518,61.3082161687,-0.474664817331,ENSG00000122877,89,0
ENSMUSG00000079560,Hoxa3,5.09697,22.5670035149,-0.0570289198078,ENSG00000105997,94,0
ENSMUSG00000002578,Ikzf4,4.63584,17.4758347979,-0.135831034441,ENSG00000123411,97,0
ENSMUSG00000039476,Prrx2,7.34652,36.7091388401,-0.267057837888,ENSG00000167157,90,0
ENSMUSG00000017801,Mlx,21.79407,55.8600615114,-0.819947145968,ENSG00000108788,95,0
ENSMUSG00000038346,Zfp384,844.19231,91.487258348,1.16666442837,ENSG00000126746,97,0
ENSMUSG00000042109,Csdc2,38.98951,62.6537785589,-0.149417151858,ENSG00000172346,97,0
ENSMUSG00000038342,Mlxip,63.00016,67.3989455185,-0.906565164072,ENSG00000175727,87,1
ENSMUSG00000039219,Arid4b,39.31703,62.7581282953,-0.483859599955,ENSG00000054267,90,1
ENSMUSG00000035187,Nkx6-1,8.15759,39.4881370826,-0.0821651357372,ENSG00000163623,96,0
ENSMUSG00000014303,Glis2,10.30511,44.6561950791,-0.236086527456,ENSG00000126603,93,0
ENSMUSG00000048280,Zfp65 /// Zfp738,242.02929,81.1676186292,-0.498415205649,ENSG00000196350,35,0
ENSMUSG00000011349,Dmrtc2,4.63584,17.4758347979,-0.10954729132,NA,NA,NA
ENSMUSG00000054191,Klf1,4.63584,17.4758347979,-0.174071235102,ENSG00000105610,71,1
ENSMUSG00000058402,Zfp420,4.63584,17.4758347979,-0.315764932147,ENSG00000197050,51,0
ENSMUSG00000045991,Onecut2,4.63584,17.4758347979,-0.201401982425,ENSG00000119547,99,1
ENSMUSG00000029705,Cux1,248.59912,81.4641915641,-0.536460402714,ENSG00000257923,88,0
ENSMUSG00000029706,Pax4,38.66599,62.5659050967,5.73867105746,ENSG00000106331,75,0
ENSMUSG00000029313,Aff1,13.77277,49.5441564148,0.949318732468,ENSG00000172493,67,1
ENSMUSG00000028799,Zfp362,149.32897,76.3071177504,-1.1140900481,ENSG00000160094,98,1
ENSMUSG00000027102,Hoxd8,5.17083,23.3084358524,-0.398935457554,ENSG00000175879,89,0
ENSMUSG00000060397,Zfp128,12.50494,48.006370826,-0.490591652944,ENSG00000278129,73,1
ENSMUSG00000024619,Cdx1,6.80232,34.545254833,-0.147132114953,ENSG00000113722,85,1
ENSMUSG00000003198,Zfp959,148.22398,76.1917838313,0.178718955833,NA,NA,NA
ENSMUSG00000054519,Zfp867,21.31271,55.585456942,1.37649251767,NA,NA,NA
ENSMUSG00000028890,Mtf1,4.63584,17.4758347979,-0.246716419246,ENSG00000188786,83,0
ENSMUSG00000074165,Zfp788,6.56849,33.3809314587,0.490278118971,NA,NA,NA
ENSMUSG00000046897,Zfp740,65.07317,67.8108523726,-1.47102307622,ENSG00000139651,79,0
ENSMUSG00000079808,C130026I21Rik /// LOC102638047,4.63584,17.4758347979,-0.161432740477,ENSG00000280755,36,0
ENSMUSG00000000782,Tcf7,4.70199,18.94771529,-0.231613091156,ENSG00000081059,67,1
ENSMUSG00000005373,Mlxipl,5.98019,30.0637082601,-0.280363740224,ENSG00000009950,82,1
ENSMUSG00000049755,Zfp672,110.30511,73.1162126538,-0.473590598813,ENSG00000171161,78,1
ENSMUSG00000003282,Plag1,4.63584,17.4758347979,-0.229458609048,ENSG00000181690,95,1
ENSMUSG00000012350,Ehf,24.61502,57.309973638,-0.293655662734,ENSG00000135373,87,1
ENSMUSG00000074637,Sox2,2476.4553,96.4026801406,1.542080933,ENSG00000181449,98,0
ENSMUSG00000038227,Hoxa9,5.4157,25.7029876977,-0.29990921099,ENSG00000078399,98,1
ENSMUSG00000017667,Zfp334,11.72168,46.946397188,-0.388995640623,ENSG00000198185,70,1
ENSMUSG00000063108,Zfp26,660.4378,89.8396309315,0.428040144179,NA,NA,NA
ENSMUSG00000047473,Zfp30,7.48754,37.1814586995,-0.459284580561,ENSG00000120784,85,1
ENSMUSG00000060630,Zfp735,7.19701,36.1489455185,1.81596969628,NA,NA,NA
ENSMUSG00000070034,Sp110,4.80287,19.9417838313,-0.302851988625,ENSG00000280755,36,0
ENSMUSG00000000247,Lhx2,7.03729,35.5722759227,-0.370655678469,ENSG00000106689,99,0
ENSMUSG00000002111,Spi1,8.63318,40.9710017575,-0.321253244258,ENSG00000066336,88,1
ENSMUSG00000002057,Foxn1,6.7588,34.2981107206,4.42036124903,ENSG00000109101,86,1
ENSMUSG00000042499,Hoxd11,4.63584,17.4758347979,-0.16388320002,ENSG00000128713,94,1
ENSMUSG00000030796,Tead2,16.84216,52.4329964851,-0.251940020068,ENSG00000074219,91,0
ENSMUSG00000014704,Hoxa2,8.5191,40.6634446397,-0.0672080760233,ENSG00000105996,95,0
ENSMUSG00000029553,Tfec,4.68287,18.5852372583,-0.336011034121,ENSG00000105967,61,0
ENSMUSG00000023994,Nfya,11.88518,47.1221441125,-1.05574081351,ENSG00000001167,100,0
ENSMUSG00000039699,Batf2,7.30981,36.538884007,-0.121041464477,ENSG00000168062,47,1
ENSMUSG00000024837,Dmrt1,6.64474,33.7324253076,-0.145994102033,ENSG00000137090,82,1
ENSMUSG00000045680,Tcf21,4.63584,17.4758347979,-0.280293329066,ENSG00000118526,96,0
ENSMUSG00000039656,Rxrb,884.84973,91.8662126538,1.10954908961,ENSG00000204231,94,0
ENSMUSG00000029844,Hoxa1,6.62607,33.6555360281,-0.287535729539,ENSG00000105991,94,0
ENSMUSG00000025019,Lcor,10.67528,45.3262302285,-0.497769496079,ENSG00000196233,98,0
ENSMUSG00000046792,Zfp787,6.34442,32.3703866432,0.14745833617,ENSG00000142409,92,0
ENSMUSG00000027833,Shox2,4.63584,17.4758347979,-0.307688322393,ENSG00000168779,92,0
ENSMUSG00000010175,Prox1,1137.26119,93.1623462214,9.20734728408,ENSG00000117707,98,1
ENSMUSG00000020919,Stat5b,275.3245,82.4143233743,-0.331242212555,NA,NA,NA
ENSMUSG00000055210,Foxd2,4.63584,17.4758347979,-1.0,ENSG00000186564,94,1
ENSMUSG00000028150,Rorc,10.28235,44.6287346221,0.202541740056,ENSG00000143365,89,1
ENSMUSG00000027583,Zbtb46,14.36445,50.1537785589,-0.255353130912,ENSG00000130584,91,0
ENSMUSG00000030067,Foxp1,249.68944,81.5246045694,-0.351493246556,ENSG00000114861,92,0
ENSMUSG00000027230,Creb3l1,12.059,47.3308435852,-0.274251947568,ENSG00000157613,90,0
ENSMUSG00000049823,Zbtb12,5.29562,24.6759666081,-0.512038677512,ENSG00000204366,97,1
ENSMUSG00000004151,Etv1 /// Gm5454,49.35094,64.9659490334,-0.343654233028,ENSG00000006468,98,1
ENSMUSG00000000435,Myf5,6.02344,30.3602811951,-0.103992384922,ENSG00000111049,89,1
ENSMUSG00000052675,Zfp112,38.77417,62.6043497364,5.70861295898,ENSG00000062370,62,0
ENSMUSG00000037446,Tulp1,13.44378,49.137741652,-0.131685206587,ENSG00000112041,80,0
ENSMUSG00000037447,Arid5a,5.07732,22.3967486819,-0.390097858804,ENSG00000196843,74,1
