ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,5.1,56.5102579728,0.0574537480969,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,3.5,49.6394474914,-0.257764180222,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,20.0842981922,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,1.4,38.3607556368,0.524377670805,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,7.3,64.0107657932,-0.857213703879,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,20.0842981922,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,20.0842981922,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,10.3,71.5468210441,-0.374908977809,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,6.8,62.4822262848,-0.827188576582,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.2,26.376193378,-0.272512552281,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,57.2,94.7288238879,1.49385364356,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,6.1,60.2935202113,-0.749872503445,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,20.0842981922,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,5.7,58.8817794028,-0.48331225268,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,81.8,96.5620556571,5.56771307189,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,1.2,37.0708917327,-0.48963092386,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,8.3,66.671744871,-0.610602800998,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,40.4,92.2557383709,2.10762115181,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,24.2,86.7204956327,2.29105776501,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,2.3,43.515133049,-0.0484982607974,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,20.0842981922,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,38.3,91.788543571,-0.202528113475,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,20.0842981922,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,12.5,75.5738370912,-0.109143340348,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,7.1,63.4724761324,-0.664693836478,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,27.5,88.2033313021,2.08735008131,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,20.0842981922,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,12.1,74.8933577087,0.454907785649,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,0.2,26.376193378,-0.676158064202,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,20.0842981922,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,11.2,73.3140361568,0.597612056539,NA,NA,NA,NA
ENSG00000169740,ZNF32,18.6,82.596993703,-0.0841400572939,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.3,28.1992687386,-0.320513004262,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,18.2,82.2973796466,-0.28447097425,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,0.1,23.8370912046,-0.609672569461,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,7.4,64.2748324193,2.18092802294,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,8.3,66.671744871,-0.0811351115473,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,11.7,74.1671744871,-0.417286683209,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0.4,29.7582774731,-0.182744957984,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,5.3,57.3278488726,-0.505608806305,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,2.5,44.6018687792,-0.937615087539,ENSMUSG00000048706,88,0,NM_203403
