ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,2.1,45.2720207254,0.878729378775,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,21.2,91.8393782383,1.14214271634,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,23.9637305699,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,23.9637305699,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,4.4,63.6658031088,-0.0405573461031,NA,NA,NA,NM_023074
ENSG00000079263,SP140,2.9,52.5906735751,-0.197016934309,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,3.7,59.6502590674,-0.251786455625,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,6.7,71.6968911917,0.131556335257,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,23.6,93.0699481865,-0.138706617302,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,5.4,67.810880829,0.0411714847242,NA,NA,NA,NM_001289166
ENSG00000198416,,0,23.9637305699,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.5,31.0880829016,-0.0423737267019,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,23.9637305699,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,23.9637305699,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,16.4,87.6943005181,-0.347404947671,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,23.9637305699,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.9,52.5906735751,-0.179804934585,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,11.7,82.0595854922,-0.443961982927,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,23.9637305699,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,4.8,65.4792746114,-0.574342660491,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0.1,26.6191709845,0.673274875079,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,4.4,63.6658031088,0.110750332514,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,3.7,59.6502590674,-0.339047307848,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,5,66.5155440415,0.786458638422,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,35.9,96.9559585492,2.17046335805,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,3.3,56.5414507772,0.743465615376,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,2.7,51.1658031088,-0.584960062613,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,37.8,97.1502590674,0.950638172741,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,4.5,64.1191709845,-0.399795257561,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0.1,26.6191709845,-0.0659643568706,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,23.9637305699,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,4.1,61.9170984456,-0.428317531266,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,5.1,66.9041450777,-0.0376865510839,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,23.9637305699,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,3.2,55.0518134715,0.339743611288,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,23.9637305699,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,10,79.5336787565,0.575931326239,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,10.8,81.2176165803,-0.0565938603962,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,9.9,79.0803108808,0.484409094301,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,23.9637305699,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,9,77.3316062176,0.215575937924,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,2.2,46.1787564767,-0.232931396536,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,23.9637305699,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,4.3,62.8238341969,-0.425590821866,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,77.1,98.8989637306,1.64850162523,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,0.6,32.2538860104,-0.187270939858,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,23.9,93.4585492228,0.0793328051337,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,9,77.3316062176,-0.433855220041,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,8.2,75.7772020725,0.506543461278,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,1.1,36.981865285,-0.0381614498187,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,28.4,95.5310880829,1.17871531262,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,13.5,85.1683937824,-0.375783519453,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,3.2,55.0518134715,0.502078300773,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,4.7,64.9611398964,0.349044923576,ENSMUSG00000046897,79,0,NM_001004304
ENSG00000162601,MYSM1,6.3,70.9196891192,0.0393201272403,ENSMUSG00000062627,78,0,NM_001085487
ENSG00000135100,HNF1A,0,23.9637305699,-0.45646837151,ENSMUSG00000029556,94,1,NM_001306179
ENSG00000067646,ZFY,1,36.1398963731,-0.433423707489,ENSMUSG00000053211,69,0,NM_003411
ENSG00000186496,ZNF396,2.1,45.2720207254,0.188957188439,NA,NA,NA,NM_145756
ENSG00000187140,FOXD3,0,23.9637305699,-0.821952943376,ENSMUSG00000067261,90,1,NM_012183
ENSG00000185610,DBX2,0,23.9637305699,-0.279301948972,ENSMUSG00000045608,71,0,NM_001004329
ENSG00000172262,ZNF131,8.7,76.7487046632,-0.423508560739,ENSMUSG00000094870,88,1,NM_003432
ENSG00000169926,KLF13,38.4,97.2150259067,1.93597764741,ENSMUSG00000052040,94,1,NM_015995
ENSG00000114853,ZBTB47,7.5,73.9637305699,-0.093007702037,ENSMUSG00000013419,74,1,NM_145166
ENSG00000073861,TBX21,2.7,51.1658031088,0.999976605803,ENSMUSG00000001444,87,0,NM_013351
ENSG00000126012,KDM5C,18.4,89.8316062176,0.104190623953,ENSMUSG00000025332,95,0,NM_001146702
ENSG00000214022,REPIN1,17.2,88.6010362694,-0.347581699514,ENSMUSG00000052751,77,1,NM_001099696
ENSG00000129514,FOXA1,9.2,77.8497409326,0.182851546359,ENSMUSG00000035451,95,0,NM_004496
ENSG00000186812,ZNF397,9.4,78.432642487,0.0933960988557,ENSMUSG00000024276,83,0,NM_032347
ENSG00000214029,,0.4,30.2461139896,-0.381757487977,NA,NA,NA,NM_001277291
ENSG00000183733,FIGLA,0,23.9637305699,-0.179605302027,ENSMUSG00000030001,58,0,NM_001004311
ENSG00000186564,FOXD2,0.2,28.2383419689,-0.179972101162,ENSMUSG00000055210,94,1,NM_004474
ENSG00000119138,KLF9,19.9,90.9974093264,-0.26320847437,ENSMUSG00000033863,97,0,NM_001206
ENSG00000141027,NCOR1,22.1,92.292746114,-0.411406854986,ENSMUSG00000018501,92,1,NM_001190438
ENSG00000125945,ZNF436,6.3,70.9196891192,-0.236483863234,ENSMUSG00000051351,91,1,NM_030634
ENSG00000108264,TADA2A,0,23.9637305699,nan,NA,NA,NA,NA
ENSG00000162419,GMEB1,3,53.6269430052,-0.252147138461,ENSMUSG00000028901,93,0,NM_006582
ENSG00000066422,ZBTB11,7.1,72.9274611399,0.120487636486,ENSMUSG00000022601,89,1,NM_014415
ENSG00000116809,ZBTB17,6.3,70.9196891192,-0.102099247867,ENSMUSG00000006215,91,0,NM_001287603
ENSG00000153896,ZNF599,3.2,55.0518134715,0.360682549699,NA,NA,NA,NM_001007248
ENSG00000108064,TFAM,11.6,81.9300518135,-0.589785256743,ENSMUSG00000003923,61,0,NM_001270782
ENSG00000144485,HES6,1.5,40.414507772,-0.499824363218,ENSMUSG00000067071,86,1,NM_001282434
ENSG00000121406,ZNF549,2.8,51.8134715026,0.367983643575,NA,NA,NA,NM_001199295
ENSG00000172468,HSFY1,0,23.9637305699,-0.181253906118,ENSMUSG00000045336,36,1,NM_152584
ENSG00000067082,KLF6,85.1,99.0932642487,0.245802420194,ENSMUSG00000000078,95,1,NM_001160125
ENSG00000172466,ZNF24,18.8,90.1554404145,0.441406135208,ENSMUSG00000051469,95,1,NM_001308123
