mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,29.01289,58.1282952548,0.939113833935,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,33.39953,59.5177943761,-0.64030656176,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,5.7975,32.2275922671,-0.162451549977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,18.4424428822,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,5.34496,28.8005272408,1.02726591703,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,204.60116,79.0531634446,0.0329213740382,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,840.85999,92.2891036907,0.162601616102,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,11.09016,46.7596660808,-0.263611326156,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,39.1915641476,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,30.38469,58.5841388401,-0.526858437859,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,18.4424428822,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,19.6012741652,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,18.4424428822,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,11.24895,47.0068101933,-0.537462711546,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,8.8421,42.9591388401,-0.382966876299,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.24974,34.7374780316,-0.253580943314,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,18.4424428822,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1998.07781,96.3916959578,0.502391860289,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,16.84859,52.2133128295,-0.373016156847,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,4662.23512,98.4567223199,0.556477846218,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,18.4424428822,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,60.42213,65.4382688928,-0.383345138229,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4830.26201,98.5226274165,6.37427411658,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,21.8505,55.1296133568,-1.98860351654,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,7.42808,39.2355008787,0.308366484789,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,268.99236,82.0738137083,-0.760144036824,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,29.454086116,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,892.32456,92.5692003515,-0.528160182395,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,63.88282,66.0478910369,-0.403844943656,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,17.00281,52.3066783831,-1.06323182289,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,133.72681,74.1157732865,-0.120928743404,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,7.99211,41.0533831283,0.185741899242,ENSG00000123576,21,0
