mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2429.81279,95.5514059754,1.0377781211,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.75331,25.7469244288,-0.583380065163,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3336.63258,96.6992530756,0.00132900393977,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,446.63064,84.4299209139,-1.06469519417,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,19.7934973638,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,748.70076,89.125659051,-1.55919254927,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1259.20593,92.591168717,-0.701396603024,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,28.74107,55.2833919156,-0.576111062042,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,7.21264,39.6968365554,-0.135726399893,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.6627,22.8196397188,-0.348813818161,NA,NA,NA
ENSMUSG00000083012,Fam220a,23.64114,53.2293497364,-0.375883840286,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,93.42478,66.9815465729,-0.96982370369,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,19.7934973638,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,10.79723,45.1614674868,-0.9052342525,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,19.7934973638,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,19.7934973638,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,385.97636,82.9415641476,-0.522691450138,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.69309,24.0938049209,-0.47497210997,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,19.7934973638,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,19.7934973638,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,19.7934973638,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,19.7934973638,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.90267,38.8785149385,-0.376754597378,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,140.61275,71.4356326889,-0.790532766572,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,156.59623,72.539543058,-0.49005905278,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,19.7934973638,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,19.73839,51.5158172232,-0.102931360902,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,19.7934973638,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,81.26383,65.454745167,-0.859277335919,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,60.57482,62.5823813708,0.647997129331,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,19.7934973638,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.71764,24.9340949033,-0.135761489183,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,552.46732,86.3192003515,0.0369274369329,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,19.7934973638,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,19.7934973638,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,48.769771529,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,11200.00113,99.0553602812,-0.901638724161,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.7764,26.1972759227,-0.388371963507,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,19.7934973638,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,19.7934973638,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,662.35423,88.0217486819,-0.338241259754,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,19.7934973638,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,182.77067,74.4837434095,0.866662322772,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,14375.15236,99.3244727592,0.751565726747,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,284.94394,79.5035149385,-0.0749101628452,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,26.49738,54.4705623902,-0.375799465333,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,265.52972,78.8005272408,-0.219483144456,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,647.08123,87.8185413005,1.38235209737,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,5.75676,34.7978910369,-0.529058424512,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,19.7934973638,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,25257.80852,99.6979349736,-1.04721148556,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,26.158831283,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,10.72896,45.0626098418,1.10417488895,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,8.75631,42.4648506151,-0.177448186825,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,375.85533,82.6834358524,-0.406462431658,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.68679,23.8466608084,-0.157378917336,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,265.27726,78.7950351494,-0.300859584887,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.63584,19.7934973638,-0.375256853748,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.73063,25.2471441125,-0.0211848517984,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,4.83347,27.1968365554,-0.170784043207,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,356.53018,82.1671792619,-0.191388180582,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,5.22013,31.519112478,-0.178235705603,NA,NA,NA
ENSMUSG00000021598,Med10,790.94619,89.5815026362,-0.63435156245,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,19.7934973638,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,8.17235,41.5531634446,-0.0975447510737,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,19.7934973638,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,96.27859,67.3055799649,-0.908406257798,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,606.62461,87.2967926186,0.195803188479,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,79.86599,65.3174428822,-0.196547642247,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,900.43406,90.3668717047,-0.358890820198,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,1031.70231,91.3115114236,-1.43582460103,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.79991,26.6311511424,-0.208599024786,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,10.06415,44.2278119508,-0.617764869309,ENSG00000170606,96,1
