mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,611.53797,87.598857645,-1.35103164906,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,22.6164323374,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1900.51596,94.8209578207,-0.425594465793,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,4208.87348,97.4132249561,3.94391942472,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,16.2950351494,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3654.74386,97.1001757469,0.176968542625,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,11327.36714,98.9729789104,1.93730720488,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,10.39327,46.7102372583,-0.704881566883,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,7.43619,39.6583919156,-0.135312105744,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,37.10902,61.3960896309,-0.119378595498,NA,NA,NA
ENSMUSG00000083012,Fam220a,207.71134,77.4275043937,0.11680544723,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1467.61048,93.6236818981,1.91008100003,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,7.63748,40.2680140598,-0.0961255607038,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,11.85422,48.6928822496,-0.855857203155,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,7.55727,39.9989015817,-0.0932052000093,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,7.67707,40.3998242531,-0.105514435618,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1102.93237,91.8222759227,1.20563739164,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.90925,21.4576010545,-0.473381646173,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,16.2950351494,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,5.26255,26.5103251318,0.819727977207,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,16.2950351494,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,16.2950351494,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,9.16106,44.3815905097,0.271004784335,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,34.1798,60.6821177504,-1.05162827656,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,129.21991,72.7427504394,-0.686805390841,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63696,16.3829086116,-0.109715632554,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,7.81439,40.7623022847,-0.108923786522,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,16.2950351494,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,368.83309,83.2930579965,-0.119404411693,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,16.2950351494,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,16.2950351494,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,16.2950351494,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,578.56872,87.1265377856,0.0548510706354,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,16.2950351494,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.88648,21.0566783831,-0.135913901611,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,17.7685,53.8334797891,-0.154747634152,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,22818.26165,99.4562829525,0.642797776293,NA,NA,NA
ENSMUSG00000020758,Itgb4,163.72505,75.0274604569,1.53861295698,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,54057.69949,99.9066344464,8.45213624979,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.80498,19.3486379613,-0.132934612489,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,847.84767,90.0812829525,0.0458295186613,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,14.08083,51.0105448155,-0.154566194496,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,251.0277,79.4485940246,1.97783920276,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,21568.0141,99.434314587,1.5720498286,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,6253.40686,98.1601493849,1.16799165888,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,49.27778,63.9114674868,-0.102190646356,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,105.99468,70.7491212654,-1.07090621295,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,363.93024,83.1667398946,0.0817675028519,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,10.42646,46.7926186292,-0.479705562919,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,6.81682,37.1265377856,-0.124797542854,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,46678.84419,99.8846660808,0.622972660052,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,149.95146,74.1761862917,0.709422253965,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,16.2950351494,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,31.4806678383,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,327.8646,82.1781634446,-0.545722830385,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,5.22478,26.0489894552,-0.156130266778,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,775.86313,89.4332161687,0.134646834184,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.95394,22.2869068541,-0.374878299028,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,8.24927,41.9870386643,7.45645443733,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,5.87867,31.8815905097,-0.170038214035,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,26.88894,58.3315026362,-0.648379086865,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,7.13431,38.4666080844,-0.153840676188,NA,NA,NA
ENSMUSG00000021598,Med10,1103.432,91.8332601054,-0.239227396118,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,16.2950351494,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,26.21268,58.0514059754,0.114708324179,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,16.2950351494,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,226.19878,78.3446836555,-0.556942204182,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,946.83412,90.8282073814,1.08577592271,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,2005.80551,95.0626098418,7.13953033507,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,628.82984,87.8020650264,-0.51780703548,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,2228.04827,95.4250878735,-0.800572364587,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,16.2950351494,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,11.21452,47.8745606327,-0.583162385485,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,5.66282,30.2559314587,-0.123369756735,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,73.2199,67.4099297012,-0.16491876612,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,263.73561,79.8659929701,-1.1941955932,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,7.41526,39.5815026362,0.0748583782963,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,5.10201,24.5606326889,-0.403599692837,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,6.91984,37.5,-0.231329525161,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,4.63584,16.2950351494,-0.295067617567,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,2184.14208,95.3536906854,-0.369674391509,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,4.80249,19.2992091388,-0.505053680085,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,2198.62339,95.3646748682,0.370419309329,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,203.82645,77.2023286467,0.205893084707,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,6.02816,32.9360720562,-0.286808003705,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,6.07241,33.2655975395,-0.125104515458,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,4.63584,16.2950351494,-0.229184951099,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,34.35222,60.7260544815,-0.764677145699,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,6.43252,35.2537346221,2.27168843736,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,5.17772,25.4503514938,-0.249688580086,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,4.9683,22.5340509666,-0.127047951572,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,12.35898,49.3848857645,-0.339159304831,ENSG00000070182,91,1
ENSMUSG00000054074,Skida1,5.12237,24.7858084359,-0.12715904429,ENSG00000180592,92,1
ENSMUSG00000041536,Serpina3a,8.14838,41.7618629174,0.11779021466,ENSG00000273259,51,0
ENSMUSG00000054072,Iigp1,89.06219,69.1619068541,-0.284496674394,NA,NA,NA
ENSMUSG00000045007,Tubg2,4.63584,16.2950351494,-0.399039632584,ENSG00000037042,98,1
ENSMUSG00000001270,Ckb,60.6527,65.7458260105,-0.497596888294,ENSG00000166165,97,0
ENSMUSG00000041671,Pyroxd1,128.7562,72.6933216169,0.374962462356,ENSG00000121350,85,0
ENSMUSG00000030922,Lyrm1,17.34951,53.5314147627,-0.311658356412,ENSG00000102897,88,0
ENSMUSG00000010392,Gosr1,12.21446,49.2036467487,-1.05065979896,ENSG00000108587,98,0
ENSMUSG00000006958,Chrd,14.38414,51.2961335677,-0.036713868784,ENSG00000090539,86,0
ENSMUSG00000054079,Utp18,367.55623,83.2546133568,-0.479470197089,ENSG00000011260,81,1
