mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,13.81631,52.4494727592,-0.0146001354391,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,26.85012,59.3365553603,-0.838413181415,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,20.8315026362,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.8315026362,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.8315026362,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,17.01776,54.8605008787,-0.757954208405,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,34.73032,61.5224077329,-0.299354314931,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.8315026362,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,41.9980228471,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,13.79245,52.4329964851,-0.543116083353,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.8315026362,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,22.2045254833,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,46.61567,64.0048330404,0.00062642203402,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,11.46982,49.8846660808,-0.536837919537,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,13.12428,51.8343585237,-0.283223859367,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,9.59445,47.1935413005,0.549201858044,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.8315026362,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1229.22578,93.0470123023,-0.204704413384,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,9.69821,47.3747803163,-0.382602278513,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,4479.62473,98.0228471002,0.510559075312,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,5.00652,26.1148945518,1.05279661854,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,65.9874780316,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,6.77462,39.5320738137,-0.171108690846,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,374.05817,83.2326449912,1.92499340781,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.8315026362,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,430.28411,84.5013181019,-0.223612339846,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,6.31452,37.230887522,0.583289497366,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,3122.39589,97.1825571178,1.29375474273,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,100.2179,70.2877855888,-0.0682892030046,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,21.57497,57.2989894552,-0.986923052591,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,108.37038,71.0566783831,-0.334354427417,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,27.1968365554,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,829.68766,90.2844903339,2.57712250928,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,20.8315026362,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,7.13583,41.0533831283,1.75798882555,ENSG00000164458,91,0
