mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,930.91151,89.4167398946,-0.931445663331,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.95627,30.5415202109,-0.57064260797,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3619.50242,96.6333479789,0.0854195101659,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1608.10519,93.0579964851,0.481557575259,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,5.20945,33.8312829525,0.809833601098,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,5211.30332,97.6933216169,1.1069058762,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,7120.44686,98.3249121265,0.834740774838,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,134.05433,69.4310193322,0.163009794771,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,13.77831,50.9940685413,-0.123558568682,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,144.3658,70.1010544815,0.639058207239,NA,NA,NA
ENSMUSG00000083012,Fam220a,50.03933,60.5887521968,-0.305225442442,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,932.6634,89.4332161687,0.788983165923,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.97997,30.8875219684,-0.107182319653,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,37.22996,58.3699472759,0.329564765014,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.72428,25.5547012302,-0.112520056977,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,22.1331282953,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1215.25048,91.3664323374,1.4763968612,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.28537,34.5946836555,-0.470614227394,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,22.1331282953,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,22.1331282953,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,22.1331282953,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.1331282953,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.22417,40.2405536028,-0.571364359418,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,414.92793,81.9365114236,-0.117597723233,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,149.75415,70.5019771529,-0.539231263827,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,22.1331282953,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.63584,22.1331282953,-0.110521172002,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,22.1331282953,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,174.26314,72.3473198594,-0.620003946821,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.97331,30.7996485062,-0.265014104373,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,22.1331282953,-0.1775381398,ENSG00000149635,58,1
