mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,5.11743,31.8651142355,-0.560528454437,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,51.18448,60.1054481547,-0.102347215006,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,5.34213,33.5347100176,-0.180094968153,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.8914762742,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.8914762742,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,167.6675,73.1656414763,-0.122795655636,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,96.11766,66.6739894552,-0.264176046646,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,5.01913,30.9479349736,-0.282098981087,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,9.45183,43.6126977153,-0.337308595342,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,220.73873,76.4059753954,-0.34034302459,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.8914762742,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,6.40048,38.0492091388,1.1050978443,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,21.8914762742,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,12.26735,46.6937609842,-0.534581884896,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.25151,46.67728471,-0.303552923743,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.77336,27.5208699473,-0.607935273665,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,21.8914762742,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,984.27582,91.0039543058,-0.429979495187,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,984.01869,90.9984622144,0.923615665509,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,1698.67635,94.1893673111,-0.188731537689,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.8914762742,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,54.5304,60.6546572935,-0.52919968979,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.93041,29.9813268893,-0.173611249566,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,218.85248,76.3016256591,0.200407140208,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,6.2062,37.401142355,0.082977422083,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,693.5438,88.2469244288,0.652112352965,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.30008,33.3040421793,-0.369466064038,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1356.39925,93.085456942,-0.149022263034,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,60.64525,61.7420913884,-0.433744016377,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,60.44124,61.7036467487,-0.33824993751,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,114.54871,68.678602812,-0.282351274517,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.09707,31.7003514938,-0.200303249537,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,111.67696,68.3490773286,-0.444620762315,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,21.8914762742,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.76199,27.3231546573,-0.28897817708,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,5.02754,31.0358084359,-0.113621649548,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,21.8914762742,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,13.87322,47.7647188049,-0.376229425373,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,6355.36572,98.1766256591,-0.163245050413,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,21.8914762742,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,25.5547012302,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,27.36444,54.1135764499,-0.293859776263,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,15.73636,48.9784710018,-0.441813086492,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,37.03377,57.0188927944,-0.253384711625,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.86348,29.0531634446,-0.177124980097,ENSG00000173404,86,1
