mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,19.00478,55.4646309315,0.311020255378,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,108.83485,71.0456942004,1.64146175749,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,20.0845782074,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.0845782074,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.0845782074,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,16.0012,53.8444639719,-0.762240155253,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,124.08411,72.3528119508,-0.248149757169,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,208.1051,77.6966168717,0.336343578872,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,43.0305360281,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,6.31241,38.9114674868,-0.550445282943,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.0845782074,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.79745,24.6100615114,-0.336739418915,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,6.03331,37.4176186292,-0.310801068527,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,772.65049,90.7183655536,1.61637256755,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,10.13091,48.401801406,-0.35294716726,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,10.51105,48.8741212654,0.769200218358,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.0845782074,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1775.68136,95.6832161687,0.297858744764,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,9.13803,46.8310632689,-0.383353281066,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,801.24176,90.992970123,-0.414398288314,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.0845782074,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,65.5810632689,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.92341,26.9991212654,-0.173620748436,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,218.41039,78.2348418278,0.195494805208,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.70104,21.8859841828,-0.194665719324,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,717.19152,90.0428383128,0.73077571511,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.0514059754,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1086.83757,93.085456942,-0.36924770669,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,199.71254,77.2133128295,0.850547293737,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,38.86707,61.9233304042,-0.698320097553,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,107.08626,70.8974077329,-0.345162896486,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,29.5090070299,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,667.8407,89.4551845343,1.89599065093,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,20.0845782074,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.97235,27.8009666081,-0.107584326325,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,5.0539,29.0751318102,-0.111334222773,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.77184,23.8466608084,-0.102064962348,NA,NA,NA
ENSMUSG00000038253,Hoxa5,7.37084,42.8987258348,-0.424568471457,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,756.18134,90.4767135325,-0.801939624728,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,5.36796,32.6120386643,-0.117126083722,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,21.605887522,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,115.55547,71.7376977153,-0.222362335779,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,11.28545,49.7199033392,-0.488581656301,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,33.28535,60.4239894552,-0.398666174183,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,14.45598,52.7625219684,-0.162468290818,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,5891.19621,98.7258347979,1.06382411207,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,5.79892,35.9402460457,-0.193857733593,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.0845782074,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,59.70059,65.6140158172,-0.0847346438328,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,45.35086,63.164543058,-0.253856147957,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,266.37303,80.4591388401,1.0920095761,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,20.0845782074,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,26.68445,58.4578207381,-0.117369802549,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,2680.67747,97.2319859402,0.316562169499,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,24.6869507909,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,17.77073,54.8550087873,-0.230806450249,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.691,35.2537346221,-0.242964186786,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,6.30454,38.8620386643,-0.112080099953,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,20.0845782074,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,136.0043,73.2370386643,0.0401491763116,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,450.3349,85.9677065026,2.67758932237,NA,NA,NA
