mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.90708,27.6636643234,-0.573729696654,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,27.81597,55.9699033392,-0.809198140886,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.946397188,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.946397188,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,5.14181,30.8875219684,0.627779848049,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,176.43046,72.737258348,-0.085849896609,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,73.86701,64.1750878735,-0.276926873367,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,21.946397188,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,42.0694200351,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,327.65366,79.5968804921,-0.235584111391,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.946397188,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,23.5171353251,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,21.946397188,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,10.90916,47.2978910369,-0.538423901734,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,20.34751,53.4050966608,-0.114976202288,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.78637,35.9567223199,-0.364797002902,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,5.14278,30.9314586995,-0.14600227883,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,552.05359,84.8802724077,-0.827484757977,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,373.90186,81.0358084359,0.105665547806,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,713.00357,87.3077768014,-0.436586452042,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.946397188,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,67.55804,63.3787346221,-0.206689902326,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,13.17233,49.4452987698,-0.162427117193,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,208.70604,74.505711775,0.0876637795159,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,21.946397188,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,372.45884,80.980887522,-0.41596619701,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.4742970123,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1327.01119,92.1847539543,-0.173031604984,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,68.74249,63.5819420035,-0.358965720432,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,249.52725,76.5103251318,2.81757157881,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,120.27066,68.8708260105,-0.234189483103,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.36468,33.0129613357,-0.164618235767,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,119.16948,68.7390158172,-0.41308854156,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.79099,25.6590509666,-0.11495884239,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,21.946397188,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,21.946397188,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,21.946397188,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,5.2744,32.2880052724,-0.440153520282,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,521.36638,84.3145869947,-0.828724783198,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,21.946397188,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,12.44844,48.7972319859,6.48922048466,NA,NA,NA
ENSMUSG00000008193,Spib,7.95592,43.1513620387,-0.30959447744,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,51.23067,61.0171353251,-0.0688515763611,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,41.61469,59.1388400703,-0.0758371696042,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.86348,26.8453427065,-0.177124980097,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,3839.50514,96.704745167,0.206243327609,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,5.62559,34.8912565905,-0.214426020557,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.70321,24.0828207381,-0.121103446789,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,42.93381,59.4244288225,-0.484920011177,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.89231,27.3506151142,-0.384246801481,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,65.18588,63.065685413,-0.535858921951,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,21.946397188,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,39.13675,58.611599297,-0.0937335830482,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,413.57924,82.0408611599,-0.493502454822,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,6.79251,40.2680140598,1.01293524938,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,32.16356,57.1232425308,-0.211139804703,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,6.84714,40.4163005272,-0.113638842261,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.73229,24.5661247803,-0.15567549133,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,21.946397188,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,170.5166,72.3143673111,0.395625813331,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,69.66252,63.6698154657,-0.565237567526,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.65074,22.7757029877,-0.268608948353,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.65761,22.9953866432,-0.422555984892,ENSG00000174197,82,1
