mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,42.7897,61.2642794376,1.8037252235,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,38.3897,60.1878295255,-0.489363849333,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,19.2882249561,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.2882249561,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,19.2882249561,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,88.4043,69.0740333919,-0.456979434512,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,76.0065,67.3440246046,-0.275700829802,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.76719,24.0773286467,-0.282866195182,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.25667,40.0757908612,-0.404844906598,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,19.42836,53.4490333919,-0.53759382555,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,19.2882249561,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,21.1006151142,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,19.2882249561,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,11.21521,46.9848418278,-0.537558154487,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,11.3313,47.1386203866,-0.324986988077,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.96895,27.757029877,-0.560990609369,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,19.2882249561,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1994.09952,96.4301405975,0.49873311462,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,6.68769,38.3897188049,-0.386638317297,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2604.66799,97.2649384886,0.0390869482149,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,5.12633,29.7396748682,1.47063085822,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,60.42213,64.9165202109,-0.383345138229,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,10.5106,46.0841388401,-0.16603903537,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,80.65326,67.9811072056,-1.33520973702,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.2882249561,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,354.29003,84.4134446397,-0.476404145395,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,32.1287346221,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,382.26094,85.2043057996,-0.944869957343,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,46.2325,62.0386643234,-0.566846269106,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,43.29916,61.4345342707,-0.624349077781,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,170.90982,76.3785149385,0.192041550243,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.8201,34.6880492091,-0.103889305716,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,221.28797,79.4760544815,0.0166764467095,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,19.2882249561,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.90072,26.7080404218,-0.169351019278,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.83665,25.5711775044,-0.130186402854,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,19.2882249561,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,6.25934,36.8519332162,-0.432831422826,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,13688.24324,99.730887522,0.673210541739,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,20.32721,53.8774165202,0.981751746128,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,21.6113796134,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,21.1720123023,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,15.95905,51.2961335677,-0.439473139647,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,50.43039,62.8240333919,0.265842201831,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,182.02802,77.0595342707,0.093570418804,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,1046.81461,93.3271089631,-0.961065810932,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,26.4444200351,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,19.2882249561,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,28.6036,57.282513181,-0.826949927056,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,5.02745,28.5259226714,-0.383811269488,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,423.74503,86.1928822496,2.36535591693,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.77747,24.3299648506,-0.107480410103,NA,NA,NA
ENSMUSG00000035041,Creb3l3,23.03686,55.2119947276,-0.12429344219,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,11555.30375,99.5935852373,3.48758524577,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,24.8407293497,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,11.61126,47.4516695958,-0.239222871011,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.691,33.9136643234,-0.242964186786,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.70403,22.3363356766,-0.15645908539,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.69408,21.8585237258,-0.257429109817,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,65.06789,65.7732864675,-0.690495737793,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,116.72232,72.0123022847,-0.164350103946,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,19.2882249561,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.65761,20.2273725835,-0.422555984892,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,95.31626,69.8868629174,-1.01492193721,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,19.2882249561,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,275.19596,81.7937170475,0.421760604776,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,12.47456,48.3798330404,0.579031669553,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.64981,20.0241652021,-0.187221774729,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.93342,27.290202109,-0.17116202719,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,5.18131,30.2943760984,-0.557255161464,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,19.65738,53.5863356766,-0.525144150055,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,66.21161,65.921572935,-0.917479481784,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,19.2882249561,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,14.0852,49.8077768014,-0.459078542783,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.22471,30.6458699473,-0.277648275296,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,1646.63664,95.6667398946,1.5689790891,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,305.90529,82.9525483304,-0.0296721658959,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,33.36949,58.8916959578,-1.03475029452,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,30.19139,57.8317223199,-0.455762421318,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,369.02467,84.8253514938,1.01085347245,NA,NA,NA
ENSMUSG00000078861,Zfp931,341.94382,84.0399824253,-0.310847354564,NA,NA,NA
ENSMUSG00000032897,Nfyc,1778.7103,95.9633128295,2.53313894597,ENSG00000066136,94,0
