ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0,11.981865285,-0.770729119932,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,0.3,20.0777202073,-0.458915864019,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,1.1,31.2823834197,5.56776436283,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,11.981865285,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,3.8,53.6917098446,-0.276527359794,NA,NA,NA,NM_023074
ENSG00000079263,SP140,1,30.1813471503,-0.387759443958,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,3.4,50.3238341969,-0.299368148027,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,6.9,68.7176165803,0.206066118057,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,78.7,99.2227979275,4.51086577104,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,6.6,67.810880829,0.605808989513,NA,NA,NA,NM_001289166
ENSG00000198416,,0,11.981865285,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.2,17.810880829,-0.313565577594,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,11.981865285,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,11.981865285,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,10.9,78.6269430052,-1.00556717362,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,11.981865285,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.7,45.0129533679,-0.368452734805,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,11.2,79.1450777202,-0.480786201314,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,11.981865285,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,8.3,72.4093264249,1.21747845302,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0.6,24.5466321244,5.35692617997,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,3.2,48.6398963731,-0.441563014048,NA,NA,NA,NM_001277090
