mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1324.80156,92.5801845343,-0.413961513267,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.82791,26.3565465729,-0.578698283991,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,4643.90282,97.638400703,0.389949495456,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1173.76584,91.7289103691,-0.0966715583948,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.73383,23.6544376098,-0.106734249266,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4285.53846,97.4461775044,0.553824977238,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2410.34262,95.4525483304,-0.399702112445,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,74.8268,66.9925307557,-0.25266723128,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,22.66037,58.4852811951,-0.107097886545,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.70306,23.0283391916,-0.348528423528,NA,NA,NA
ENSMUSG00000083012,Fam220a,83.75159,67.8383128295,-0.214989927079,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1140.12209,91.5037346221,1.22375792537,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.9468365554,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,19.67194,57.4967047452,-0.490654177391,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,11.09176,52.1858523726,-0.0691076321383,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.11108,31.3653339192,-0.107155371596,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,770.81148,88.3952108963,0.405010707245,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,615.88733,86.5224077329,4.02207781474,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.9468365554,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.74491,23.9235500879,-0.145467337257,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.9468365554,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,6.11583,40.1416959578,-0.106535558407,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.54637,42.4428822496,-0.478949819508,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,1234.03447,92.0858963093,1.89178978129,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,680.69157,87.401142355,3.27647490575,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,6.60751,42.690026362,-0.093723434196,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64127,21.3477592267,-0.110518443146,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.9468365554,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,1550.83231,93.4314586995,2.92170373504,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.9468365554,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.89743,27.855887522,-0.17415680153,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.9468365554,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,6.75629,43.382029877,-0.337808194456,ENSG00000189056,95,1
