mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1660.38813,96.0841388401,0.0269247973901,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,46.32249,63.5874340949,2.02543768603,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1828.39091,96.4685852373,-0.44703553553,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1129.88762,93.8763181019,-0.155085941381,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,23.4951669596,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3882.7193,98.3908172232,0.313168204921,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,907.60148,92.6296133568,-0.793546498297,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,65.97001,66.3389718805,-0.314826908166,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,37.48202,61.9617750439,-0.0796296562703,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.68382,25.3624780316,-0.348664473893,NA,NA,NA
ENSMUSG00000083012,Fam220a,75.6697,67.4703427065,-0.236622220769,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,382.43924,84.9461775044,-0.364131108579,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,23.4951669596,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,20.69376,57.3703866432,-0.442920086661,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,23.4951669596,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,23.4951669596,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,301.18583,82.3319420035,-0.727091603654,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,384.99576,85.0175746924,2.32322195267,ENSG00000196329,55,0
