mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.64502,21.8365553603,-0.590176178877,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,34.00836,57.480228471,-0.621890665787,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,20.4800087873,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.4800087873,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.64327,21.5619507909,-0.352578433176,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,89.58676,65.9050966608,-0.451994032066,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,186.7503,73.6159929701,-0.21223863862,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.67115,23.9290421793,-0.283158658632,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,42.6735500879,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,61.94453,62.4615553603,-0.495935024832,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.4800087873,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,24.2530755712,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,20.4800087873,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,17.23073,52.0815026362,-0.52054158896,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,31.96404,56.9584797891,0.155602743126,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.90263,29.7616432337,-0.5769084484,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,13.88644,50.2032073814,-0.0483821722592,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1172.52714,91.5202108963,-0.256848903484,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,5.0195,31.2829525483,-0.388874767989,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,959.76012,90.1362038664,-0.374537641517,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.4800087873,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,52.32433,61.1324692443,-0.583812740721,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,7.9494,43.6731107206,-0.169514536204,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,181.44519,73.2315465729,-0.21524835955,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.4800087873,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,569.80132,85.6601493849,0.240487066596,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.18583,33.0239455185,-0.476768933493,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,4088.81773,97.1935413005,2.08329826566,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,78.73162,64.5430579965,-0.266715753854,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,169.19807,72.4242091388,1.4768877565,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,148.97961,71.040202109,0.007454442759,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,4.8559,28.9707820738,-0.232462566345,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,97.82941,66.8332601054,-0.502898084701,NA,NA,NA
ENSMUSG00000017688,Hnf4g,6.7458,40.9380492091,-0.100690198738,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,20.4800087873,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.4800087873,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.4800087873,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,4.6567,23.0118629174,-0.444745535631,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,3365.05304,96.5344903339,-0.504347674403,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.6763,24.1761862917,-0.16793410149,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,24.7638400703,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,24.2860281195,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,578.41521,85.802943761,5.47061495098,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,42.60562,59.3310632689,-0.03743065174,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,6029.63146,98.0612917399,9.02831179427,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,3492.88076,96.67728471,0.0613587433461,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,29.4650702988,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.4800087873,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,81.49245,64.9220123023,0.435388092865,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.90556,29.8275483304,-0.384204099107,ENSG00000118513,76,1
