mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,5.05684,30.783172232,-0.564330989573,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,22.27871,53.5478910369,-0.976689237145,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,30.00044,56.1181898067,0.775297075305,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,5.04208,30.6788224956,0.780338876014,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,5.03102,30.5799648506,0.409915897359,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,55.02484,61.9178383128,-0.597711502856,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,296.39075,80.3712653779,-0.149408726704,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,5.74478,35.6711335677,-0.279889213255,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.10421,40.3119507909,-0.409535492257,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,163.86618,73.6379613357,-0.396068698534,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.210456942,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,6.39685,38.164543058,1.10183285907,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,50.35556,61.0500878735,0.0293261959672,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,1660.1746,93.9641915641,4.12698049089,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,37.74706,58.3040421793,0.29030419467,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.36367,33.4028998243,-0.466251625316,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,5.1903,32.1507029877,-0.145471733559,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,431.16238,84.4354130053,-0.938665740501,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,14.1606,48.9510105448,-0.376619797378,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,212.92812,76.4499121265,-0.562334225893,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.210456942,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,54.36439,61.7805360281,-0.533309401896,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,16.30661,50.4173989455,-0.158173957442,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,138.95374,71.6443321617,-0.68739710075,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,21.210456942,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,226.37735,77.1528998243,-0.901901464789,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.7928383128,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,799.71395,89.6803602812,-0.60382083518,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,10.49567,45.6392794376,-0.896877149984,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,63.99031,63.4391476274,-0.279016409503,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,87.98405,66.6739894552,-0.505946659635,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,31.1621265378,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,19.50246,52.1968365554,-0.832536534584,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,21.210456942,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,21.210456942,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,21.210456942,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,21.210456942,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,4.63584,21.210456942,-0.444900610004,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,29390.68873,99.8352372583,2.46437619325,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,21.210456942,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.66184,23.5610720562,-0.410119372025,NA,NA,NA
ENSMUSG00000008193,Spib,4.67691,24.3519332162,-0.312252807004,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,328.53063,81.6619068541,2.84491718942,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,36.96957,58.1667398946,-0.255872978654,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,33.77445,57.2605448155,-0.132950979155,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,647.64303,88.0711775044,-1.12791445677,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.90313,29.058655536,-0.300157080387,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,21.210456942,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,101.37342,67.9975834798,0.909902178611,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.79795,27.4659490334,-0.384550906845,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,129.49435,70.7601054482,-0.0155188680723,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,21.210456942,-0.108783711886,NA,NA,NA
