mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,791.17587,87.9173989455,-1.11502729709,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.75264,26.8508347979,-0.583422113331,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3830.35922,96.6443321617,0.148102244575,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,950.87662,89.4332161687,-0.393400465369,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.47956942,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4573.09302,97.0507469244,0.725619070337,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,6352.86543,97.8525922671,0.633569975129,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,39.35141,57.0024165202,-0.501644431802,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,5.63357,34.9791300527,-0.13865281216,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,25.2581282953,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,32.93906,55.3932337434,-0.350996674519,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,587.89894,85.3635764499,0.0664543330071,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.47956942,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,14.39332,47.8306239016,-0.737243719592,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.68533,24.9725395431,-0.112785611631,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.47956942,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,536.13662,84.5672231986,-0.160707863101,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,17.86216,49.8517135325,-0.378076620163,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.47956942,-0.116203729709,ENSG00000137976,65,0
