mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1949.94191,96.8090949033,0.407334233325,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,31.58355,57.6230228471,1.10044449863,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,879.97182,92.9646309315,-0.728978076285,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,451.82065,87.4615553603,-1.05778581562,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,17.9426625659,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2564.95943,97.5944639719,-0.474102780412,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,416.22834,86.6487258348,-0.922327528773,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,23.7043,54.5090070299,-0.611460663393,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,30.01823,57.0683216169,-0.0934619288205,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,8.10274,40.9984622144,-0.324488521999,NA,NA,NA
ENSMUSG00000083012,Fam220a,70.40226,66.5531634446,-0.250721250707,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,52.90636,63.1810193322,-1.05473885624,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.70988,21.5180140598,-0.108306048266,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,43.81066,61.0775483304,0.636980680607,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,17.9426625659,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,17.9426625659,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,239.05787,80.6733304042,-0.876860269585,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.28537,29.9318980668,-0.470614227394,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.69384,20.9083919156,-0.11613060858,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,17.9426625659,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,17.9426625659,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,17.9426625659,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,9.12078,42.816344464,0.259451532729,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,102.40666,70.8040421793,-0.884257863484,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,147.45704,75.0659050967,-0.555739983064,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.66099,19.2278119508,-0.109520614652,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,11.44804,45.9742970123,-0.107097689797,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,17.9426625659,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,149.67049,75.2416520211,-0.683277176616,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,17.9426625659,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,17.9426625659,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,17.9426625659,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,3335.68145,98.1491652021,1.94813950149,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,5.13778,28.4655096661,-0.0900574475219,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,17.9426625659,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,27.24986,56.0632688928,0.552376952797,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,10135.31979,99.6155536028,-1.04316875097,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,20.5678822496,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,17.9426625659,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,17.9426625659,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,454.61812,87.5109841828,-0.768366279122,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,17.9426625659,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,91.49892,69.5243848858,-0.61917815983,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,11734.5509,99.7089191564,0.450354387565,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,23.5775483304,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,204.7494,78.9323374341,1.76513417378,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,121.03094,72.7317662566,-0.990659148554,ENSG00000137574,73,1
