mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1152.44247,92.1188488576,-0.640403123545,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,5.11743,31.8651142355,-0.560528454437,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,5829.45842,98.0283391916,0.742387106207,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1259.04621,92.690026362,0.0168608545969,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,5.19248,32.4033391916,0.777130694533,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4590.32912,97.4956063269,0.735916455877,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,9857.38998,98.8137082601,1.55204973346,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,61.1401,61.835456942,-0.3487247024,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,6.96514,39.4057557118,-0.136185079392,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.68382,25.4119068541,-0.348664473893,NA,NA,NA
ENSMUSG00000083012,Fam220a,33.13386,55.9479349736,-0.350475265441,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,733.03605,88.6148945518,0.370620680957,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.8914762742,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,12.17706,46.6223637961,-0.840775805403,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.8914762742,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.8914762742,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,627.01038,87.3846660808,0.0583568189407,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,8.81934,42.8547891037,-0.444611954332,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.8914762742,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.8914762742,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.8914762742,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.8914762742,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.30136,37.7471441125,-0.549224451486,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,732.43613,88.5984182777,0.661296081795,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,125.89589,69.8703866432,-0.710694239402,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.66432,24.5276801406,-0.1094935897,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.63584,21.8914762742,-0.110521172002,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,21.8914762742,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,328.03294,80.980887522,-0.224377127794,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.8914762742,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,5.6727,35.4020210896,-0.164135584661,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.75867,27.2352811951,-0.13411380223,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,543.97155,86.1214850615,0.0310934560162,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.8914762742,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.8914762742,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,48.4951669596,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,25303.18156,99.5716168717,0.973122699125,NA,NA,NA
ENSMUSG00000020758,Itgb4,7.10571,39.7462653779,-0.360132999256,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.8914762742,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,5.02754,31.0358084359,-0.113621649548,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,618.24626,87.203427065,-0.429568383626,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.8914762742,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,134.67805,70.6667398946,0.0837479849796,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,6355.36572,98.1766256591,-0.163245050413,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,7.48726,40.4876977153,-0.132689094815,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,28.06492,54.355228471,-0.356972194166,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,201.78113,75.2855887522,-0.559703199623,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,251.33487,77.8778558875,-0.435411701206,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,7.91124,41.3334797891,-0.506288277983,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,21.8914762742,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,53631.76647,99.9560632689,1.16508746424,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,89.01487,65.8062390158,0.274871527806,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,21.8914762742,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,7.91713,41.3444639719,-0.204157418637,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,475.16223,84.6880492091,-0.118291810157,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,6.78743,39.0213093146,-0.152503426514,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,253.32217,77.9657293497,-0.311056730443,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,22.56567,52.3231546573,-0.353919469989,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,21.8914762742,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,10.16107,44.4804481547,-0.166982398073,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,87.33277,65.5865553603,-0.564584108266,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,6.98566,39.4387082601,-0.155735127662,NA,NA,NA
ENSMUSG00000021598,Med10,1291.39239,92.7998681898,-0.00155998842893,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,21.8914762742,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,4.86152,29.0311950791,-0.136498243007,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,21.8914762742,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,245.09163,77.5648066784,-0.505832691139,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,882.51008,90.2130931459,0.917507135174,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,117.29024,69.0136203866,-0.0539952861677,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,660.38772,87.8405096661,-0.499342451786,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,4394.01351,97.3802724077,0.349541656583,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,5.69024,35.4679261863,-0.0442518439535,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,11.62875,46.1445518453,-0.570702579619,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,5.27151,33.1337873462,-0.124972743728,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,90.06194,65.9270650264,-0.00952324970773,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,1024.3886,91.3938927944,0.581447739295,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,7.61043,40.7513181019,0.197036336758,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,4.9382,30.1076449912,-0.41945861884,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,105.80002,67.7394551845,-0.0139042329699,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,4.63584,21.8914762742,-0.295067617567,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,1110.41796,91.8717047452,-0.646365253345,ENSG00000101109,97,1
